 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   100.000     99.843         0.010      9191.877      6.3113e-02      8.5461e-06      5.3937e-07      2.1085e-07    1.938e-03     1.043e+06       7.00e-02    8.81e-03    275 
   100.000     99.843         0.015      9191.877      6.3113e-02      9.0529e-05      5.7136e-06      2.0401e-06    1.875e-02     1.078e+05       6.77e-01    8.52e-02    2156 
   100.000     99.843         0.020      9191.877      6.3113e-02      3.7164e-04      2.3455e-05      7.9133e-06    7.274e-02     2.780e+04       2.63e+00    3.31e-01    7568 
   100.000     99.843         0.025      9191.877      6.3113e-02      9.0318e-04      5.7002e-05      1.8911e-05    1.738e-01     1.163e+04       6.28e+00    7.90e-01    17365 
   100.000     99.843         0.030      9191.877      6.3113e-02      1.7645e-03      1.1136e-04      3.6485e-05    3.354e-01     6.030e+03       1.21e+01    1.52e+00    31910 
   100.000     99.843         0.040      9191.877      6.3113e-02      4.3433e-03      2.7412e-04      8.8388e-05    8.125e-01     2.489e+03       2.93e+01    3.69e+00    74047 
   100.000     99.843         0.050      9191.877      6.3113e-02      7.8569e-03      4.9588e-04      1.5808e-04    1.453e+00     1.392e+03       5.25e+01    6.60e+00    129643 
   100.000     99.843         0.060      9191.877      6.3113e-02      1.2186e-02      7.6908e-04      2.4333e-04    2.237e+00     9.041e+02       8.07e+01    1.02e+01    196447 
   100.000     99.843         0.070      9191.877      6.3113e-02      1.6818e-02      1.0615e-03      3.3380e-04    3.068e+00     6.591e+02       1.11e+02    1.39e+01    267412 
   100.000     99.843         0.080      9191.877      6.3113e-02      2.1719e-02      1.3708e-03      4.2904e-04    3.944e+00     5.128e+02       1.42e+02    1.79e+01    341800 
   100.000     99.843         0.090      9191.877      6.3113e-02      2.6708e-02      1.6856e-03      5.2478e-04    4.824e+00     4.192e+02       1.74e+02    2.19e+01    418682 
   100.000     99.843         0.100      9191.877      6.3113e-02      3.1386e-02      1.9809e-03      6.1397e-04    5.644e+00     3.583e+02       2.04e+02    2.57e+01    492338 
   100.000     99.843         0.150      9191.877      6.3113e-02      5.2150e-02      3.2913e-03      9.9833e-04    9.176e+00     2.204e+02       3.31e+02    4.17e+01    830497 
   100.000     99.843         0.200      9191.877      6.3113e-02      6.6782e-02      4.2149e-03      1.2507e-03    1.150e+01     1.759e+02       4.15e+02    5.23e+01    1096320 
   100.000     99.843         0.250      9191.877      6.3113e-02      7.6385e-02      4.8209e-03      1.4021e-03    1.289e+01     1.569e+02       4.65e+02    5.86e+01    1298555 
   100.000     99.843         0.300      9191.877      6.3113e-02      8.2389e-02      5.1998e-03      1.4852e-03    1.365e+01     1.481e+02       4.93e+02    6.20e+01    1453142 
   100.000     99.843         0.400      9191.877      6.3113e-02      8.7935e-02      5.5498e-03      1.5359e-03    1.412e+01     1.432e+02       5.10e+02    6.42e+01    1668328 
   100.000     99.843         0.500      9191.877      6.3113e-02      8.8792e-02      5.6039e-03      1.5130e-03    1.391e+01     1.454e+02       5.02e+02    6.32e+01    1805636 
   100.000     99.843         0.600      9191.877      6.3113e-02      8.7401e-02      5.5162e-03      1.4589e-03    1.341e+01     1.508e+02       4.84e+02    6.10e+01    1894672 
   100.000     99.843         0.700      9191.877      6.3113e-02      8.4860e-02      5.3558e-03      1.3942e-03    1.282e+01     1.578e+02       4.63e+02    5.83e+01    1958106 
   100.000     99.843         0.800      9191.877      6.3113e-02      8.1906e-02      5.1693e-03      1.3273e-03    1.220e+01     1.658e+02       4.40e+02    5.55e+01    2005842 
   100.000     99.843         0.900      9191.877      6.3113e-02      7.9004e-02      4.9862e-03      1.2663e-03    1.164e+01     1.737e+02       4.20e+02    5.29e+01    2040792 
   100.000     99.843         1.000      9191.877      6.3113e-02      7.5725e-02      4.7792e-03      1.2006e-03    1.104e+01     1.832e+02       3.98e+02    5.02e+01    2066153 
   100.000     99.843         1.500      9191.877      6.3113e-02      6.2516e-02      3.9456e-03      9.5947e-04    8.819e+00     2.293e+02       3.18e+02    4.01e+01    2135282 
   100.000     99.843         2.000      9191.877      6.3113e-02      5.2747e-02      3.3290e-03      7.9285e-04    7.288e+00     2.775e+02       2.63e+02    3.31e+01    2161387 
   100.000     99.843         2.500      9191.877      6.3113e-02      4.5465e-02      2.8694e-03      6.7627e-04    6.216e+00     3.253e+02       2.24e+02    2.83e+01    2172846 
   100.000     99.843         3.000      9191.877      6.3113e-02      3.9997e-02      2.5243e-03      5.8875e-04    5.412e+00     3.737e+02       1.95e+02    2.46e+01    2179683 
   100.000     99.843         4.000      9191.877      6.3113e-02      3.1990e-02      2.0190e-03      4.6579e-04    4.281e+00     4.723e+02       1.55e+02    1.95e+01    2182797 
   100.000     99.843         5.000      9191.877      6.3113e-02      2.6680e-02      1.6839e-03      3.8516e-04    3.540e+00     5.712e+02       1.28e+02    1.61e+01    2182776 
   100.000     99.843         6.000      9191.877      6.3113e-02      2.2990e-02      1.4510e-03      3.3023e-04    3.035e+00     6.662e+02       1.10e+02    1.38e+01    2183567 
   100.000     99.843         7.000      9191.877      6.3113e-02      2.0066e-02      1.2665e-03      2.8761e-04    2.644e+00     7.649e+02       9.54e+01    1.20e+01    2182929 
   100.000     99.843         8.000      9191.877      6.3113e-02      1.7863e-02      1.1274e-03      2.5535e-04    2.347e+00     8.616e+02       8.47e+01    1.07e+01    2182458 
   100.000     99.843         9.000      9191.877      6.3113e-02      1.6071e-02      1.0143e-03      2.2870e-04    2.102e+00     9.620e+02       7.59e+01    9.55e+00    2181377 
   100.000     99.843         10.000      9191.877      6.3113e-02      1.4610e-02      9.2209e-04      2.0766e-04    1.909e+00     1.059e+03       6.89e+01    8.68e+00    2180770 
   200.000     199.843         0.010      710.687      1.5884e-01      1.3344e-06      2.1196e-07      5.2247e-08    3.713e-05     4.211e+06       1.34e-03    1.69e-04    162 
   200.000     199.843         0.015      710.687      1.5884e-01      1.7460e-05      2.7733e-06      7.4130e-07    5.268e-04     2.968e+05       1.90e-02    2.39e-03    1447 
   200.000     199.843         0.020      710.687      1.5884e-01      7.8946e-05      1.2540e-05      3.3870e-06    2.407e-03     6.495e+04       8.69e-02    1.09e-02    5669 
