MDP         MD1         MD3      pp_xpmxo(fb)      pp_xpxm(fb) 
100       99.8431      300.0      4.649e+03        2.438e+03 
110       109.8431      310.0      3.264e+03        1.733e+03 
120       119.8431      320.0      2.370e+03        1.271e+03 
130       129.8431      330.0      1.768e+03        9.556e+02 
140       139.8431      340.0      1.348e+03        7.323e+02 
150       149.8431      350.0      1.048e+03        5.720e+02 
160       159.8431      360.0      8.266e+02        4.528e+02 
170       169.8431      370.0      6.610e+02        3.632e+02 
180       179.8431      380.0      5.350e+02        2.945e+02 
190       189.8431      390.0      4.375e+02        2.413e+02 
200       199.8431      400.0      3.613e+02        1.996e+02 
210       209.8431      410.0      3.008e+02        1.663e+02 
220       219.8431      420.0      2.523e+02        1.396e+02 
230       229.8431      430.0      2.130e+02        1.179e+02 
240       239.8431      440.0      1.811e+02        1.003e+02 
250       249.8431      450.0      1.547e+02        8.571e+01 
260       259.8431      460.0      1.330e+02        7.365e+01 
270       269.8431      470.0      1.147e+02        6.355e+01 
280       279.8431      480.0      9.953e+01        5.508e+01 
290       289.8431      490.0      8.666e+01        4.794e+01 
300       299.8431      500.0      7.576e+01        4.187e+01 
310       309.8431      510.0      6.645e+01        3.672e+01 
320       319.8431      520.0      5.848e+01        3.231e+01 
330       329.8431      530.0      5.164e+01        2.850e+01 
340       339.8431      540.0      4.575e+01        2.522e+01 
350       349.8431      550.0      4.062e+01        2.238e+01 
360       359.8431      560.0      3.615e+01        1.990e+01 
370       369.8431      570.0      3.227e+01        1.775e+01 
380       379.8431      580.0      2.886e+01        1.587e+01 
390       389.8431      590.0      2.589e+01        1.422e+01 
400       399.8431      600.0      2.325e+01        1.276e+01 
410       409.8431      610.0      2.093e+01        1.148e+01 
420       419.8431      620.0      1.888e+01        1.035e+01 
430       429.8431      630.0      1.706e+01        9.341e+00 
440       439.8431      640.0      1.545e+01        8.445e+00 
450       449.8431      650.0      1.400e+01        7.653e+00 
460       459.8431      660.0      1.271e+01        6.947e+00 
470       469.8431      670.0      1.156e+01        6.307e+00 
480       479.8431      680.0      1.053e+01        5.739e+00 
490       489.8431      690.0      9.601e+00        5.228e+00 
500       499.8431      700.0      8.767e+00        4.771e+00 
510       509.8431      710.0      8.018e+00        4.359e+00 
520       519.8431      720.0      7.338e+00        3.988e+00 
530       529.8431      730.0      6.725e+00        3.651e+00 
540       539.8431      740.0      6.172e+00        3.347e+00 
550       549.8431      750.0      5.669e+00        3.071e+00 
560       559.8431      760.0      5.210e+00        2.823e+00 
570       569.8431      770.0      4.798e+00        2.595e+00 
580       579.8431      780.0      4.419e+00        2.389e+00 
590       589.8431      790.0      4.076e+00        2.201e+00 
600       599.8431      800.0      3.762e+00        2.030e+00 
610       609.8431      810.0      3.476e+00        1.875e+00 
620       619.8431      820.0      3.214e+00        1.732e+00 
630       629.8431      830.0      2.972e+00        1.601e+00 
640       639.8431      840.0      2.753e+00        1.482e+00 
650       649.8431      850.0      2.551e+00        1.372e+00 
660       659.8431      860.0      2.366e+00        1.272e+00 
670       669.8431      870.0      2.195e+00        1.179e+00 
680       679.8431      880.0      2.039e+00        1.095e+00 
690       689.8431      890.0      1.895e+00        1.017e+00 
700       699.8431      900.0      1.762e+00        9.448e-01 
710       709.8431      910.0      1.640e+00        8.786e-01 
720       719.8431      920.0      1.527e+00        8.176e-01 
730       729.8431      930.0      1.422e+00        7.615e-01 
740       739.8431      940.0      1.326e+00        7.094e-01 
750       749.8431      950.0      1.237e+00        6.612e-01 
760       759.8431      960.0      1.155e+00        6.168e-01 
770       769.8431      970.0      1.078e+00        5.758e-01 
780       779.8431      980.0      1.007e+00        5.374e-01 
790       789.8431      990.0      9.408e-01        5.023e-01 
800       799.8431      1000.0      8.799e-01        4.695e-01 
810       809.8431      1010.0      8.232e-01        4.389e-01 
820       819.8431      1020.0      7.705e-01        4.107e-01 
830       829.8431      1030.0      7.216e-01        3.845e-01 
840       839.8431      1040.0      6.761e-01        3.600e-01 
850       849.8431      1050.0      6.334e-01        3.373e-01 
860       859.8431      1060.0      5.939e-01        3.161e-01 
870       869.8431      1070.0      5.569e-01        2.964e-01 
880       879.8431      1080.0      5.228e-01        2.781e-01 
890       889.8431      1090.0      4.907e-01        2.609e-01 
900       899.8431      1100.0      4.606e-01        2.450e-01 
910       909.8431      1110.0      4.327e-01        2.300e-01 
920       919.8431      1120.0      4.068e-01        2.162e-01 
930       929.8431      1130.0      3.824e-01        2.031e-01 
940       939.8431      1140.0      3.595e-01        1.910e-01 
950       949.8431      1150.0      3.382e-01        1.796e-01 
960       959.8431      1160.0      3.182e-01        1.690e-01 
970       969.8431      1170.0      2.995e-01        1.591e-01 
980       979.8431      1180.0      2.821e-01        1.498e-01 
990       989.8431      1190.0      2.657e-01        1.410e-01 
