 C_Mass(GeV)   N_Mass(GeV)    tau(ns)     Init_xs(fb)        EAxEE           TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
  100.165     100.000         0.010      566270.584      1.2068e-01      3.2882e-03      3.9683e-04      2.2719e-04    1.287e+02     9.684e+02       4.64e+03    5.85e+02    48846 
   100.165     100.000         0.015      566270.584      1.2068e-01      9.6312e-03      1.1623e-03      6.5232e-04    3.694e+02     3.373e+02       1.33e+04    1.68e+03    130826 
   100.165     100.000         0.020      566270.584      1.2068e-01      1.7523e-02      2.1147e-03      1.1737e-03    6.646e+02     1.874e+02       2.40e+04    3.02e+03    228964 
   100.165     100.000         0.025      566270.584      1.2068e-01      2.5680e-02      3.0991e-03      1.7036e-03    9.647e+02     1.291e+02       3.48e+04    4.38e+03    331224 
   100.165     100.000         0.030      566270.584      1.2068e-01      3.3716e-02      4.0689e-03      2.2209e-03    1.258e+03     9.906e+01       4.54e+04    5.72e+03    433767 
   100.165     100.000         0.040      566270.584      1.2068e-01      4.7644e-02      5.7498e-03      3.1027e-03    1.757e+03     7.091e+01       6.34e+04    7.99e+03    621206 
   100.165     100.000         0.050      566270.584      1.2068e-01      5.8505e-02      7.0605e-03      3.7764e-03    2.138e+03     5.826e+01       7.72e+04    9.72e+03    782665 
   100.165     100.000         0.060      566270.584      1.2068e-01      6.7239e-02      8.1145e-03      4.3112e-03    2.441e+03     5.103e+01       8.81e+04    1.11e+04    922079 
   100.165     100.000         0.070      566270.584      1.2068e-01      7.3835e-02      8.9106e-03      4.7068e-03    2.665e+03     4.674e+01       9.62e+04    1.21e+04    1042019 
   100.165     100.000         0.080      566270.584      1.2068e-01      7.9190e-02      9.5568e-03      5.0248e-03    2.845e+03     4.378e+01       1.03e+05    1.29e+04    1145626 
   100.165     100.000         0.090      566270.584      1.2068e-01      8.2719e-02      9.9827e-03      5.2280e-03    2.960e+03     4.208e+01       1.07e+05    1.35e+04    1232738 
   100.165     100.000         0.100      566270.584      1.2068e-01      8.5610e-02      1.0332e-02      5.3891e-03    3.052e+03     4.082e+01       1.10e+05    1.39e+04    1310478 
   100.165     100.000         0.150      566270.584      1.2068e-01      9.1270e-02      1.1015e-02      5.6641e-03    3.207e+03     3.884e+01       1.16e+05    1.46e+04    1577396 
   100.165     100.000         0.200      566270.584      1.2068e-01      9.0171e-02      1.0882e-02      5.5374e-03    3.136e+03     3.973e+01       1.13e+05    1.43e+04    1732230 
   100.165     100.000         0.250      566270.584      1.2068e-01      8.6662e-02      1.0459e-02      5.2794e-03    2.990e+03     4.167e+01       1.08e+05    1.36e+04    1826914 
   100.165     100.000         0.300      566270.584      1.2068e-01      8.2427e-02      9.9474e-03      4.9815e-03    2.821e+03     4.416e+01       1.02e+05    1.28e+04    1890775 
   100.165     100.000         0.400      566270.584      1.2068e-01      7.3923e-02      8.9211e-03      4.4115e-03    2.498e+03     4.987e+01       9.02e+04    1.14e+04    1965496 
   100.165     100.000         0.500      566270.584      1.2068e-01      6.6785e-02      8.0598e-03      3.9435e-03    2.233e+03     5.579e+01       8.06e+04    1.02e+04    2008328 
   100.165     100.000         0.600      566270.584      1.2068e-01      6.0613e-02      7.3148e-03      3.5477e-03    2.009e+03     6.201e+01       7.25e+04    9.13e+03    2033781 
   100.165     100.000         0.700      566270.584      1.2068e-01      5.5487e-02      6.6963e-03      3.2262e-03    1.827e+03     6.819e+01       6.60e+04    8.30e+03    2049266 
   100.165     100.000         0.800      566270.584      1.2068e-01      5.1125e-02      6.1698e-03      2.9509e-03    1.671e+03     7.455e+01       6.03e+04    7.60e+03    2061178 
   100.165     100.000         0.900      566270.584      1.2068e-01      4.7403e-02      5.7206e-03      2.7213e-03    1.541e+03     8.084e+01       5.56e+04    7.00e+03    2068281 
   100.165     100.000         1.000      566270.584      1.2068e-01      4.4112e-02      5.3236e-03      2.5223e-03    1.428e+03     8.722e+01       5.16e+04    6.49e+03    2073622 
   100.165     100.000         1.500      566270.584      1.2068e-01      3.2812e-02      3.9598e-03      1.8443e-03    1.044e+03     1.193e+02       3.77e+04    4.75e+03    2084076 
   100.165     100.000         2.000      566270.584      1.2068e-01      2.6127e-02      3.1530e-03      1.4525e-03    8.225e+02     1.515e+02       2.97e+04    3.74e+03    2086271 
   100.165     100.000         2.500      566270.584      1.2068e-01      2.1731e-02      2.6225e-03      1.2007e-03    6.799e+02     1.832e+02       2.45e+04    3.09e+03    2086985 
   100.165     100.000         3.000      566270.584      1.2068e-01      1.8636e-02      2.2490e-03      1.0246e-03    5.802e+02     2.147e+02       2.09e+04    2.64e+03    2086185 
   100.165     100.000         4.000      566270.584      1.2068e-01      1.4469e-02      1.7461e-03      7.9088e-04    4.479e+02     2.782e+02       1.62e+04    2.04e+03    2085597 
   100.165     100.000         5.000      566270.584      1.2068e-01      1.1821e-02      1.4265e-03      6.4183e-04    3.635e+02     3.428e+02       1.31e+04    1.65e+03    2084182 
   100.165     100.000         6.000      566270.584      1.2068e-01      1.0018e-02      1.2089e-03      5.4213e-04    3.070e+02     4.058e+02       1.11e+04    1.40e+03    2083117 
   100.165     100.000         7.000      566270.584      1.2068e-01      8.6725e-03      1.0466e-03      4.6799e-04    2.650e+02     4.701e+02       9.57e+03    1.20e+03    2082866 
   100.165     100.000         8.000      566270.584      1.2068e-01      7.6596e-03      9.2437e-04      4.1200e-04    2.333e+02     5.340e+02       8.42e+03    1.06e+03    2081925 
   100.165     100.000         9.000      566270.584      1.2068e-01      6.8533e-03      8.2707e-04      3.6859e-04    2.087e+02     5.969e+02       7.53e+03    9.49e+02    2081041 
   100.165     100.000         10.000      566270.584      1.2068e-01      6.1852e-03      7.4644e-04      3.3193e-04    1.880e+02     6.628e+02       6.79e+03    8.55e+02    2080759 
   200.195     200.000         0.010      27860.532      1.9702e-01      2.5122e-04      4.9494e-05      2.1174e-05    5.899e-01     1.039e+04       2.13e+01    2.68e+00    9213 
   200.195     200.000         0.015      27860.532      1.9702e-01      1.3349e-03      2.6301e-04      1.1116e-04    3.097e+00     1.979e+03       1.12e+02    1.41e+01    41287 
   200.195     200.000         0.020      27860.532      1.9702e-01      3.5351e-03      6.9648e-04      2.9203e-04    8.136e+00     7.533e+02       2.94e+02    3.70e+01    99054 
   200.195     200.000         0.025      27860.532      1.9702e-01      6.6771e-03      1.3155e-03      5.4758e-04    1.526e+01     4.018e+02       5.51e+02    6.94e+01    177510 
   200.195     200.000         0.030      27860.532      1.9702e-01      1.0506e-02      2.0699e-03      8.5717e-04    2.388e+01     2.567e+02       8.62e+02    1.09e+02    268874 
   200.195     200.000         0.040      27860.532      1.9702e-01      1.9095e-02      3.7620e-03      1.5439e-03    4.301e+01     1.425e+02       1.55e+03    1.96e+02    472814 
   200.195     200.000         0.050      27860.532      1.9702e-01      2.8138e-02      5.5438e-03      2.2598e-03    6.296e+01     9.735e+01       2.27e+03    2.86e+02    687393 
   200.195     200.000         0.060      27860.532      1.9702e-01      3.6765e-02      7.2433e-03      2.9338e-03    8.174e+01     7.499e+01       2.95e+03    3.72e+02    898144 
   200.195     200.000         0.070      27860.532      1.9702e-01      4.4680e-02      8.8027e-03      3.5490e-03    9.888e+01     6.199e+01       3.57e+03    4.49e+02    1097998 
   200.195     200.000         0.080      27860.532      1.9702e-01      5.1761e-02      1.0198e-02      4.0942e-03    1.141e+02     5.373e+01       4.12e+03    5.19e+02    1284030 
   200.195     200.000         0.090      27860.532      1.9702e-01      5.7993e-02      1.1426e-02      4.5700e-03    1.273e+02     4.814e+01       4.60e+03    5.79e+02    1456188 
   200.195     200.000         0.100      27860.532      1.9702e-01      6.3604e-02      1.2531e-02      4.9950e-03    1.392e+02     4.404e+01       5.02e+03    6.33e+02    1615909 
   200.195     200.000         0.150      27860.532      1.9702e-01      8.2107e-02      1.6176e-02      6.3733e-03    1.776e+02     3.452e+01       6.41e+03    8.07e+02    2240672 
   200.195     200.000         0.200      27860.532      1.9702e-01      9.0733e-02      1.7876e-02      6.9876e-03    1.947e+02     3.148e+01       7.03e+03    8.85e+02    2661347 
   200.195     200.000         0.250      27860.532      1.9702e-01      9.4179e-02      1.8555e-02      7.2150e-03    2.010e+02     3.049e+01       7.26e+03    9.14e+02    2957121 
   200.195     200.000         0.300      27860.532      1.9702e-01      9.4810e-02      1.8679e-02      7.2307e-03    2.015e+02     3.043e+01       7.27e+03    9.16e+02    3168021 
   200.195     200.000         0.400      27860.532      1.9702e-01      9.2078e-02      1.8141e-02      6.9740e-03    1.943e+02     3.155e+01       7.01e+03    8.83e+02    3442206 
   200.195     200.000         0.500      27860.532      1.9702e-01      8.7285e-02      1.7197e-02      6.5706e-03    1.831e+02     3.348e+01       6.61e+03    8.32e+02    3607845 
   200.195     200.000         0.600      27860.532      1.9702e-01      8.2022e-02      1.6160e-02      6.1446e-03    1.712e+02     3.580e+01       6.18e+03    7.78e+02    3713396 
   200.195     200.000         0.700      27860.532      1.9702e-01      7.7130e-02      1.5196e-02      5.7538e-03    1.603e+02     3.824e+01       5.79e+03    7.29e+02    3783522 
   200.195     200.000         0.800      27860.532      1.9702e-01      7.2531e-02      1.4290e-02      5.3900e-03    1.502e+02     4.082e+01       5.42e+03    6.83e+02    3834141 
   200.195     200.000         0.900      27860.532      1.9702e-01      6.8406e-02      1.3477e-02      5.0651e-03    1.411e+02     4.343e+01       5.09e+03    6.41e+02    3868504 
   200.195     200.000         1.000      27860.532      1.9702e-01      6.4523e-02      1.2712e-02      4.7631e-03    1.327e+02     4.619e+01       4.79e+03    6.03e+02    3895244 
   200.195     200.000         1.500      27860.532      1.9702e-01      5.0191e-02      9.8885e-03      3.6622e-03    1.020e+02     6.007e+01       3.68e+03    4.64e+02    3953482 
   200.195     200.000         2.000      27860.532      1.9702e-01      4.0948e-02      8.0674e-03      2.9621e-03    8.253e+01     7.427e+01       2.98e+03    3.75e+02    3970746 
   200.195     200.000         2.500      27860.532      1.9702e-01      3.4627e-02      6.8221e-03      2.4912e-03    6.941e+01     8.831e+01       2.51e+03    3.16e+02    3974675 
   200.195     200.000         3.000      27860.532      1.9702e-01      2.9868e-02      5.8845e-03      2.1376e-03    5.955e+01     1.029e+02       2.15e+03    2.71e+02    3973009 
   200.195     200.000         4.000      27860.532      1.9702e-01      2.3591e-02      4.6478e-03      1.6792e-03    4.678e+01     1.310e+02       1.69e+03    2.13e+02    3970251 
   200.195     200.000         5.000      27860.532      1.9702e-01      1.9448e-02      3.8316e-03      1.3785e-03    3.841e+01     1.596e+02       1.39e+03    1.75e+02    3965702 
   200.195     200.000         6.000      27860.532      1.9702e-01      1.6522e-02      3.2550e-03      1.1668e-03    3.251e+01     1.885e+02       1.17e+03    1.48e+02    3961423 
   200.195     200.000         7.000      27860.532      1.9702e-01      1.4469e-02      2.8506e-03      1.0190e-03    2.839e+01     2.159e+02       1.02e+03    1.29e+02    3957548 
   200.195     200.000         8.000      27860.532      1.9702e-01      1.2735e-02      2.5089e-03      8.9521e-04    2.494e+01     2.458e+02       9.00e+02    1.13e+02    3954398 
   200.195     200.000         9.000      27860.532      1.9702e-01      1.1467e-02      2.2591e-03      8.0528e-04    2.244e+01     2.732e+02       8.10e+02    1.02e+02    3952188 
   200.195     200.000         10.000      27860.532      1.9702e-01      1.0355e-02      2.0402e-03      7.2571e-04    2.022e+01     3.032e+02       7.30e+02    9.19e+01    3949387 
   300.204     300.000         0.010      4357.424      1.7600e-01      3.7621e-05      6.6213e-06      3.4481e-06    1.502e-02     6.380e+04       5.42e-01    6.83e-02    1334 
   300.204     300.000         0.015      4357.424      1.7600e-01      2.7646e-04      4.8657e-05      2.5277e-05    1.101e-01     8.704e+03       3.98e+00    5.00e-01    8027 
   300.204     300.000         0.020      4357.424      1.7600e-01      9.3630e-04      1.6479e-04      8.5258e-05    3.715e-01     2.580e+03       1.34e+01    1.69e+00    24057 
   300.204     300.000         0.025      4357.424      1.7600e-01      2.1161e-03      3.7244e-04      1.9135e-04    8.338e-01     1.150e+03       3.01e+01    3.79e+00    49881 
   300.204     300.000         0.030      4357.424      1.7600e-01      3.7681e-03      6.6319e-04      3.3898e-04    1.477e+00     6.490e+02       5.33e+01    6.71e+00    84791 
   300.204     300.000         0.040      4357.424      1.7600e-01      8.3996e-03      1.4783e-03      7.4915e-04    3.264e+00     2.937e+02       1.18e+02    1.48e+01    175468 
   300.204     300.000         0.050      4357.424      1.7600e-01      1.4283e-02      2.5138e-03      1.2665e-03    5.519e+00     1.737e+02       1.99e+02    2.51e+01    286481 
