VDM         a         pp_VpmV0(fb)      pp_VpVm(fb) 
100        0.0         3.834e+05         1.843e+05 
110        0.0         2.560e+05         1.229e+05 
120        0.0         1.768e+05         8.474e+04 
130        0.0         1.255e+05         6.012e+04 
140        0.0         9.131e+04         4.368e+04 
150        0.0         6.777e+04         3.237e+04 
160        0.0         5.117e+04         2.443e+04 
170        0.0         3.927e+04         1.873e+04 
180        0.0         3.055e+04         1.455e+04 
190        0.0         2.405e+04         1.144e+04 
200        0.0         1.914e+04         9.100e+03 
210        0.0         1.540e+04         7.307e+03 
220        0.0         1.249e+04         5.920e+03 
230        0.0         1.021e+04         4.836e+03 
240        0.0         8.411e+03         3.979e+03 
250        0.0         6.977e+03         3.296e+03 
260        0.0         5.824e+03         2.748e+03 
270        0.0         4.889e+03         2.305e+03 
280        0.0         4.126e+03         1.943e+03 
290        0.0         3.500e+03         1.646e+03 
300        0.0         2.983e+03         1.401e+03 
310        0.0         2.553e+03         1.198e+03 
320        0.0         2.193e+03         1.029e+03 
330        0.0         1.892e+03         8.863e+02 
340        0.0         1.638e+03         7.661e+02 
350        0.0         1.423e+03         6.649e+02 
360        0.0         1.240e+03         5.786e+02 
370        0.0         1.083e+03         5.054e+02 
380        0.0         9.491e+02         4.425e+02 
390        0.0         8.340e+02         3.884e+02 
400        0.0         7.349e+02         3.419e+02 
410        0.0         6.491e+02         3.016e+02 
420        0.0         5.746e+02         2.668e+02 
430        0.0         5.098e+02         2.364e+02 
440        0.0         4.531e+02         2.099e+02 
450        0.0         4.035e+02         1.869e+02 
460        0.0         3.603e+02         1.666e+02 
470        0.0         3.221e+02         1.488e+02 
480        0.0         2.884e+02         1.332e+02 
490        0.0         2.587e+02         1.194e+02 
500        0.0         2.324e+02         1.072e+02 
510        0.0         2.091e+02         9.637e+01 
520        0.0         1.886e+02         8.677e+01 
530        0.0         1.702e+02         7.828e+01 
540        0.0         1.538e+02         7.070e+01 
550        0.0         1.392e+02         6.392e+01 
560        0.0         1.261e+02         5.788e+01 
570        0.0         1.144e+02         5.246e+01 
580        0.0         1.039e+02         4.761e+01 
590        0.0         9.449e+01         4.326e+01 
600        0.0         8.598e+01         3.937e+01 
610        0.0         7.839e+01         3.584e+01 
620        0.0         7.147e+01         3.268e+01 
630        0.0         6.527e+01         2.982e+01 
640        0.0         5.965e+01         2.724e+01 
650        0.0         5.456e+01         2.489e+01 
660        0.0         4.995e+01         2.279e+01 
670        0.0         4.578e+01         2.087e+01 
680        0.0         4.198e+01         1.913e+01 
690        0.0         3.853e+01         1.755e+01 
700        0.0         3.542e+01         1.611e+01 
710        0.0         3.253e+01         1.481e+01 
720        0.0         2.994e+01         1.362e+01 
730        0.0         2.756e+01         1.253e+01 
740        0.0         2.540e+01         1.154e+01 
750        0.0         2.341e+01         1.064e+01 
760        0.0         2.159e+01         9.806e+00 
770        0.0         1.994e+01         9.049e+00 
780        0.0         1.842e+01         8.354e+00 
790        0.0         1.702e+01         7.720e+00 
800        0.0         1.574e+01         7.136e+00 
810        0.0         1.456e+01         6.600e+00 
820        0.0         1.349e+01         6.112e+00 
830        0.0         1.249e+01         5.660e+00 
840        0.0         1.158e+01         5.242e+00 
850        0.0         1.074e+01         4.861e+00 
860        0.0         9.962e+00         4.509e+00 
870        0.0         9.246e+00         4.183e+00 
880        0.0         8.590e+00         3.886e+00 
890        0.0         7.977e+00         3.609e+00 
900        0.0         7.416e+00         3.355e+00 
910        0.0         6.898e+00         3.119e+00 
920        0.0         6.418e+00         2.901e+00 
930        0.0         5.974e+00         2.700e+00 
940        0.0         5.564e+00         2.514e+00 
950        0.0         5.180e+00         2.341e+00 
960        0.0         4.829e+00         2.182e+00 
970        0.0         4.501e+00         2.034e+00 
980        0.0         4.198e+00         1.896e+00 
990        0.0         3.916e+00         1.769e+00 
