 C_Mass(GeV)   N_Mass(GeV)     tau(ns)    Init_xs(fb)      EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   90.678      90.505          0.010      50239.017      3.2016e-02      2.3373e-05      7.4831e-07      4.0245e-07    2.022e-02     5.467e+05       7.30e-01    9.19e-02    470 
   90.678      90.505          0.015      50239.017      3.2016e-02      1.6110e-04      5.1577e-06      2.8902e-06    1.452e-01     7.612e+04       5.24e+00    6.60e-01    2977 
   90.678      90.505          0.020      50239.017      3.2016e-02      5.1495e-04      1.6487e-05      9.4005e-06    4.723e-01     2.340e+04       1.70e+01    2.15e+00    8864 
   90.678      90.505          0.025      50239.017      3.2016e-02      1.1521e-03      3.6887e-05      2.0966e-05    1.053e+00     1.049e+04       3.80e+01    4.79e+00    18667 
   90.678      90.505          0.030      50239.017      3.2016e-02      2.0784e-03      6.6543e-05      3.7830e-05    1.901e+00     5.815e+03       6.86e+01    8.64e+00    32698 
   90.678      90.505          0.040      50239.017      3.2016e-02      4.9007e-03      1.5690e-04      8.8930e-05    4.468e+00     2.474e+03       1.61e+02    2.03e+01    72890 
   90.678      90.505          0.050      50239.017      3.2016e-02      8.6748e-03      2.7773e-04      1.5674e-04    7.874e+00     1.404e+03       2.84e+02    3.58e+01    125181 
   90.678      90.505          0.060      50239.017      3.2016e-02      1.3019e-02      4.1682e-04      2.3457e-04    1.178e+01     9.379e+02       4.25e+02    5.35e+01    184612 
   90.678      90.505          0.070      50239.017      3.2016e-02      1.7821e-02      5.7054e-04      3.1989e-04    1.607e+01     6.877e+02       5.80e+02    7.30e+01    249589 
   90.678      90.505          0.080      50239.017      3.2016e-02      2.2827e-02      7.3083e-04      4.0770e-04    2.048e+01     5.396e+02       7.39e+02    9.31e+01    315703 
   90.678      90.505          0.090      50239.017      3.2016e-02      2.7762e-02      8.8883e-04      4.9355e-04    2.480e+01     4.458e+02       8.95e+02    1.13e+02    382760 
   90.678      90.505          0.100      50239.017      3.2016e-02      3.2681e-02      1.0463e-03      5.7766e-04    2.902e+01     3.808e+02       1.05e+03    1.32e+02    448481 
   90.678      90.505          0.150      50239.017      3.2016e-02      5.3511e-02      1.7132e-03      9.1851e-04    4.615e+01     2.395e+02       1.67e+03    2.10e+02    738452 
