 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)      EAxEE           TAxTE        EAxEExTAxTE       total_eff    xs100(fb)     xslim(fb)         Ntr          r        MCev 
   100.000     99.843         0.010      1031.387      7.4724e-02      5.0175e-05      3.7492e-06      1.3709e-06    1.414e-03     1.605e+05       5.10e-02    6.43e-03    1341 
   100.000     99.843         0.015      1031.387      7.4724e-02      3.0109e-04      2.2499e-05      7.9704e-06    8.221e-03     2.760e+04       2.97e-01    3.74e-02    6909 
   100.000     99.843         0.020      1031.387      7.4724e-02      8.9478e-04      6.6861e-05      2.3144e-05    2.387e-02     9.506e+03       8.62e-01    1.08e-01    19042 
   100.000     99.843         0.025      1031.387      7.4724e-02      1.9358e-03      1.4465e-04      4.9443e-05    5.099e-02     4.450e+03       1.84e+00    2.32e-01    38801 
   100.000     99.843         0.030      1031.387      7.4724e-02      3.4263e-03      2.5603e-04      8.6713e-05    8.943e-02     2.537e+03       3.23e+00    4.06e-01    66380 
   100.000     99.843         0.040      1031.387      7.4724e-02      7.6305e-03      5.7018e-04      1.9031e-04    1.963e-01     1.156e+03       7.09e+00    8.92e-01    140286 
   100.000     99.843         0.050      1031.387      7.4724e-02      1.2919e-02      9.6539e-04      3.1914e-04    3.292e-01     6.894e+02       1.19e+01    1.50e+00    231039 
   100.000     99.843         0.060      1031.387      7.4724e-02      1.8836e-02      1.4075e-03      4.6291e-04    4.774e-01     4.753e+02       1.72e+01    2.17e+00    331752 
   100.000     99.843         0.070      1031.387      7.4724e-02      2.5122e-02      1.8772e-03      6.1367e-04    6.329e-01     3.585e+02       2.28e+01    2.88e+00    438189 
   100.000     99.843         0.080      1031.387      7.4724e-02      3.1260e-02      2.3359e-03      7.6056e-04    7.844e-01     2.893e+02       2.83e+01    3.57e+00    544341 
   100.000     99.843         0.090      1031.387      7.4724e-02      3.7176e-02      2.7779e-03      9.0114e-04    9.294e-01     2.441e+02       3.36e+01    4.22e+00    648778 
   100.000     99.843         0.100      1031.387      7.4724e-02      4.2789e-02      3.1973e-03      1.0326e-03    1.065e+00     2.131e+02       3.84e+01    4.84e+00    749296 
   100.000     99.843         0.150      1031.387      7.4724e-02      6.4972e-02      4.8550e-03      1.5419e-03    1.590e+00     1.427e+02       5.74e+01    7.23e+00    1179045 
   100.000     99.843         0.200      1031.387      7.4724e-02      7.8556e-02      5.8700e-03      1.8343e-03    1.892e+00     1.199e+02       6.83e+01    8.60e+00    1496308 
   100.000     99.843         0.250      1031.387      7.4724e-02      8.6501e-02      6.4637e-03      1.9892e-03    2.052e+00     1.106e+02       7.41e+01    9.33e+00    1727282 
   100.000     99.843         0.300      1031.387      7.4724e-02      9.0677e-02      6.7757e-03      2.0548e-03    2.119e+00     1.071e+02       7.65e+01    9.63e+00    1897465 
   100.000     99.843         0.400      1031.387      7.4724e-02      9.2508e-02      6.9125e-03      2.0466e-03    2.111e+00     1.075e+02       7.62e+01    9.60e+00    2125748 
   100.000     99.843         0.500      1031.387      7.4724e-02      9.0599e-02      6.7699e-03      1.9616e-03    2.023e+00     1.122e+02       7.30e+01    9.20e+00    2264313 
   100.000     99.843         0.600      1031.387      7.4724e-02      8.7169e-02      6.5136e-03      1.8574e-03    1.916e+00     1.184e+02       6.92e+01    8.71e+00    2353508 
   100.000     99.843         0.700      1031.387      7.4724e-02      8.3213e-02      6.2179e-03      1.7471e-03    1.802e+00     1.259e+02       6.51e+01    8.19e+00    2415179 
   100.000     99.843         0.800      1031.387      7.4724e-02      7.9132e-02      5.9130e-03      1.6421e-03    1.694e+00     1.340e+02       6.11e+01    7.70e+00    2460600 
   100.000     99.843         0.900      1031.387      7.4724e-02      7.5501e-02      5.6417e-03      1.5510e-03    1.600e+00     1.418e+02       5.77e+01    7.27e+00    2490340 
   100.000     99.843         1.000      1031.387      7.4724e-02      7.1703e-02      5.3579e-03      1.4599e-03    1.506e+00     1.507e+02       5.44e+01    6.85e+00    2514429 
   100.000     99.843         1.500      1031.387      7.4724e-02      5.7225e-02      4.2761e-03      1.1281e-03    1.164e+00     1.950e+02       4.20e+01    5.29e+00    2570530 
   100.000     99.843         2.000      1031.387      7.4724e-02      4.7247e-02      3.5304e-03      9.1403e-04    9.427e-01     2.407e+02       3.40e+01    4.29e+00    2590229 
   100.000     99.843         2.500      1031.387      7.4724e-02      4.0236e-02      3.0066e-03      7.6797e-04    7.921e-01     2.865e+02       2.86e+01    3.60e+00    2597712 
   100.000     99.843         3.000      1031.387      7.4724e-02      3.5006e-02      2.6158e-03      6.6150e-04    6.823e-01     3.326e+02       2.46e+01    3.10e+00    2601882 
   100.000     99.843         4.000      1031.387      7.4724e-02      2.7771e-02      2.0751e-03      5.1767e-04    5.339e-01     4.250e+02       1.93e+01    2.43e+00    2602776 
   100.000     99.843         5.000      1031.387      7.4724e-02      2.3032e-02      1.7210e-03      4.2583e-04    4.392e-01     5.166e+02       1.59e+01    2.00e+00    2602483 
   100.000     99.843         6.000      1031.387      7.4724e-02      1.9649e-02      1.4682e-03      3.6169e-04    3.730e-01     6.083e+02       1.35e+01    1.70e+00    2600987 
   100.000     99.843         7.000      1031.387      7.4724e-02      1.7212e-02      1.2861e-03      3.1557e-04    3.255e-01     6.972e+02       1.17e+01    1.48e+00    2600719 
   100.000     99.843         8.000      1031.387      7.4724e-02      1.5107e-02      1.1289e-03      2.7631e-04    2.850e-01     7.962e+02       1.03e+01    1.30e+00    2599265 
   100.000     99.843         9.000      1031.387      7.4724e-02      1.3666e-02      1.0212e-03      2.4856e-04    2.564e-01     8.851e+02       9.25e+00    1.17e+00    2598199 
   100.000     99.843         10.000      1031.387      7.4724e-02      1.2373e-02      9.2453e-04      2.2481e-04    2.319e-01     9.786e+02       8.37e+00    1.05e+00    2596260 
   200.000     199.843         0.010      78.442      1.6687e-01      3.9409e-06      6.5762e-07      1.9025e-07    1.492e-05     1.156e+06       5.39e-04    6.78e-05    425 
   200.000     199.843         0.015      78.442      1.6687e-01      4.2775e-05      7.1379e-06      2.0864e-06    1.637e-04     1.054e+05       5.91e-03    7.44e-04    3520 
   200.000     199.843         0.020      78.442      1.6687e-01      1.8688e-04      3.1185e-05      9.1933e-06    7.211e-04     2.393e+04       2.60e-02    3.28e-03    13036 
   200.000     199.843         0.025      78.442      1.6687e-01      5.0963e-04      8.5042e-05      2.5027e-05    1.963e-03     8.791e+03       7.09e-02    8.92e-03    32242 
   200.000     199.843         0.030      78.442      1.6687e-01      1.0622e-03      1.7726e-04      5.2011e-05    4.080e-03     4.230e+03       1.47e-01    1.85e-02    63105 
   200.000     199.843         0.040      78.442      1.6687e-01      2.9424e-03      4.9100e-04      1.4347e-04    1.125e-02     1.533e+03       4.06e-01    5.11e-02    159089 
   200.000     199.843         0.050      78.442      1.6687e-01      5.8155e-03      9.7043e-04      2.8254e-04    2.216e-02     7.787e+02       8.00e-01    1.01e-01    297511 
   200.000     199.843         0.060      78.442      1.6687e-01      9.5037e-03      1.5859e-03      4.5971e-04    3.606e-02     4.786e+02       1.30e+00    1.64e-01    468914 
   200.000     199.843         0.070      78.442      1.6687e-01      1.3819e-02      2.3059e-03      6.6655e-04    5.229e-02     3.301e+02       1.89e+00    2.38e-01    664917 
   200.000     199.843         0.080      78.442      1.6687e-01      1.8369e-02      3.0652e-03      8.8390e-04    6.933e-02     2.489e+02       2.50e+00    3.15e-01    871541 
   200.000     199.843         0.090      78.442      1.6687e-01      2.3191e-02      3.8698e-03      1.1138e-03    8.737e-02     1.975e+02       3.15e+00    3.97e-01    1090889 
   200.000     199.843         0.100      78.442      1.6687e-01      2.8065e-02      4.6832e-03      1.3453e-03    1.055e-01     1.635e+02       3.81e+00    4.80e-01    1313172 
   200.000     199.843         0.150      78.442      1.6687e-01      5.0323e-02      8.3974e-03      2.3979e-03    1.881e-01     9.175e+01       6.79e+00    8.55e-01    2371169 
   200.000     199.843         0.200      78.442      1.6687e-01      6.7045e-02      1.1188e-02      3.1841e-03    2.498e-01     6.909e+01       9.02e+00    1.14e+00    3266505 
   200.000     199.843         0.250      78.442      1.6687e-01      7.8518e-02      1.3102e-02      3.7179e-03    2.916e-01     5.917e+01       1.05e+01    1.33e+00    3983948 
   200.000     199.843         0.300      78.442      1.6687e-01      8.6285e-02      1.4398e-02      4.0724e-03    3.194e-01     5.402e+01       1.15e+01    1.45e+00    4561335 
   200.000     199.843         0.400      78.442      1.6687e-01      9.3917e-02      1.5672e-02      4.4060e-03    3.456e-01     4.993e+01       1.25e+01    1.57e+00    5396391 
   200.000     199.843         0.500      78.442      1.6687e-01      9.5967e-02      1.6014e-02      4.4748e-03    3.510e-01     4.916e+01       1.27e+01    1.60e+00    5952787 
   200.000     199.843         0.600      78.442      1.6687e-01      9.5172e-02      1.5881e-02      4.4131e-03    3.462e-01     4.985e+01       1.25e+01    1.57e+00    6343175 
   200.000     199.843         0.700      78.442      1.6687e-01      9.2995e-02      1.5518e-02      4.2898e-03    3.365e-01     5.128e+01       1.21e+01    1.53e+00    6622075 
   200.000     199.843         0.800      78.442      1.6687e-01      9.0180e-02      1.5048e-02      4.1387e-03    3.247e-01     5.316e+01       1.17e+01    1.48e+00    6830197 
   200.000     199.843         0.900      78.442      1.6687e-01      8.7117e-02      1.4537e-02      3.9800e-03    3.122e-01     5.528e+01       1.13e+01    1.42e+00    6985735 
   200.000     199.843         1.000      78.442      1.6687e-01      8.3794e-02      1.3983e-02      3.8125e-03    2.991e-01     5.770e+01       1.08e+01    1.36e+00    7102689 
   200.000     199.843         1.500      78.442      1.6687e-01      6.9561e-02      1.1608e-02      3.1120e-03    2.441e-01     7.069e+01       8.81e+00    1.11e+00    7428445 
   200.000     199.843         2.000      78.442      1.6687e-01      5.8753e-02      9.8042e-03      2.5970e-03    2.037e-01     8.471e+01       7.35e+00    9.26e-01    7550944 
   200.000     199.843         2.500      78.442      1.6687e-01      5.0598e-02      8.4433e-03      2.2173e-03    1.739e-01     9.922e+01       6.28e+00    7.90e-01    7609086 
   200.000     199.843         3.000      78.442      1.6687e-01      4.4349e-02      7.4005e-03      1.9303e-03    1.514e-01     1.140e+02       5.47e+00    6.88e-01    7633915 
   200.000     199.843         4.000      78.442      1.6687e-01      3.5667e-02      5.9518e-03      1.5383e-03    1.207e-01     1.430e+02       4.36e+00    5.49e-01    7658895 
   200.000     199.843         5.000      78.442      1.6687e-01      2.9779e-02      4.9693e-03      1.2761e-03    1.001e-01     1.724e+02       3.61e+00    4.55e-01    7665147 
   200.000     199.843         6.000      78.442      1.6687e-01      2.5549e-02      4.2634e-03      1.0896e-03    8.547e-02     2.019e+02       3.09e+00    3.89e-01    7663691 
   200.000     199.843         7.000      78.442      1.6687e-01      2.2398e-02      3.7375e-03      9.5217e-04    7.469e-02     2.311e+02       2.70e+00    3.40e-01    7661651 
   200.000     199.843         8.000      78.442      1.6687e-01      1.9896e-02      3.3200e-03      8.4385e-04    6.619e-02     2.607e+02       2.39e+00    3.01e-01    7660285 
   200.000     199.843         9.000      78.442      1.6687e-01      1.7972e-02      2.9990e-03      7.6073e-04    5.967e-02     2.892e+02       2.15e+00    2.71e-01    7657610 
   200.000     199.843         10.000      78.442      1.6687e-01      1.6286e-02      2.7176e-03      6.8828e-04    5.399e-02     3.196e+02       1.95e+00    2.45e-01    7655097 
   300.000     299.843         0.010      15.570      1.5950e-01      7.9966e-07      1.2754e-07      5.6393e-08    8.781e-07     3.901e+06       3.17e-05    3.99e-06    72 
   300.000     299.843         0.015      15.570      1.5950e-01      1.1991e-05      1.9125e-06      7.9670e-07    1.240e-05     2.761e+05       4.48e-04    5.64e-05    921 
   300.000     299.843         0.020      15.570      1.5950e-01      6.1766e-05      9.8514e-06      4.1274e-06    6.427e-05     5.330e+04       2.32e-03    2.92e-04    4142 
   300.000     299.843         0.025      15.570      1.5950e-01      1.9278e-04      3.0748e-05      1.2864e-05    2.003e-04     1.710e+04       7.23e-03    9.10e-04    12003 
