Mhp         Mh1         ld345     pp_hpmh12(fb)     pp_hphm(fb)      xs_t(fb)
100       99.8431        0.0       8.178e+02        2.181e+02        1.036e+03  
110       109.8431       0.0       5.758e+02        1.550e+02        7.309e+02  
120       119.8431       0.0       4.181e+02        1.134e+02        5.315e+02  
130       129.8431       0.0       3.113e+02        8.489e+01        3.962e+02  
140       139.8431       0.0       2.368e+02        6.483e+01        3.016e+02  
150       149.8431       0.0       1.834e+02        5.032e+01        2.337e+02  
160       159.8431       0.0       1.442e+02        3.964e+01        1.838e+02  
170       169.8431       0.0       1.148e+02        3.165e+01        1.465e+02  
180       179.8431       0.0       9.253e+01        2.553e+01        1.181e+02  
190       189.8431       0.0       7.536e+01        2.080e+01        9.617e+01  
200       199.8431       0.0       6.192e+01        1.710e+01        7.902e+01  
210       209.8431       0.0       5.132e+01        1.417e+01        6.549e+01  
220       219.8431       0.0       4.285e+01        1.184e+01        5.469e+01  
230       229.8431       0.0       3.601e+01        9.951e+00        4.596e+01  
240       239.8431       0.0       3.045e+01        8.407e+00        3.886e+01  
250       249.8431       0.0       2.589e+01        7.152e+00        3.304e+01  
260       259.8431       0.0       2.214e+01        6.109e+00        2.825e+01  
270       269.8431       0.0       1.901e+01        5.245e+00        2.426e+01  
280       279.8431       0.0       1.641e+01        4.524e+00        2.094e+01  
290       289.8431       0.0       1.422e+01        3.917e+00        1.814e+01  
300       299.8431       0.0       1.237e+01        3.403e+00        1.577e+01  
310       309.8431       0.0       1.080e+01        2.968e+00        1.377e+01  
320       319.8431       0.0       9.457e+00        2.598e+00        1.205e+01  
330       329.8431       0.0       8.311e+00        2.280e+00        1.059e+01  
340       339.8431       0.0       7.323e+00        2.007e+00        9.330e+00  
350       349.8431       0.0       6.470e+00        1.773e+00        8.243e+00  
360       359.8431       0.0       5.734e+00        1.570e+00        7.304e+00  
370       369.8431       0.0       5.093e+00        1.393e+00        6.486e+00  
380       379.8431       0.0       4.533e+00        1.238e+00        5.772e+00  
390       389.8431       0.0       4.046e+00        1.105e+00        5.151e+00  
400       399.8431       0.0       3.618e+00        9.866e-01        4.605e+00  
410       409.8431       0.0       3.243e+00        8.831e-01        4.126e+00  
420       419.8431       0.0       2.910e+00        7.921e-01        3.702e+00  
430       429.8431       0.0       2.617e+00        7.115e-01        3.328e+00  
440       439.8431       0.0       2.357e+00        6.406e-01        2.998e+00  
450       449.8431       0.0       2.128e+00        5.776e-01        2.705e+00  
460       459.8431       0.0       1.923e+00        5.215e-01        2.444e+00  
470       469.8431       0.0       1.741e+00        4.716e-01        2.213e+00  
480       479.8431       0.0       1.579e+00        4.273e-01        2.006e+00  
490       489.8431       0.0       1.433e+00        3.873e-01        1.820e+00  
500       499.8431       0.0       1.303e+00        3.518e-01        1.655e+00  
510       509.8431       0.0       1.185e+00        3.199e-01        1.505e+00  
