 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   400.268     400.096         0.010      149.566      2.1101e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    400.268     400.096         0.015      149.566      2.1101e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    400.268     400.096         0.020      149.566      2.1101e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    400.268     400.096         0.025      149.566      2.1101e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    400.268     400.096         0.030      149.566      2.1101e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    400.268     400.096         0.040      149.566      2.1101e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    400.268     400.096         0.050      149.566      2.1101e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    400.268     400.096         0.060      149.566      2.1101e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    400.268     400.096         0.070      149.566      2.1101e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    400.268     400.096         0.080      149.566      2.1101e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    400.268     400.096         0.090      149.566      2.1101e-01      1.7986e-02      3.7953e-03      1.8410e-03    2.753e-01     1.195e+02       9.94e+00    1.25e+00    2 
    400.268     400.096         0.100      149.566      2.1101e-01      2.6806e-05      5.6562e-06      2.3371e-06    3.496e-04     9.413e+04       1.26e-02    1.59e-03    1 
    400.268     400.096         0.150      149.566      2.1101e-01      1.7986e-02      3.7951e-03      1.8409e-03    2.753e-01     1.195e+02       9.94e+00    1.25e+00    2 
    400.268     400.096         0.200      149.566      2.1101e-01      2.4936e-04      5.2618e-05      2.1610e-05    3.232e-03     1.018e+04       1.17e-01    1.47e-02    2 
    400.268     400.096         0.250      149.566      2.1101e-01      1.6367e-02      3.4535e-03      1.4279e-03    2.136e-01     1.541e+02       7.71e+00    9.71e-01    3 
    400.268     400.096         0.300      149.566      2.1101e-01      7.7611e-02      1.6377e-02      6.9088e-03    1.033e+00     3.184e+01       3.73e+01    4.70e+00    7 
    400.268     400.096         0.400      149.566      2.1101e-01      3.3390e-02      7.0455e-03      3.3838e-03    5.061e-01     6.502e+01       1.83e+01    2.30e+00    5 
    400.268     400.096         0.500      149.566      2.1101e-01      7.8120e-02      1.6484e-02      7.4133e-03    1.109e+00     2.968e+01       4.00e+01    5.04e+00    9 
    400.268     400.096         0.600      149.566      2.1101e-01      8.0962e-02      1.7084e-02      8.3604e-03    1.250e+00     2.631e+01       4.51e+01    5.68e+00    9 
    400.268     400.096         0.700      149.566      2.1101e-01      8.8173e-02      1.8605e-02      8.4041e-03    1.257e+00     2.618e+01       4.54e+01    5.71e+00    11 
    400.268     400.096         0.800      149.566      2.1101e-01      1.1757e-01      2.4808e-02      1.1534e-02    1.725e+00     1.907e+01       6.23e+01    7.84e+00    9 
    400.268     400.096         0.900      149.566      2.1101e-01      9.4320e-02      1.9902e-02      9.5613e-03    1.430e+00     2.301e+01       5.16e+01    6.50e+00    13 
    400.268     400.096         1.000      149.566      2.1101e-01      9.0621e-02      1.9122e-02      8.9960e-03    1.345e+00     2.446e+01       4.86e+01    6.12e+00    8 
    400.268     400.096         1.500      149.566      2.1101e-01      9.4792e-02      2.0002e-02      9.0133e-03    1.348e+00     2.441e+01       4.87e+01    6.13e+00    14 
    400.268     400.096         2.000      149.566      2.1101e-01      6.1194e-02      1.2912e-02      6.4500e-03    9.647e-01     3.411e+01       3.48e+01    4.38e+00    14 
    400.268     400.096         2.500      149.566      2.1101e-01      7.7740e-02      1.6404e-02      7.7979e-03    1.166e+00     2.821e+01       4.21e+01    5.30e+00    14 
    400.268     400.096         3.000      149.566      2.1101e-01      8.6935e-02      1.8344e-02      8.6876e-03    1.299e+00     2.532e+01       4.69e+01    5.91e+00    17 
    400.268     400.096         4.000      149.566      2.1101e-01      6.4818e-02      1.3677e-02      5.7202e-03    8.555e-01     3.846e+01       3.09e+01    3.89e+00    13 
    400.268     400.096         5.000      149.566      2.1101e-01      4.4692e-02      9.4304e-03      4.7484e-03    7.102e-01     4.633e+01       2.56e+01    3.23e+00    19 
    400.268     400.096         6.000      149.566      2.1101e-01      3.3589e-02      7.0876e-03      3.3321e-03    4.984e-01     6.603e+01       1.80e+01    2.27e+00    18 
    400.268     400.096         7.000      149.566      2.1101e-01      6.3457e-02      1.3390e-02      6.6888e-03    1.000e+00     3.289e+01       3.61e+01    4.55e+00    16 
    400.268     400.096         8.000      149.566      2.1101e-01      5.1056e-02      1.0773e-02      5.1601e-03    7.718e-01     4.264e+01       2.79e+01    3.51e+00    18 
    400.268     400.096         9.000      149.566      2.1101e-01      3.5318e-02      7.4525e-03      3.7975e-03    5.680e-01     5.793e+01       2.05e+01    2.58e+00    15 
    400.268     400.096         10.000      149.566      2.1101e-01      5.2020e-02      1.0977e-02      4.7328e-03    7.079e-01     4.648e+01       2.56e+01    3.22e+00    16 
 
