 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   400.268     400.096         0.010      170.000      2.1101e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    400.268     400.096         0.015      170.000      2.1101e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    400.268     400.096         0.020      170.000      2.1101e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    400.268     400.096         0.025      170.000      2.1101e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    400.268     400.096         0.030      170.000      2.1101e-01      2.6806e-07      5.6562e-08      3.5044e-08    5.957e-06     7.114e+06       2.15e-04    2.39e-05    1 
    400.268     400.096         0.040      170.000      2.1101e-01      1.3371e-04      2.8215e-05      1.7481e-05    2.972e-03     1.426e+04       1.07e-01    1.19e-02    2 
    400.268     400.096         0.050      170.000      2.1101e-01      5.3108e-04      1.1206e-04      6.9430e-05    1.180e-02     3.591e+03       4.26e-01    4.73e-02    7 
    400.268     400.096         0.060      170.000      2.1101e-01      1.1235e-03      2.3707e-04      1.4688e-04    2.497e-02     1.697e+03       9.01e-01    1.00e-01    16 
    400.268     400.096         0.070      170.000      2.1101e-01      1.3826e-03      2.9174e-04      1.8075e-04    3.073e-02     1.379e+03       1.11e+00    1.23e-01    16 
    400.268     400.096         0.080      170.000      2.1101e-01      3.5383e-03      7.4662e-04      4.6258e-04    7.864e-02     5.389e+02       2.84e+00    3.15e-01    33 
    400.268     400.096         0.090      170.000      2.1101e-01      4.6067e-03      9.7205e-04      6.0225e-04    1.024e-01     4.140e+02       3.70e+00    4.11e-01    56 
    400.268     400.096         0.100      170.000      2.1101e-01      6.3837e-03      1.3470e-03      8.3460e-04    1.419e-01     2.987e+02       5.12e+00    5.69e-01    57 
    400.268     400.096         0.150      170.000      2.1101e-01      2.1796e-02      4.5991e-03      2.8614e-03    4.864e-01     8.713e+01       1.76e+01    1.95e+00    190 
