#: table_doi: 10.17182/hepdata.86565.v2/t23
#: name: Table 22
#: description: ETmiss trigger efficiency as function of true ETmiss (EtmissTurnOn).
#: data_file: data22.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO | P P --> SQUARK+ SQUARK- | P P --> STAU+ STAU- | P P --> CHI+ CHI-
#: keyword observables: EFF
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000.0
TRUE ETMISS [GEV],TRUE ETMISS [GEV] LOW,TRUE ETMISS [GEV] HIGH,EFF,error +,error -
30.0,0.0,60.0,0.016,0.000,-0.000
70.0,60.0,80.0,0.035,0.002,-0.002
90.0,80.0,100.0,0.107,0.004,-0.004
110.0,100.0,120.0,0.297,0.008,-0.008
130.0,120.0,140.0,0.595,0.014,-0.014
150.0,140.0,160.0,0.819,0.019,-0.019
170.0,160.0,180.0,0.932,0.022,-0.022
190.0,180.0,200.0,0.974,0.025,-0.025
250.0,200.0,300.0,0.988,0.014,-0.014

