#: table_doi: 10.17182/hepdata.86565.v2/t24
#: name: Table 23
#: description: Single-muon trigger efficiency as function of $|\eta|$ and $\beta$ (SingleMuTurnOn).
#: data_file: data23.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO | P P --> SQUARK+ SQUARK- | P P --> STAU+ STAU- | P P --> CHI+ CHI-
#: keyword observables: EFF
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,,,13000.0
ABS(ETA),ABS(ETA) LOW,ABS(ETA) HIGH,BETA,BETA LOW,BETA HIGH,EFF,error +,error -
0.05,0.0,0.1,0.45,0.2,0.7,0.000,0.000,-0.000
0.4,0.1,0.7,0.45,0.2,0.7,0.000,0.000,-0.000
0.825,0.7,0.95,0.45,0.2,0.7,0.000,0.000,-0.000
1.05,0.95,1.15,0.45,0.2,0.7,0.000,0.000,-0.000
1.25,1.15,1.35,0.45,0.2,0.7,0.000,0.000,-0.000
1.5,1.35,1.65,0.45,0.2,0.7,0.000,0.000,-0.000
1.825,1.65,2.0,0.45,0.2,0.7,0.002,0.000,-0.000
2.05,2.0,2.1,0.45,0.2,0.7,0.001,0.001,-0.001
2.15,2.1,2.2,0.45,0.2,0.7,0.002,0.001,-0.001
2.25,2.2,2.3,0.45,0.2,0.7,0.003,0.001,-0.001
2.35,2.3,2.4,0.45,0.2,0.7,0.011,0.003,-0.003
2.45,2.4,2.5,0.45,0.2,0.7,0.002,0.001,-0.001
0.05,0.0,0.1,0.72,0.7,0.74,0.061,0.008,-0.008
0.4,0.1,0.7,0.72,0.7,0.74,0.098,0.004,-0.004
0.825,0.7,0.95,0.72,0.7,0.74,0.001,0.000,-0.000
1.05,0.95,1.15,0.72,0.7,0.74,0.002,0.001,-0.001
1.25,1.15,1.35,0.72,0.7,0.74,0.013,0.002,-0.002
1.5,1.35,1.65,0.72,0.7,0.74,0.087,0.005,-0.005
1.825,1.65,2.0,0.72,0.7,0.74,0.204,0.009,-0.009
2.05,2.0,2.1,0.72,0.7,0.74,0.163,0.018,-0.018
2.15,2.1,2.2,0.72,0.7,0.74,0.153,0.018,-0.018
2.25,2.2,2.3,0.72,0.7,0.74,0.205,0.024,-0.024
2.35,2.3,2.4,0.72,0.7,0.74,0.242,0.027,-0.027
2.45,2.4,2.5,0.72,0.7,0.74,0.129,0.021,-0.021
0.05,0.0,0.1,0.76,0.74,0.78,0.235,0.017,-0.017
0.4,0.1,0.7,0.76,0.74,0.78,0.393,0.009,-0.009
0.825,0.7,0.95,0.76,0.74,0.78,0.068,0.004,-0.004
1.05,0.95,1.15,0.76,0.74,0.78,0.073,0.005,-0.005
1.25,1.15,1.35,0.76,0.74,0.78,0.239,0.010,-0.010
1.5,1.35,1.65,0.76,0.74,0.78,0.391,0.011,-0.011
1.825,1.65,2.0,0.76,0.74,0.78,0.548,0.015,-0.015
2.05,2.0,2.1,0.76,0.74,0.78,0.469,0.029,-0.029
2.15,2.1,2.2,0.76,0.74,0.78,0.505,0.032,-0.032
2.25,2.2,2.3,0.76,0.74,0.78,0.514,0.036,-0.036
2.35,2.3,2.4,0.76,0.74,0.78,0.559,0.041,-0.041
2.45,2.4,2.5,0.76,0.74,0.78,0.249,0.027,-0.027
0.05,0.0,0.1,0.8,0.78,0.82,0.321,0.023,-0.023
0.4,0.1,0.7,0.8,0.78,0.82,0.696,0.014,-0.014
0.825,0.7,0.95,0.8,0.78,0.82,0.389,0.012,-0.012
1.05,0.95,1.15,0.8,0.78,0.82,0.349,0.012,-0.012
1.25,1.15,1.35,0.8,0.78,0.82,0.652,0.018,-0.018
1.5,1.35,1.65,0.8,0.78,0.82,0.670,0.015,-0.015
1.825,1.65,2.0,0.8,0.78,0.82,0.785,0.017,-0.017
2.05,2.0,2.1,0.8,0.78,0.82,0.721,0.035,-0.035
2.15,2.1,2.2,0.8,0.78,0.82,0.717,0.038,-0.038
2.25,2.2,2.3,0.8,0.78,0.82,0.693,0.038,-0.038
2.35,2.3,2.4,0.8,0.78,0.82,0.783,0.046,-0.046
2.45,2.4,2.5,0.8,0.78,0.82,0.337,0.028,-0.028
0.05,0.0,0.1,0.84,0.82,0.86,0.326,0.027,-0.027
0.4,0.1,0.7,0.84,0.82,0.86,0.803,0.018,-0.018
0.825,0.7,0.95,0.84,0.82,0.86,0.676,0.020,-0.020
1.05,0.95,1.15,0.84,0.82,0.86,0.555,0.017,-0.017
1.25,1.15,1.35,0.84,0.82,0.86,0.876,0.023,-0.023
1.5,1.35,1.65,0.84,0.82,0.86,0.774,0.016,-0.016
1.825,1.65,2.0,0.84,0.82,0.86,0.860,0.017,-0.017
