#: table_doi: 10.17182/hepdata.86565.v2/t26
#: name: Table 25
#: description: Candidate reconstruction efficiency for loose selection (LooseEff).
#: data_file: data25.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO | P P --> SQUARK+ SQUARK- | P P --> STAU+ STAU- | P P --> CHI+ CHI-
#: keyword observables: EFF
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,,,13000.0
ABS(ETA),ABS(ETA) LOW,ABS(ETA) HIGH,TRUE BETA,TRUE BETA LOW,TRUE BETA HIGH,EFF,error +,error -
0.175,0.0,0.35,0.25,0.2,0.3,0.003,0.002,-0.002
0.525,0.35,0.7,0.25,0.2,0.3,0.001,0.001,-0.001
0.9,0.7,1.1,0.25,0.2,0.3,0.000,0.000,-0.000
1.175,1.1,1.25,0.25,0.2,0.3,0.000,0.000,-0.000
1.45,1.25,1.65,0.25,0.2,0.3,0.000,0.000,-0.000
1.825,1.65,2.0,0.25,0.2,0.3,0.000,0.000,-0.000
0.175,0.0,0.35,0.35,0.3,0.4,0.102,0.007,-0.007
0.525,0.35,0.7,0.35,0.3,0.4,0.053,0.005,-0.005
0.9,0.7,1.1,0.35,0.3,0.4,0.036,0.005,-0.005
1.175,1.1,1.25,0.35,0.3,0.4,0.006,0.004,-0.004
1.45,1.25,1.65,0.35,0.3,0.4,0.045,0.009,-0.009
1.825,1.65,2.0,0.35,0.3,0.4,0.029,0.012,-0.012
0.175,0.0,0.35,0.45,0.4,0.5,0.366,0.012,-0.012
0.525,0.35,0.7,0.45,0.4,0.5,0.314,0.011,-0.011
0.9,0.7,1.1,0.45,0.4,0.5,0.194,0.009,-0.009
1.175,1.1,1.25,0.45,0.4,0.5,0.121,0.014,-0.014
1.45,1.25,1.65,0.45,0.4,0.5,0.236,0.017,-0.017
1.825,1.65,2.0,0.45,0.4,0.5,0.059,0.012,-0.012
0.175,0.0,0.35,0.525,0.5,0.55,0.570,0.020,-0.020
0.525,0.35,0.7,0.525,0.5,0.55,0.558,0.020,-0.020
0.9,0.7,1.1,0.525,0.5,0.55,0.409,0.017,-0.017
1.175,1.1,1.25,0.525,0.5,0.55,0.199,0.021,-0.021
1.45,1.25,1.65,0.525,0.5,0.55,0.329,0.023,-0.023
