#: table_doi: 10.17182/hepdata.86565.v2/t27
#: name: Table 26
#: description: Efficiency for a loose candidate to be promoted to a tight candidate (TightPromotionEff).
#: data_file: data26.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO | P P --> SQUARK+ SQUARK- | P P --> STAU+ STAU- | P P --> CHI+ CHI-
#: keyword observables: EFF
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,,,13000.0
ABS(ETA),ABS(ETA) LOW,ABS(ETA) HIGH,TRUE BETA,TRUE BETA LOW,TRUE BETA HIGH,EFF,error +,error -
0.175,0.0,0.35,0.25,0.2,0.3,0.750,0.574,-0.574
0.525,0.35,0.7,0.25,0.2,0.3,0.000,0.000,-0.000
0.9,0.7,1.1,0.25,0.2,0.3,0.000,0.000,-0.000
1.175,1.1,1.25,0.25,0.2,0.3,0.000,0.000,-0.000
1.45,1.25,1.65,0.25,0.2,0.3,0.000,0.000,-0.000
1.825,1.65,2.0,0.25,0.2,0.3,0.000,0.000,-0.000
0.175,0.0,0.35,0.35,0.3,0.4,0.957,0.090,-0.090
0.525,0.35,0.7,0.35,0.3,0.4,0.990,0.144,-0.144
0.9,0.7,1.1,0.35,0.3,0.4,0.946,0.186,-0.186
1.175,1.1,1.25,0.35,0.3,0.4,1.000,1.004,-1.004
1.45,1.25,1.65,0.35,0.3,0.4,0.117,0.072,-0.072
1.825,1.65,2.0,0.35,0.3,0.4,0.000,0.000,-0.000
0.175,0.0,0.35,0.45,0.4,0.5,0.970,0.044,-0.044
0.525,0.35,0.7,0.45,0.4,0.5,0.977,0.049,-0.049
0.9,0.7,1.1,0.45,0.4,0.5,0.983,0.066,-0.066
1.175,1.1,1.25,0.45,0.4,0.5,0.932,0.152,-0.152
1.45,1.25,1.65,0.45,0.4,0.5,0.805,0.085,-0.085
1.825,1.65,2.0,0.45,0.4,0.5,0.000,0.000,-0.000
0.175,0.0,0.35,0.525,0.5,0.55,0.946,0.047,-0.047
0.525,0.35,0.7,0.525,0.5,0.55,0.967,0.050,-0.050
0.9,0.7,1.1,0.525,0.5,0.55,0.965,0.058,-0.058
1.175,1.1,1.25,0.525,0.5,0.55,0.944,0.144,-0.144
1.45,1.25,1.65,0.525,0.5,0.55,0.948,0.093,-0.093
1.825,1.65,2.0,0.525,0.5,0.55,0.000,0.000,-0.000
0.175,0.0,0.35,0.575,0.55,0.6,0.955,0.044,-0.044
0.525,0.35,0.7,0.575,0.55,0.6,0.967,0.044,-0.044
0.9,0.7,1.1,0.575,0.55,0.6,0.970,0.047,-0.047
1.175,1.1,1.25,0.575,0.55,0.6,0.958,0.102,-0.102
1.45,1.25,1.65,0.575,0.55,0.6,0.959,0.074,-0.074
1.825,1.65,2.0,0.575,0.55,0.6,0.000,0.000,-0.000
0.175,0.0,0.35,0.625,0.6,0.65,0.968,0.042,-0.042
0.525,0.35,0.7,0.625,0.6,0.65,0.962,0.041,-0.041
0.9,0.7,1.1,0.625,0.6,0.65,0.970,0.043,-0.043
1.175,1.1,1.25,0.625,0.6,0.65,0.972,0.094,-0.094
1.45,1.25,1.65,0.625,0.6,0.65,0.960,0.065,-0.065
1.825,1.65,2.0,0.625,0.6,0.65,0.000,0.000,-0.000
0.175,0.0,0.35,0.675,0.65,0.7,0.969,0.041,-0.041
0.525,0.35,0.7,0.675,0.65,0.7,0.971,0.039,-0.039
0.9,0.7,1.1,0.675,0.65,0.7,0.974,0.039,-0.039
1.175,1.1,1.25,0.675,0.65,0.7,0.969,0.082,-0.082
1.45,1.25,1.65,0.675,0.65,0.7,0.965,0.054,-0.054
1.825,1.65,2.0,0.675,0.65,0.7,0.000,0.000,-0.000
0.175,0.0,0.35,0.725,0.7,0.75,0.989,0.038,-0.038
0.525,0.35,0.7,0.725,0.7,0.75,0.993,0.039,-0.039
0.9,0.7,1.1,0.725,0.7,0.75,0.993,0.038,-0.038
1.175,1.1,1.25,0.725,0.7,0.75,0.953,0.079,-0.079
