#: table_doi: 10.17182/hepdata.86565.v2/t30
#: name: Table 29
#: description: Resolution and average of reconstructed ToF mass for a given simulated mass for FullDet candidates.
#: data_file: data29.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO | P P --> SQUARK+ SQUARK- | P P --> STAU+ STAU- | P P --> CHI+ CHI-
#: keyword observables: M
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000.0
TRUE MASS [GEV],TRUE MASS [GEV] LOW,TRUE MASS [GEV] HIGH,RECO MASS [GEV],error +,error -
200.0,175.0,225.0,196.712,16.342,-16.342
250.0,225.0,275.0,250.095,23.007,-23.007
300.0,275.0,325.0,299.291,30.915,-30.915
350.0,325.0,375.0,349.861,35.859,-35.859
400.0,375.0,425.0,400.707,41.082,-41.082
450.0,425.0,475.0,448.365,47.146,-47.146
500.0,475.0,525.0,497.572,53.607,-53.607
550.0,525.0,575.0,546.597,62.348,-62.348
600.0,575.0,625.0,597.565,65.233,-65.233
650.0,625.0,675.0,646.942,70.786,-70.786
700.0,675.0,725.0,699.431,85.981,-85.981
750.0,725.0,775.0,745.662,84.853,-84.853
800.0,775.0,825.0,796.584,91.917,-91.917
850.0,825.0,875.0,842.936,97.926,-97.926
900.0,875.0,925.0,894.897,108.769,-108.769
950.0,925.0,975.0,936.411,111.905,-111.905
1012.0,975.0,1050.0,994.078,121.001,-121.001
1100.0,1050.0,1150.0,1090.883,143.140,-143.140
1200.0,1150.0,1250.0,1182.086,159.669,-159.669
1300.0,1250.0,1350.0,1282.756,184.264,-184.264
1400.0,1350.0,1450.0,1377.165,195.876,-195.876
1500.0,1450.0,1550.0,1476.230,215.117,-215.117

