#: table_doi: 10.17182/hepdata.98796.v2/t1
#: name: Cutflow SR-ee
#: description: Cutflow for SR-$ee$ for 5 representative signal points. For the following $\tilde{e}$ mass and lifetime points, the number of Monte Carlo events generated are: 24,000 for (100 GeV, 0.01 ns), 16,000 for (300 GeV, 1 ns), and 12,000 for (500 GeV, 0.1 ns). For the $\tilde{\tau}$ mass and lifetime points, the number of Monte Carlo events generated are: 30,000 for (200 GeV, 0.1 ns), and 104,000 for (300 GeV, 0.1 ns).
#: data_file: cutflow_sr-ee.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
,"$\tilde{e}$ (mass, lifetime) = (100 GeV, 0.01 ns)"
initial number of events ($\mathcal{L} \times \sigma$),50830.0
pass trigger and at least 2 baseline leptons ,736.0
2 leading leptons are electrons ,393.0
$p_\text{T} > 65$ GeV ,330.0
$3$ mm$ < |d_{0}| < 300$ mm  ,121.0
both electrons pass isolation ,117.0
$(p_\text{T}^\text{track}-p_\text{T}^e)/p_\text{T}^e$ $\geq -0.5$ ,85.0
ID track $\chi^2/n_{\mathrm{DOF}} <  2$ ,77.1
number of missing layers $\leq 1$ ,77.1
$\Delta R_{\ell\ell}$ $> 0.2$ ,77.1
no additional cosmic muons ,77.1

,"$\tilde{e}$ (mass, lifetime) = (300 GeV, 1 ns)"
initial number of events ($\mathcal{L} \times \sigma$),870.0
pass trigger and at least 2 baseline leptons ,238.0
2 leading leptons are electrons ,143.0
$p_\text{T} > 65$ GeV ,132.0
$3$ mm$ < |d_{0}| < 300$ mm  ,123.0
both electrons pass isolation ,122.0
$(p_\text{T}^\text{track}-p_\text{T}^e)/p_\text{T}^e$ $\geq -0.5$ ,61.3
ID track $\chi^2/n_{\mathrm{DOF}} <  2$ ,55.0
number of missing layers $\leq 1$ ,52.2
$\Delta R_{\ell\ell}$ $> 0.2$ ,52.2
no additional cosmic muons ,52.2

,"$\tilde{e}$ (mass, lifetime)=(500 GeV, 0.1 ns)"
initial number of events ($\mathcal{L} \times \sigma$),93.6
pass trigger and at least 2 baseline leptons ,66.3
2 leading leptons are electrons ,40.5
$p_\text{T} > 65$ GeV ,39.4
$3$ mm$ < |d_{0}| < 300$ mm  ,31.7
both electrons pass isolation ,31.3
$(p_\text{T}^\text{track}-p_\text{T}^e)/p_\text{T}^e$ $\geq -0.5$ ,20.6
ID track $\chi^2/n_{\mathrm{DOF}} <  2$ ,18.3
number of missing layers $\leq 1$ ,17.7
$\Delta R_{\ell\ell}$ $> 0.2$ ,17.7
no additional cosmic muons ,17.7

,"$\tilde{\tau}$ (mass, lifetime) = (200 GeV, 0.1 ns)"
initial number of events ($\mathcal{L} \times \sigma$),4210.0
pass trigger and at least 2 baseline leptons ,37.1
2 leading leptons are electrons ,18.1
$p_\text{T} > 65$ GeV ,14.9
$3$ mm$ < |d_{0}| < 300$ mm  ,10.6
both electrons pass isolation ,8.26
$(p_\text{T}^\text{track}-p_\text{T}^e)/p_\text{T}^e$ $\geq -0.5$ ,4.65
ID track $\chi^2/n_{\mathrm{DOF}} <  2$ ,3.75
number of missing layers $\leq 1$ ,3.65
$\Delta R_{\ell\ell}$ $> 0.2$ ,3.65
no additional cosmic muons ,3.65

,"$\tilde{\tau}$ (mass, lifetime)= (300 GeV, 0.1 ns)"
initial number of events ($\mathcal{L} \times \sigma$),870.0
pass trigger and at least 2 baseline leptons ,15.7
2 leading leptons are electrons ,7.84
$p_\text{T} > 65$ GeV ,6.66
$3$ mm$ < |d_{0}| < 300$ mm  ,5.27
both electrons pass isolation ,3.72
$(p_\text{T}^\text{track}-p_\text{T}^e)/p_\text{T}^e$ $\geq -0.5$ ,1.31
ID track $\chi^2/n_{\mathrm{DOF}} <  2$ ,1.18
number of missing layers $\leq 1$ ,1.18
$\Delta R_{\ell\ell}$ $> 0.2$ ,1.18
no additional cosmic muons ,1.18

