#: table_doi: 10.17182/hepdata.98796.v2/t34
#: name: Expected LH selectron limits
#: description: Expected 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\ell})$ plane in SR-$ee$ targeting selectron production. Selectrons ($\tilde{e}_{L}$) refer to the scalar superpartners of left-handed electrons.
#: data_file: expected_lh_selectron_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.0060095
60.606,0.0057982
68.445,0.0056394
70.707,0.005595
80.808,0.0054039
90.909,0.0052198
99.299,0.0050763
101.01,0.0050472
111.11,0.0048946
121.21,0.0047633
131.31,0.0046575
141.41,0.0045803
143.75,0.0045694
151.52,0.0045338
161.62,0.004517
171.72,0.0045291
181.79,0.0045694
181.82,0.0045696
191.92,0.0046395
202.02,0.004738
212.12,0.0048659
222.22,0.0050241
225.08,0.0050763
232.32,0.0052171
242.42,0.0054434
250.18,0.0056394
252.53,0.0057035
262.63,0.0059995
271.01,0.006265
272.73,0.0063238
282.83,0.0066778
290.61,0.00696
292.93,0.0070504
303.03,0.0074403
310.53,0.007732
313.13,0.0078389
323.23,0.0082462
331.67,0.0085897
333.33,0.0086602
343.43,0.0090826
353.54,0.009518
354.1,0.0095425
363.64,0.0099637
373.74,0.010429
377.37,0.010601
383.84,0.010909
393.94,0.011411
400.89,0.011777
404.04,0.011943
414.14,0.012506
423.54,0.013083
424.24,0.013127
434.34,0.013805
443.92,0.014535
444.44,0.014577
454.55,0.015444
461.84,0.016147
464.65,0.016435
474.75,0.017549
478.08,0.017938
484.85,0.018787
493.5,0.019928
494.95,0.020134
505.05,0.021563
509.1,0.022139
515.15,0.023052
525.25,0.02458
525.35,0.024594
535.35,0.026142
542.87,0.027322
545.45,0.027756
555.56,0.029456
560.73,0.030353
565.66,0.031291
575.76,0.033323
577.65,0.03372
585.86,0.035664
592.83,0.037461
595.96,0.038397
605.93,0.041616
606.06,0.041668
616.16,0.045733
617.34,0.046233
626.26,0.050828
627.26,0.051361
636.0,0.057058
636.36,0.057349
643.88,0.063388
646.46,0.065967
650.94,0.070419
656.57,0.077405
657.23,0.078231
663.09,0.086908
666.67,0.09359
668.26,0.096549
672.96,0.10726
676.77,0.11857
676.97,0.11916
680.52,0.13237
683.4,0.14706
685.59,0.16337
686.87,0.17871
687.1,0.18149
687.92,0.20163
687.91,0.22399
687.02,0.24884
686.87,0.25098
685.27,0.27644
682.57,0.30711
678.82,0.34117
676.77,0.35681
674.14,0.37902
668.45,0.42106
666.67,0.43278
661.86,0.46777
656.57,0.50285
654.26,0.51966
646.46,0.57166
645.69,0.5773
636.36,0.63979
636.15,0.64134
626.26,0.70756
625.57,0.71248
616.16,0.77522
613.83,0.79152
606.06,0.84294
600.76,0.87932
595.96,0.91089
586.21,0.97686
585.86,0.97919
575.76,1.0478
570.42,1.0852
565.66,1.1182
555.56,1.191
553.63,1.2056
545.45,1.268
536.69,1.3393
535.35,1.3503
525.25,1.4402
520.3,1.4879
515.15,1.5383
505.05,1.6446
504.3,1.653
494.95,1.7588
488.38,1.8363
484.85,1.8781
474.75,1.9999
471.41,2.04
464.65,2.1214
454.55,2.2387
452.05,2.2663
444.44,2.3511
434.34,2.455
427.62,2.5177
424.24,2.55
414.14,2.6372
404.04,2.7145
393.94,2.7833
391.75,2.797
383.84,2.8487
373.74,2.9109
363.64,2.973
353.54,3.0398
344.73,3.1072
343.43,3.118
333.33,3.2217
323.23,3.3563
317.73,3.4519
313.13,3.5422
303.03,3.8009
301.97,3.8348
292.93,4.1652
290.79,4.2602
282.83,4.6553
281.48,4.7328
273.07,5.2578
272.73,5.2806
265.04,5.841
262.63,6.027
256.91,6.4889
252.53,6.8598
248.44,7.2087
242.42,7.7461
239.41,8.0084
232.32,8.6523
229.47,8.8967
222.22,9.5428
218.01,9.8836
212.12,10.38
203.94,10.98
202.02,11.126
191.92,11.758
182.78,12.198
181.82,12.246
171.72,12.581
161.62,12.744
151.52,12.723
141.41,12.502
134.34,12.198
131.31,12.062
121.21,11.371
117.01,10.98
111.11,10.389
107.06,9.8836
101.01,9.0652
99.933,8.8967
94.508,8.0084
90.909,7.3947
89.893,7.2087
85.883,6.4889
82.089,5.841
80.808,5.6424
78.311,5.2578
74.346,4.7328
70.707,4.3359
69.959,4.2602
64.726,3.8348
60.606,3.5753
58.333,3.4519
50.505,3.122
50.078,3.1072

