#: table_doi: 10.17182/hepdata.98796.v2/t40
#: name: Expected LH smuon limits
#: description: Observed 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\ell})$ plane in SR-$\mu\mu$ targeting smuon production. Smuons ($\tilde{\mu}_{L}$) refer to the scalar superpartners of left-handed muons.
#: data_file: expected_lh_smuon_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.012277
53.028,0.011777
58.951,0.010601
60.606,0.010285
64.591,0.0095425
70.468,0.0085897
70.707,0.0085557
77.257,0.007732
80.808,0.0073703
85.734,0.00696
90.909,0.0066034
97.412,0.006265
101.01,0.0061034
111.11,0.0057772
117.62,0.0056394
121.21,0.0055689
131.31,0.0054501
141.41,0.0054003
151.52,0.005408
161.62,0.0054648
171.72,0.0055644
177.33,0.0056394
181.82,0.0057024
191.92,0.0058743
202.02,0.0060751
210.53,0.006265
212.12,0.0063027
222.22,0.006557
232.32,0.0068341
236.68,0.00696
242.42,0.0071368
252.53,0.007464
260.32,0.007732
262.63,0.0078161
272.73,0.0081939
282.72,0.0085897
282.83,0.008594
292.93,0.0090164
303.03,0.0094579
304.94,0.0095425
313.13,0.0099175
323.23,0.010396
327.45,0.010601
333.33,0.010895
343.43,0.011416
350.16,0.011777
353.54,0.011963
363.64,0.012531
373.03,0.013083
373.74,0.013126
383.84,0.013739
393.94,0.014377
396.41,0.014535
404.04,0.01504
414.14,0.015738
419.79,0.016147
424.24,0.016487
434.34,0.017304
441.55,0.017938
444.44,0.018214
454.55,0.019241
460.69,0.019928
464.65,0.020411
474.75,0.021743
477.57,0.022139
484.85,0.02325
493.06,0.024594
494.95,0.024929
505.05,0.026773
507.97,0.027322
515.15,0.028768
522.75,0.030353
525.25,0.03091
535.35,0.033216
537.5,0.03372
545.45,0.035725
551.95,0.037461
555.56,0.038504
565.55,0.041616
565.66,0.041652
575.76,0.045319
578.08,0.046233
585.86,0.049686
589.34,0.051361
595.96,0.055005
599.43,0.057058
606.06,0.061619
608.49,0.063388
616.16,0.069998
616.63,0.070419
624.11,0.078231
626.26,0.080953
630.93,0.086908
636.36,0.095496
637.04,0.096549
642.76,0.10726
646.46,0.11605
647.81,0.11916
652.43,0.13237
656.27,0.14706
656.57,0.14853
659.67,0.16337
662.28,0.18149
664.06,0.20163
664.99,0.22399
665.04,0.24884
664.16,0.27644
662.33,0.30711
659.5,0.34117
656.57,0.36974
655.73,0.37902
651.25,0.42106
646.46,0.46126
645.78,0.46777
639.66,0.51966
636.36,0.54532
632.64,0.5773
626.26,0.62763
624.65,0.64134
616.16,0.70785
615.6,0.71248
606.06,0.78529
605.27,0.79152
595.96,0.85991
593.36,0.87932
585.86,0.93233
579.64,0.97686
575.76,1.0037
565.66,1.0756
564.38,1.0852
555.56,1.151
548.82,1.2056
545.45,1.2331
535.35,1.3264
534.13,1.3393
525.25,1.4361
521.16,1.4879
515.15,1.5661
509.38,1.653
505.05,1.7194
498.33,1.8363
494.95,1.8956
487.47,2.04
484.85,2.0906
476.3,2.2663
474.75,2.2982
464.65,2.5113
464.34,2.5177
454.55,2.7247
451.01,2.797
444.44,2.9329
435.52,3.1072
434.34,3.1308
424.24,3.32
416.5,3.4519
414.14,3.4942
404.04,3.6585
393.94,3.8065
391.79,3.8348
383.84,3.9474
373.74,4.0785
363.64,4.2026
358.87,4.2602
353.54,4.3296
343.43,4.4662
333.33,4.6178
326.69,4.7328
323.23,4.7967
313.13,5.0145
303.61,5.2578
303.03,5.2734
292.93,5.583
285.5,5.841
282.83,5.9359
272.73,6.3292
268.89,6.4889
262.63,6.754
252.53,7.1987
252.3,7.2087
242.42,7.6646
235.01,8.0084
232.32,8.1378
222.22,8.6234
216.45,8.8967
212.12,9.1157
202.02,9.6154
196.39,9.8836
191.92,10.116
181.82,10.609
173.44,10.98
171.72,11.064
161.62,11.47
151.52,11.765
141.41,11.911
131.31,11.866
121.21,11.598
111.11,11.093
109.54,10.98
101.01,10.419
94.374,9.8836
90.909,9.6354
81.52,8.8967
80.808,8.8478
70.707,8.1384
68.786,8.0084
60.606,7.5213
54.919,7.2087
50.505,6.9893

