#: table_doi: 10.17182/hepdata.98796.v2/t46
#: name: Expected LH stau limits
#: description: Expected 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\tau}_L)$ plane, where $\tilde{\tau}_L$ is the pure-state super-partner of the left-handed $\tau$. Purple denotes the region excluded by LEP. This result does not present signficant sensitivity to the pure-state superpartner of the right-handed $\tau$.
#: data_file: expected_lh_stau_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.022084
55.344,0.022702
60.606,0.023339
66.44,0.024138
70.707,0.024697
77.679,0.025664
80.808,0.026086
89.654,0.027288
90.909,0.027456
101.01,0.028779
102.91,0.029014
111.11,0.030041
117.97,0.030849
121.21,0.03124
131.31,0.032392
135.03,0.0328
141.41,0.033524
151.52,0.034669
153.28,0.034874
161.62,0.035876
170.92,0.03708
171.72,0.037186
181.82,0.038645
186.67,0.039425
191.92,0.0403
200.53,0.041919
202.02,0.042211
212.12,0.044467
212.53,0.04457
222.22,0.0472
222.83,0.047389
231.74,0.050386
232.32,0.050603
239.45,0.053573
242.42,0.054978
246.24,0.056961
252.22,0.060564
252.53,0.060771
257.49,0.064395
262.12,0.068467
262.63,0.06898
266.24,0.072798
269.82,0.077402
272.73,0.082035
272.89,0.082298
275.59,0.087503
277.82,0.093037
279.61,0.098922
280.96,0.10518
281.89,0.11183
282.39,0.1189
282.46,0.12642
282.11,0.13442
281.33,0.14292
280.11,0.15196
278.47,0.16157
276.39,0.17179
273.87,0.18266
272.73,0.18713
271.04,0.19421
267.89,0.20649
264.35,0.21955
262.63,0.22567
260.53,0.23344
256.43,0.2482
252.53,0.262
252.0,0.2639
247.34,0.28059
242.42,0.29818
242.38,0.29834
237.2,0.31721
232.32,0.33529
231.8,0.33727
226.24,0.35861
222.22,0.37452
220.55,0.38129
214.78,0.4054
212.12,0.41688
208.91,0.43104
202.92,0.45831
202.02,0.46251
196.7,0.48729
191.92,0.51004
190.15,0.51811
183.05,0.55088
181.82,0.55662
174.81,0.58573
171.72,0.5986
164.41,0.62277
161.62,0.63199
151.52,0.65261
141.41,0.6563
131.31,0.63956
127.04,0.62277
121.21,0.60081
118.72,0.58573
112.65,0.55088
111.11,0.54249
107.82,0.51811
103.37,0.48729
101.01,0.47205
99.279,0.45831
95.604,0.43104
91.827,0.4054
90.909,0.39958
88.34,0.38129
84.843,0.35861
81.15,0.33727
80.808,0.33546
77.46,0.31721
73.487,0.29834
70.707,0.2868
69.115,0.28059
64.267,0.2639
60.606,0.25308
58.734,0.2482
52.354,0.23344
50.505,0.22961

