#: table_doi: 10.17182/hepdata.98796.v2/t36
#: name: Expected RH selectron limits
#: description: Expected 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\ell})$ plane in SR-$ee$ targeting selectron production. Selectrons ($\tilde{e}_{R}$) refer to the scalar superpartners of right-handed electrons. Purple denotes the region excluded by LEP.
#: data_file: expected_rh_selectron_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.00761
59.403,0.0072208
60.606,0.0071746
70.707,0.0068515
80.808,0.0066205
90.909,0.0064685
95.701,0.0064281
101.01,0.0063855
111.11,0.006364
121.21,0.0064003
124.25,0.0064281
131.31,0.0064952
141.41,0.006651
151.52,0.0068708
161.62,0.0071566
163.59,0.0072208
171.72,0.0075081
181.82,0.0079091
186.75,0.0081113
191.92,0.0083356
202.02,0.0087513
211.71,0.0091116
212.12,0.0091273
222.22,0.0094365
232.32,0.0096834
242.42,0.0098797
252.53,0.010045
262.63,0.010203
264.5,0.010235
272.73,0.010373
282.83,0.01058
292.93,0.010843
303.03,0.011182
310.45,0.011498
313.13,0.011614
323.23,0.012152
333.33,0.012819
334.61,0.012915
343.43,0.013619
352.96,0.014508
353.54,0.014565
363.64,0.015647
369.24,0.016298
373.74,0.016853
383.84,0.018151
385.07,0.018307
393.94,0.019508
401.77,0.020565
404.04,0.020892
414.14,0.022284
420.19,0.023101
424.24,0.023691
434.34,0.025141
439.84,0.02595
444.44,0.026693
454.55,0.028428
458.41,0.029151
464.65,0.030463
474.08,0.032745
474.75,0.03293
484.85,0.036028
487.05,0.036784
494.95,0.039984
497.96,0.04132
505.05,0.045101
507.37,0.046416
515.15,0.0518
515.63,0.05214
523.14,0.05857
525.25,0.06083
529.96,0.065793
535.35,0.072933
536.11,0.073907
542.01,0.083022
545.45,0.089649
547.41,0.09326
552.51,0.10476
555.56,0.11334
557.14,0.11768
561.34,0.13219
564.86,0.1485
565.66,0.15365
567.68,0.16681
569.63,0.18738
570.55,0.21049
570.29,0.23645
568.74,0.26561
565.78,0.29836
565.66,0.29931
561.42,0.33516
555.6,0.37649
555.56,0.37676
548.52,0.42292
545.45,0.44131
540.22,0.47508
535.35,0.50439
530.8,0.53367
525.25,0.5676
520.32,0.59948
515.15,0.63155
508.7,0.67342
505.05,0.69629
495.79,0.75646
494.95,0.76171
484.85,0.82677
481.41,0.84975
474.75,0.89244
465.48,0.95455
464.65,0.95988
454.55,1.0282
448.5,1.0723
444.44,1.1004
434.34,1.1769
431.04,1.2045
424.24,1.259
414.14,1.3494
413.78,1.353
404.04,1.448
397.53,1.5199
393.94,1.5595
383.84,1.6855
382.27,1.7074
373.74,1.8291
368.16,1.9179
363.64,1.993
354.75,2.1544
353.54,2.1777
343.43,2.3817
341.58,2.4201
333.33,2.6003
327.88,2.7186
323.23,2.8244
313.13,3.0432
312.6,3.0539
303.03,3.2506
293.19,3.4305
292.93,3.4354
282.83,3.6005
272.73,3.7421
263.58,3.8535
262.63,3.8656
252.53,3.9829
242.42,4.0979
232.32,4.22
224.32,4.3288
222.22,4.3594
212.12,4.5312
202.02,4.7332
196.33,4.8626
191.92,4.9746
181.82,5.259
175.03,5.4623
171.72,5.5772
161.62,5.9298
155.35,6.1359
151.52,6.289
141.41,6.6246
131.31,6.8469
121.21,6.8531
111.11,6.51
106.26,6.1359
101.01,5.754
98.336,5.4623
92.17,4.8626
90.909,4.755
86.953,4.3288
82.003,3.8535
80.808,3.7511
77.591,3.4305
73.515,3.0539
70.707,2.8051
69.816,2.7186
66.643,2.4201
63.89,2.1544
61.581,1.9179
60.606,1.8089
59.702,1.7074
58.207,1.5199
57.053,1.353
56.187,1.2045
55.558,1.0723
55.113,0.95455
54.799,0.84975
54.557,0.75646
54.312,0.67342
53.968,0.59948
53.392,0.53367
52.416,0.47508
50.83,0.42292
50.505,0.41617

