#: table_doi: 10.17182/hepdata.98796.v2/t42
#: name: Expected RH smuon limits
#: description: Expected 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\ell})$ plane in SR-$\mu\mu$ targeting smuon production. Smuons ($\tilde{\mu}_{R}$) refer to the scalar superpartners of right-handed muons. Purple denotes the region excluded by LEP.
#: data_file: expected_rh_smuon_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.01581
60.606,0.015706
70.707,0.015521
80.808,0.015243
90.909,0.014863
97.63,0.014535
101.01,0.014366
111.11,0.013746
120.57,0.013083
121.21,0.013037
131.31,0.012245
137.17,0.011777
141.41,0.011441
151.52,0.010682
152.7,0.010601
161.62,0.010018
170.59,0.0095425
171.72,0.0094853
181.82,0.0090974
191.92,0.0088539
202.02,0.0087536
212.12,0.0087978
222.22,0.0089909
232.32,0.009341
236.4,0.0095425
242.42,0.0098642
252.53,0.010567
252.94,0.010601
262.63,0.011457
265.86,0.011777
272.73,0.012508
277.85,0.013083
282.83,0.013676
289.99,0.014535
292.93,0.014905
303.03,0.016145
303.05,0.016147
313.13,0.017369
318.06,0.017938
323.23,0.018565
333.33,0.019733
335.11,0.019928
343.43,0.020893
353.54,0.02205
354.33,0.022139
363.64,0.023237
373.74,0.024461
374.84,0.024594
383.84,0.025762
393.94,0.027145
395.2,0.027322
404.04,0.028661
414.14,0.03031
414.4,0.030353
424.24,0.032165
432.05,0.03372
434.34,0.034225
444.44,0.036577
448.01,0.037461
454.55,0.039296
462.18,0.041616
464.65,0.042482
474.53,0.046233
474.75,0.046328
484.85,0.051159
485.24,0.051361
494.49,0.057058
494.95,0.057404
502.56,0.063388
505.05,0.065839
509.61,0.070419
515.15,0.077513
515.71,0.078231
521.29,0.086908
525.25,0.094959
526.06,0.096549
530.43,0.10726
534.05,0.11916
535.35,0.12483
537.16,0.13237
539.65,0.14706
541.4,0.16337
542.41,0.18149
542.65,0.20163
542.11,0.22399
540.74,0.24884
538.52,0.27644
535.42,0.30711
535.35,0.30769
531.57,0.34117
526.78,0.37902
525.25,0.38996
521.12,0.42106
515.15,0.46282
514.46,0.46777
506.75,0.51966
505.05,0.53043
497.77,0.5773
494.95,0.59444
487.34,0.64134
484.85,0.65581
475.39,0.71248
474.75,0.7161
464.65,0.77696
462.46,0.79152
454.55,0.84233
449.56,0.87932
444.44,0.91682
437.61,0.97686
434.34,1.0059
427.02,1.0852
424.24,1.1165
417.73,1.2056
414.14,1.2577
409.41,1.3393
404.04,1.4385
401.71,1.4879
394.38,1.653
393.94,1.6633
387.2,1.8363
383.84,1.9257
379.72,2.04
373.74,2.2077
371.65,2.2663
363.64,2.4897
362.6,2.5177
353.54,2.7573
351.92,2.797
343.43,3.0022
338.57,3.1072
333.33,3.2193
323.23,3.4044
320.04,3.4519
313.13,3.5556
303.03,3.6686
292.93,3.7389
282.83,3.7636
272.73,3.7408
262.63,3.6697
252.53,3.5518
246.34,3.4519
242.42,3.3977
232.32,3.2253
226.25,3.1072
222.22,3.0417
212.12,2.8638
208.51,2.797
202.02,2.697
191.92,2.5432
190.24,2.5177
181.82,2.4086
171.72,2.2887
169.71,2.2663
161.62,2.1871
151.52,2.1012
142.92,2.04
141.41,2.0303
131.31,1.9738
121.21,1.9297
111.11,1.8961
101.01,1.8712
90.909,1.8532
80.808,1.8405
76.217,1.8363
70.707,1.8312
60.606,1.8242
50.505,1.8184

