#: table_doi: 10.17182/hepdata.98796.v2/t30
#: name: Expected co-NSLP limits
#: description: Expected 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\ell})$ plane where all slepton flavors and chiralities are mass degenerate.
#: data_file: expected_co-nslp_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.0049002
60.606,0.0048814
70.707,0.0048631
80.808,0.0048442
90.909,0.0048237
101.01,0.0048009
111.11,0.0047759
121.21,0.0047486
131.31,0.0047198
141.41,0.0046905
151.52,0.0046619
161.62,0.0046357
171.72,0.0046134
181.82,0.0045967
191.92,0.004587
202.02,0.0045858
212.12,0.0045942
222.22,0.0046132
232.32,0.0046438
242.42,0.0046866
252.53,0.0047426
262.63,0.0048123
272.73,0.004897
282.83,0.004998
291.02,0.0050941
292.93,0.0051172
303.03,0.0052573
313.13,0.0054207
323.23,0.0056112
328.42,0.0057224
333.33,0.0058345
343.43,0.006095
353.54,0.0063946
354.58,0.0064281
363.64,0.0067446
373.74,0.0071399
375.69,0.0072208
383.84,0.0075909
393.94,0.0080861
394.44,0.0081113
404.04,0.0086344
412.46,0.0091116
414.14,0.0092151
424.24,0.0098298
430.91,0.010235
434.34,0.010459
444.44,0.011099
450.91,0.011498
454.55,0.011734
464.65,0.012363
473.82,0.012915
474.75,0.012974
484.85,0.013574
494.95,0.014153
501.37,0.014508
505.05,0.014718
515.15,0.015275
525.25,0.015822
534.07,0.016298
535.35,0.016369
545.45,0.016925
555.56,0.017495
565.66,0.018088
569.23,0.018307
575.76,0.018718
585.86,0.019393
595.96,0.020128
601.51,0.020565
606.06,0.020938
616.16,0.021842
626.26,0.022857
628.49,0.023101
636.36,0.024014
646.46,0.025335
650.73,0.02595
656.57,0.026859
666.67,0.028619
669.47,0.029151
676.77,0.030676
685.65,0.032745
686.87,0.033061
696.97,0.035874
700.0,0.036784
707.07,0.039178
712.98,0.04132
717.17,0.043053
724.9,0.046416
727.27,0.047603
736.01,0.05214
737.37,0.052961
746.47,0.05857
747.47,0.059298
756.34,0.065793
757.58,0.066861
765.63,0.073907
767.68,0.07606
774.24,0.083022
777.78,0.087622
782.05,0.09326
787.88,0.10297
788.93,0.10476
794.87,0.11768
797.98,0.12691
799.71,0.13219
803.49,0.1485
806.14,0.16681
807.73,0.18738
808.08,0.2015
808.3,0.21049
808.08,0.22271
807.86,0.23645
806.43,0.26561
804.01,0.29836
800.56,0.33516
797.98,0.35828
796.08,0.37649
790.51,0.42292
787.88,0.4427
783.82,0.47508
777.78,0.51929
775.93,0.53367
767.68,0.59292
766.82,0.59948
757.58,0.6653
756.5,0.67342
747.47,0.73793
745.03,0.75646
737.37,0.81202
732.47,0.84975
727.27,0.88854
718.94,0.95455
717.17,0.96821
707.07,1.0509
704.6,1.0723
696.97,1.1374
689.52,1.2045
686.87,1.2282
676.77,1.3231
673.72,1.353
666.67,1.4222
657.14,1.5199
656.57,1.5258
646.46,1.6331
639.73,1.7074
636.36,1.7446
626.26,1.8596
621.28,1.9179
616.16,1.9782
606.06,2.1
601.65,2.1544
595.96,2.225
585.86,2.3528
580.64,2.4201
575.76,2.4835
565.66,2.6168
558.11,2.7186
555.56,2.7531
545.45,2.8923
535.35,3.0348
534.03,3.0539
525.25,3.181
515.15,3.3311
508.65,3.4305
505.05,3.4861
494.95,3.6463
484.85,3.812
482.38,3.8535
474.75,3.9846
464.65,4.1639
455.68,4.3288
454.55,4.3502
444.44,4.5455
434.34,4.7484
428.83,4.8626
424.24,4.9611
414.14,5.1845
404.04,5.4184
402.21,5.4623
393.94,5.6679
383.84,5.9329
376.55,6.1359
373.74,6.2173
363.64,6.5271
353.54,6.8643
352.74,6.8926
343.43,7.2394
333.33,7.6557
331.4,7.7426
323.23,8.1247
313.13,8.6523
312.34,8.6975
303.03,9.249
295.12,9.7701
292.93,9.9198
282.83,10.668
279.01,10.975
272.73,11.494
263.32,12.328
262.63,12.391
252.53,13.345
247.4,13.849
242.42,14.346
232.32,15.373
230.51,15.557
222.22,16.408
212.12,17.435
211.7,17.475
202.02,18.431
191.92,19.378
188.95,19.63
181.82,20.255
171.72,21.032
161.62,21.679
153.83,22.051
151.52,22.166
141.41,22.459
131.31,22.526
121.21,22.344
114.52,22.051
111.11,21.9
101.01,21.199
90.909,20.26
85.315,19.63
80.808,19.12
70.707,17.835
68.05,17.475
60.606,16.472
53.901,15.557
50.505,15.1

