#: table_doi: 10.17182/hepdata.98796.v2/t32
#: name: Expected selectron limits
#: description: Expected 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\ell})$ plane in SR-$ee$ targeting selectron production. Selectrons ($\tilde{e}_{L, R}$) refer to the scalar superpartners of left- and right-handed electrons, which are assumed to be mass degenerate. 
#: data_file: expected_selectron_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.0048279
60.606,0.0048018
70.707,0.0047795
80.808,0.004759
90.909,0.0047389
101.01,0.0047181
111.11,0.004696
121.21,0.0046728
131.31,0.0046497
141.41,0.0046283
151.52,0.004611
161.62,0.0046005
171.72,0.0045996
181.82,0.0046107
191.92,0.0046362
202.02,0.0046777
212.12,0.0047367
222.22,0.0048135
232.32,0.0049081
242.42,0.0050198
246.97,0.0050763
252.53,0.0051481
262.63,0.0052911
272.73,0.0054464
282.83,0.0056134
284.34,0.0056394
292.93,0.005795
303.03,0.0059919
313.13,0.0062101
315.47,0.006265
323.23,0.0064603
333.33,0.006753
339.48,0.00696
343.43,0.0071031
353.54,0.007524
357.88,0.007732
363.64,0.0080233
373.6,0.0085897
373.74,0.0085981
383.84,0.0092255
388.75,0.0095425
393.94,0.0098803
404.04,0.010533
405.12,0.010601
414.14,0.011162
424.24,0.011763
424.49,0.011777
434.34,0.01234
444.44,0.012899
447.88,0.013083
454.55,0.013461
464.65,0.014034
473.3,0.014535
474.75,0.014626
484.85,0.015278
494.95,0.015964
497.59,0.016147
505.05,0.01673
515.15,0.017553
519.77,0.017938
525.25,0.018457
535.35,0.019439
540.27,0.019928
545.45,0.020514
555.56,0.021697
559.21,0.022139
565.66,0.023022
575.76,0.024494
576.42,0.024594
585.86,0.026196
592.06,0.027322
595.96,0.028117
606.06,0.030307
606.27,0.030353
616.16,0.032839
619.49,0.03372
626.26,0.035734
631.8,0.037461
636.36,0.039063
643.33,0.041616
646.46,0.042919
654.14,0.046233
656.57,0.047428
664.27,0.051361
666.67,0.052765
673.75,0.057058
676.77,0.059177
682.58,0.063388
686.87,0.067022
690.76,0.070419
696.97,0.076832
698.29,0.078231
705.22,0.086908
707.07,0.089687
711.53,0.096549
717.1,0.10726
717.17,0.10742
722.1,0.11916
726.28,0.13237
727.27,0.13646
729.76,0.14706
732.44,0.16337
734.3,0.18149
735.34,0.20163
735.56,0.22399
734.93,0.24884
733.45,0.27644
731.07,0.30711
727.75,0.34117
727.27,0.34519
723.5,0.37902
718.17,0.42106
717.17,0.42798
711.74,0.46777
707.07,0.49868
704.05,0.51966
696.97,0.56419
694.98,0.5773
686.87,0.62598
684.41,0.64134
676.77,0.68547
672.26,0.71248
666.67,0.74396
658.53,0.79152
656.57,0.80248
646.46,0.86127
643.5,0.87932
636.36,0.9216
627.52,0.97686
626.26,0.9846
616.16,1.0505
611.12,1.0852
606.06,1.1203
595.96,1.1943
594.49,1.2056
585.86,1.273
577.78,1.3393
575.76,1.3562
565.66,1.4442
560.89,1.4879
555.56,1.5372
545.45,1.6353
543.73,1.653
535.35,1.7391
526.37,1.8363
525.25,1.8484
515.15,1.9637
508.76,2.04
505.05,2.084
494.95,2.2085
490.37,2.2663
484.85,2.3357
474.75,2.4632
470.39,2.5177
464.65,2.5899
454.55,2.7137
447.48,2.797
444.44,2.8337
434.34,2.953
424.24,3.0687
420.87,3.1072
414.14,3.1893
404.04,3.3153
393.94,3.4476
393.63,3.4519
383.84,3.6005
373.74,3.7671
369.95,3.8348
363.64,3.9588
353.54,4.1762
349.98,4.2602
343.43,4.4283
333.33,4.7163
332.81,4.7328
323.23,5.0546
317.8,5.2578
313.13,5.443
304.05,5.841
303.03,5.8882
292.93,6.3965
291.23,6.4889
282.83,6.9696
278.91,7.2087
272.73,7.6077
266.81,8.0084
262.63,8.3091
254.7,8.8967
252.53,9.0689
242.42,9.8782
242.36,9.8836
232.32,10.734
229.35,10.98
222.22,11.616
215.43,12.198
212.12,12.506
202.02,13.391
200.04,13.551
191.92,14.262
182.09,15.054
181.82,15.078
171.72,15.835
161.62,16.475
156.43,16.724
151.52,16.974
141.41,17.29
131.31,17.387
121.21,17.244
111.11,16.85
109.08,16.724
101.01,16.212
90.909,15.361
87.849,15.054
80.808,14.339
73.685,13.551
70.707,13.22
61.616,12.198
60.606,12.086
50.505,11.021
50.08,10.98

