#: table_doi: 10.17182/hepdata.98796.v2/t38
#: name: Expected smuon limits
#: description: Expected 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\ell})$ plane in SR-$\mu\mu$ targeting smuon production. Smuons ($\tilde{\mu}_{L, R}$) refer to the scalar superpartners of left- and right-handed muons, which are assumed to be mass degenerate. 
#: data_file: expected_smuon_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.0067263
60.606,0.0063742
64.096,0.006265
70.707,0.006078
80.808,0.0058292
89.904,0.0056394
90.909,0.00562
101.01,0.0054499
111.11,0.0053108
121.21,0.0052
131.31,0.0051157
138.06,0.0050763
141.41,0.0050573
151.52,0.0050245
161.62,0.0050171
171.72,0.0050361
180.45,0.0050763
181.82,0.0050828
191.92,0.0051599
202.02,0.0052686
212.12,0.0054112
222.22,0.0055896
224.63,0.0056394
232.32,0.00581
242.42,0.0060714
249.03,0.006265
252.53,0.0063768
262.63,0.0067289
268.75,0.00696
272.73,0.0071254
282.83,0.0075661
286.52,0.007732
292.93,0.0080503
303.03,0.0085667
303.49,0.0085897
313.13,0.009124
320.63,0.0095425
323.23,0.0097025
333.33,0.010306
338.36,0.010601
343.43,0.010925
353.54,0.011556
357.18,0.011777
363.64,0.012198
373.74,0.012843
377.59,0.013083
383.84,0.013496
393.94,0.014154
399.84,0.014535
404.04,0.014819
414.14,0.015497
423.67,0.016147
424.24,0.016187
434.34,0.016903
444.44,0.017643
448.37,0.017938
454.55,0.01842
464.65,0.019238
472.77,0.019928
474.75,0.020103
484.85,0.021028
494.95,0.022013
496.19,0.022139
505.05,0.023076
515.15,0.024217
518.35,0.024594
525.25,0.025453
535.35,0.02679
539.17,0.027322
545.45,0.02825
555.56,0.02984
558.65,0.030353
565.66,0.031595
575.76,0.033522
576.75,0.03372
585.86,0.03569
593.43,0.037461
595.96,0.038107
606.06,0.040858
608.67,0.041616
616.16,0.044027
622.49,0.046233
626.26,0.0477
634.97,0.051361
636.36,0.052023
646.19,0.057058
646.46,0.057217
656.27,0.063388
656.57,0.063607
665.29,0.070419
666.67,0.071699
673.34,0.078231
676.77,0.082309
680.46,0.086908
686.7,0.096549
686.87,0.096871
692.17,0.10726
696.78,0.11916
696.97,0.11978
700.68,0.13237
703.77,0.14706
706.07,0.16337
707.07,0.1751
707.61,0.18149
708.39,0.20163
708.36,0.22399
707.51,0.24884
707.07,0.25586
705.87,0.27644
703.39,0.30711
700.02,0.34117
696.97,0.36782
695.77,0.37902
690.67,0.42106
686.87,0.44976
684.63,0.46777
677.7,0.51966
676.77,0.52617
669.91,0.5773
666.67,0.6003
661.23,0.64134
656.57,0.67504
651.69,0.71248
646.46,0.75119
641.33,0.79152
636.36,0.82943
630.19,0.87932
626.26,0.91032
618.29,0.97686
616.16,0.99434
606.06,1.0818
605.69,1.0852
595.96,1.1728
592.51,1.2056
585.86,1.2684
578.77,1.3393
575.76,1.3693
565.66,1.4759
564.59,1.4879
555.56,1.5889
550.2,1.653
545.45,1.7097
535.58,1.8363
535.35,1.8392
525.25,1.9784
521.09,2.04
515.15,2.1288
506.59,2.2663
505.05,2.2914
494.95,2.4675
492.24,2.5177
484.85,2.6574
477.86,2.797
474.75,2.8606
464.65,3.0758
463.21,3.1072
454.55,3.3018
447.97,3.4519
444.44,3.5345
434.34,3.7716
431.61,3.8348
424.24,4.0105
414.14,4.2468
413.55,4.2602
404.04,4.4815
393.94,4.7099
392.88,4.7328
383.84,4.935
373.74,5.1542
368.81,5.2578
363.64,5.3702
353.54,5.5845
343.43,5.7981
341.39,5.841
333.33,6.016
323.23,6.2395
313.13,6.4715
312.39,6.4889
303.03,6.718
292.93,6.9795
284.61,7.2087
282.83,7.2597
272.73,7.5617
262.63,7.8848
258.93,8.0084
252.53,8.2305
242.42,8.596
234.41,8.8967
232.32,8.9778
222.22,9.3704
212.12,9.7652
208.95,9.8836
202.02,10.151
191.92,10.515
181.82,10.838
176.32,10.98
171.72,11.102
161.62,11.284
151.52,11.359
141.41,11.306
131.31,11.107
127.67,10.98
121.21,10.755
111.11,10.258
105.03,9.8836
101.01,9.6441
90.909,8.9609
90.029,8.8967
80.808,8.2701
76.982,8.0084
70.707,7.6145
63.978,7.2087
60.606,7.0231
50.505,6.5061
50.14,6.4889

