#: table_doi: 10.17182/hepdata.98796.v2/t44
#: name: Expected stau limits
#: description: Expected 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\tau})$ plane. Staus, $\tilde{\tau}_{1,2}$ are the mixed states of the superpartners of the left- and right-handed $\tau$ leptons, with mixing angle $\sin(\theta_{\tilde\tau})=0.95$, which are assumed to be mass degenerate. 
#: data_file: expected_stau_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.018062
56.461,0.018738
60.606,0.019203
68.029,0.020092
70.707,0.020412
79.923,0.021544
80.808,0.021654
90.909,0.022896
92.643,0.023101
101.01,0.024114
106.76,0.024771
111.11,0.025284
121.21,0.026384
123.02,0.026561
131.31,0.027403
141.41,0.02834
143.08,0.02848
151.52,0.029213
161.62,0.030054
167.41,0.030539
171.72,0.030908
181.82,0.031831
190.66,0.032745
191.92,0.03288
202.02,0.034121
208.8,0.035112
212.12,0.03562
222.22,0.037451
223.17,0.037649
232.32,0.039709
234.87,0.04037
242.42,0.042498
244.91,0.043288
252.53,0.045953
253.73,0.046416
261.59,0.04977
262.63,0.050267
268.7,0.053367
272.73,0.055727
275.18,0.057224
281.08,0.061359
282.83,0.062763
286.52,0.065793
291.43,0.070548
292.93,0.07224
295.95,0.075646
299.99,0.081113
303.03,0.086129
303.55,0.086975
306.79,0.09326
309.54,0.1
311.82,0.10723
313.13,0.11271
313.69,0.11498
315.2,0.12328
316.25,0.13219
316.88,0.14175
317.08,0.15199
316.86,0.16298
316.23,0.17475
315.18,0.18738
313.71,0.20092
313.13,0.20524
311.88,0.21544
309.68,0.23101
307.05,0.24771
303.98,0.26561
303.03,0.2707
300.58,0.2848
296.78,0.30539
292.93,0.32523
292.52,0.32745
287.96,0.35112
282.93,0.37649
282.83,0.37698
277.56,0.4037
272.73,0.42781
271.74,0.43288
265.51,0.46416
262.63,0.47848
258.8,0.4977
252.53,0.52903
251.59,0.53367
243.77,0.57224
242.42,0.57887
235.2,0.61359
232.32,0.62743
225.7,0.65793
222.22,0.67398
214.94,0.70548
212.12,0.71769
202.32,0.75646
202.02,0.75764
191.92,0.79257
185.4,0.81113
181.82,0.82127
171.72,0.84196
161.62,0.85289
151.52,0.85226
141.41,0.83887
131.31,0.81266
130.92,0.81113
121.21,0.77514
117.23,0.75646
111.11,0.72981
106.28,0.70548
101.01,0.68134
96.246,0.65793
90.909,0.63435
86.227,0.61359
80.808,0.59205
75.548,0.57224
70.707,0.55578
63.527,0.53367
60.606,0.52544
50.505,0.50013

