#: table_doi: 10.17182/hepdata.98796.v2/t33
#: name: Observed LH selectron limits
#: description: Observed 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\ell})$ plane in SR-$ee$ targeting selectron production. Selectrons ($\tilde{e}_{L}$) refer to the scalar superpartners of left-handed electrons.
#: data_file: observed_lh_selectron_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.0055642
60.606,0.0054154
70.707,0.005272
80.808,0.0051336
85.204,0.0050763
90.909,0.0050027
101.01,0.0048813
111.11,0.004771
121.21,0.0046748
131.31,0.0045958
135.84,0.0045694
141.41,0.004537
151.52,0.0045
161.62,0.0044856
171.72,0.0044949
181.82,0.0045287
188.81,0.0045694
191.92,0.0045881
202.02,0.004674
212.12,0.0047863
222.22,0.0049252
231.48,0.0050763
232.32,0.0050906
242.42,0.0052823
252.53,0.0054965
258.76,0.0056394
262.63,0.0057315
272.73,0.0059841
282.83,0.0062506
283.37,0.006265
292.93,0.0065311
303.03,0.0068244
307.55,0.00696
313.13,0.0071345
323.23,0.0074657
330.79,0.007732
333.33,0.0078263
343.43,0.0082232
351.89,0.0085897
353.54,0.0086651
363.64,0.0091538
371.04,0.0095425
373.74,0.0096914
383.84,0.010268
389.43,0.010601
393.94,0.010878
404.04,0.011512
408.2,0.011777
414.14,0.012166
424.24,0.012847
427.64,0.013083
434.34,0.013565
444.44,0.014338
446.89,0.014535
454.55,0.015181
464.65,0.016114
465.0,0.016147
474.75,0.017139
482.04,0.017938
484.85,0.018267
494.95,0.019485
498.54,0.019928
505.05,0.020782
515.14,0.022139
515.15,0.022139
525.25,0.023543
532.71,0.024594
535.35,0.024991
545.45,0.026492
550.94,0.027322
555.56,0.028072
565.66,0.029765
569.07,0.030353
575.76,0.031628
585.86,0.033698
585.97,0.03372
595.96,0.03611
601.2,0.037461
606.06,0.038918
614.49,0.041616
616.16,0.042251
626.13,0.046233
626.26,0.046295
636.36,0.051319
636.45,0.051361
645.64,0.057058
646.46,0.057682
653.89,0.063388
656.57,0.065914
661.28,0.070419
666.67,0.076759
667.9,0.078231
673.96,0.086908
676.77,0.091874
679.38,0.096549
684.24,0.10726
686.87,0.11449
688.53,0.11916
692.3,0.13237
695.42,0.14706
696.97,0.15702
697.94,0.16337
699.8,0.18149
700.91,0.20163
701.2,0.22399
700.61,0.24884
699.05,0.27644
696.97,0.30093
696.49,0.30711
692.94,0.34117
688.26,0.37902
686.87,0.38868
682.57,0.42106
676.77,0.46013
675.73,0.46777
667.85,0.51966
666.67,0.52683
658.95,0.5773
656.57,0.59173
648.97,0.64134
646.46,0.65662
637.93,0.71248
636.36,0.72212
626.26,0.78849
625.83,0.79152
616.16,0.85555
612.75,0.87932
606.06,0.92424
598.56,0.97686
595.96,0.99468
585.86,1.0666
583.34,1.0852
575.76,1.1405
567.14,1.2056
565.66,1.2167
555.56,1.296
550.26,1.3393
545.45,1.379
535.35,1.4668
533.06,1.4879
525.25,1.5606
515.9,1.653
515.15,1.6605
505.05,1.7674
498.84,1.8363
494.95,1.8801
484.85,1.9974
481.24,2.04
474.75,2.1177
464.65,2.238
462.22,2.2663
454.55,2.3575
444.44,2.4722
440.21,2.5177
434.34,2.5822
424.24,2.6853
414.14,2.7794
412.09,2.797
404.04,2.868
393.94,2.9491
383.84,3.0236
373.74,3.0943
371.89,3.1072
363.64,3.1684
353.54,3.2486
343.43,3.341
333.54,3.4519
333.33,3.4545
323.23,3.611
313.13,3.8169
312.44,3.8348
303.03,4.1084
298.9,4.2602
292.93,4.5052
288.34,4.7328
282.83,5.0335
279.27,5.2578
272.73,5.7017
270.88,5.841
262.73,6.4889
262.63,6.4975
254.57,7.2087
252.53,7.3973
246.06,8.0084
242.42,8.3648
236.95,8.8967
232.32,9.361
226.87,9.8836
222.22,10.343
215.2,10.98
212.12,11.267
202.02,12.095
200.52,12.198
191.92,12.804
181.82,13.362
176.96,13.551
171.72,13.762
161.62,13.988
151.52,14.027
141.41,13.867
132.95,13.551
131.31,13.489
121.21,12.881
113.27,12.198
111.11,12.006
102.12,10.98
101.01,10.849
94.158,9.8836
90.909,9.4124
87.747,8.8967
82.348,8.0084
80.808,7.7575
77.623,7.2087
73.343,6.4889
70.707,6.0635
69.325,5.841
65.428,5.2578
61.547,4.7328
60.606,4.6205
57.333,4.2602
52.693,3.8348
50.505,3.6705

