#: table_doi: 10.17182/hepdata.98796.v2/t39
#: name: Observed LH smuon limits
#: description: Expected 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\ell})$ plane in SR-$\mu\mu$ targeting smuon production. Smuons ($\tilde{\mu}_{L}$) refer to the scalar superpartners of left-handed muons. 
#: data_file: observed_lh_smuon_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.012307
53.183,0.011777
59.071,0.010601
60.606,0.010304
64.627,0.0095425
70.393,0.0085897
70.707,0.0085442
77.038,0.007732
80.808,0.007342
85.321,0.00696
90.909,0.0065706
96.714,0.006265
101.01,0.0060705
111.11,0.0057446
116.06,0.0056394
121.21,0.0055378
131.31,0.0054197
141.41,0.0053707
151.52,0.005379
161.62,0.0054364
171.72,0.0055369
179.27,0.0056394
181.82,0.0056757
191.92,0.0058493
202.02,0.0060528
211.34,0.006265
212.12,0.0062839
222.22,0.0065436
232.32,0.006828
236.75,0.00696
242.42,0.00714
252.53,0.0074784
259.67,0.007732
262.63,0.0078432
272.73,0.0082327
281.58,0.0085897
282.83,0.0086424
292.93,0.0090671
303.03,0.0095017
303.99,0.0095425
313.13,0.009938
323.23,0.010376
328.43,0.010601
333.33,0.010812
343.43,0.011244
353.54,0.011679
355.82,0.011777
363.64,0.012106
373.74,0.012535
383.84,0.012973
386.35,0.013083
393.94,0.013413
404.04,0.01387
414.14,0.014368
417.29,0.014535
424.24,0.014915
434.34,0.015544
442.59,0.016147
444.44,0.016293
454.55,0.017197
461.54,0.017938
464.65,0.018308
474.75,0.019672
476.48,0.019928
484.85,0.021341
489.22,0.022139
494.95,0.023327
500.85,0.024594
505.05,0.025605
512.19,0.027322
515.15,0.028107
523.84,0.030353
525.25,0.030751
535.35,0.033487
536.25,0.03372
545.45,0.036315
549.54,0.037461
555.56,0.039287
563.06,0.041616
565.66,0.042496
575.76,0.046081
576.17,0.046233
585.86,0.050243
588.37,0.051361
595.96,0.055214
599.34,0.057058
606.06,0.061321
609.12,0.063388
616.16,0.069018
617.83,0.070419
625.62,0.078231
626.26,0.078995
632.72,0.086908
636.36,0.092458
639.04,0.096549
644.72,0.10726
646.46,0.11134
649.87,0.11916
654.37,0.13237
656.57,0.14077
658.27,0.14706
661.61,0.16337
664.15,0.18149
665.89,0.20163
666.67,0.22102
666.79,0.22399
666.8,0.24884
666.67,0.2524
665.87,0.27644
663.97,0.30711
661.06,0.34117
657.1,0.37902
656.57,0.38332
652.47,0.42106
646.82,0.46777
646.46,0.47044
640.59,0.51966
636.36,0.55227
633.43,0.5773
626.26,0.63362
625.35,0.64134
616.27,0.71248
616.16,0.71328
606.06,0.79064
605.95,0.79152
595.96,0.86549
594.13,0.87932
585.86,0.93845
580.57,0.97686
575.76,1.0106
565.66,1.0837
565.45,1.0852
555.56,1.1603
550.06,1.2056
545.45,1.2439
535.35,1.3387
535.29,1.3393
525.25,1.4498
522.26,1.4879
515.15,1.581
510.38,1.653
505.05,1.7348
499.2,1.8363
494.95,1.9107
488.22,2.04
484.85,2.1048
476.94,2.2663
474.75,2.3111
464.9,2.5177
464.65,2.523
454.55,2.7359
451.56,2.797
444.44,2.9445
436.15,3.1072
434.34,3.1438
424.24,3.335
417.51,3.4519
414.14,3.5134
404.04,3.6821
393.99,3.8348
393.94,3.8356
383.84,3.9852
373.74,4.124
363.64,4.2565
363.35,4.2602
353.54,4.396
343.43,4.5419
333.33,4.7026
331.66,4.7328
323.23,4.8943
313.13,5.1198
307.83,5.2578
303.03,5.3882
292.93,5.7022
288.96,5.841
282.83,6.0601
272.73,6.4545
271.9,6.4889
262.63,6.8819
255.21,7.2087
252.53,7.33
242.42,7.7964
237.86,8.0084
232.32,8.2767
222.22,8.7655
219.47,8.8967
212.12,9.2713
202.02,9.779
199.86,9.8836
191.92,10.302
181.82,10.809
178.02,10.98
171.72,11.294
161.62,11.717
151.52,12.027
141.41,12.184
131.31,12.144
121.21,11.871
111.11,11.347
106.22,10.98
101.01,10.623
92.232,9.8836
90.909,9.785
80.808,8.9575
80.085,8.8967
70.707,8.2158
67.731,8.0084
60.606,7.5738
54.105,7.2087
50.505,7.0266

