#: table_doi: 10.17182/hepdata.98796.v2/t45
#: name: Observed LH stau limits
#: description: Observed 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\tau}_L)$ plane, where $\tilde{\tau}_L$ is the pure-state super-partner of the left-handed $\tau$. Purple denotes the region excluded by LEP. This result does not present signficant sensitivity to the pure-state superpartner of the right-handed $\tau$.
#: data_file: observed_lh_stau_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.021271
51.355,0.021351
60.606,0.022195
65.579,0.022702
70.707,0.023211
79.557,0.024138
80.808,0.024267
90.909,0.025319
94.374,0.025664
101.01,0.026337
110.94,0.027288
111.11,0.027305
121.21,0.028232
129.91,0.029014
131.31,0.029146
141.41,0.030096
148.76,0.030849
151.52,0.031146
161.62,0.032356
164.86,0.0328
171.72,0.033776
178.5,0.034874
181.82,0.035427
190.74,0.03708
191.92,0.037305
202.02,0.039403
202.12,0.039425
212.12,0.041754
212.77,0.041919
222.22,0.044452
222.62,0.04457
231.57,0.047389
232.32,0.047645
239.61,0.050386
242.42,0.051557
246.85,0.053573
252.53,0.056507
253.34,0.056961
259.14,0.060564
262.63,0.063087
264.34,0.064395
269.0,0.068467
272.73,0.072369
273.13,0.072798
276.85,0.077402
280.09,0.082298
282.83,0.087387
282.89,0.087503
285.38,0.093037
287.46,0.098922
289.13,0.10518
290.41,0.11183
291.29,0.1189
291.79,0.12642
291.9,0.13442
291.61,0.14292
290.92,0.15196
289.81,0.16157
288.28,0.17179
286.32,0.18266
283.92,0.19421
282.83,0.19891
281.2,0.20649
278.13,0.21955
274.64,0.23344
272.73,0.24065
270.84,0.2482
266.74,0.2639
262.63,0.27917
262.26,0.28059
257.54,0.29834
252.53,0.31698
252.47,0.31721
247.17,0.33727
242.42,0.35531
241.58,0.35861
235.82,0.38129
232.32,0.39534
229.9,0.4054
223.89,0.43104
222.22,0.43829
217.82,0.45831
212.12,0.4849
211.63,0.48729
205.34,0.51811
202.02,0.53462
198.77,0.55088
191.92,0.58537
191.85,0.58573
184.16,0.62277
181.82,0.63399
175.21,0.66216
171.72,0.67695
163.55,0.70404
161.62,0.71039
151.52,0.73017
141.41,0.73203
131.31,0.71202
129.53,0.70404
121.21,0.66779
120.4,0.66216
114.53,0.62277
111.11,0.60101
109.35,0.58573
105.12,0.55088
101.01,0.51933
100.88,0.51811
97.434,0.48729
93.931,0.45831
90.909,0.43525
90.42,0.43104
87.236,0.4054
83.936,0.38129
80.808,0.36073
80.496,0.35861
77.073,0.33727
73.392,0.31721
70.707,0.30438
69.367,0.29834
64.916,0.28059
60.606,0.26598
59.906,0.2639
54.012,0.2482
50.505,0.24004

