#: table_doi: 10.17182/hepdata.98796.v2/t35
#: name: Observed RH selectron limits
#: description: Observed 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\ell})$ plane in SR-$ee$ targeting selectron production. Selectrons ($\tilde{e}_{R}$) refer to the scalar superpartners of right-handed electrons. Purple denotes the region excluded by LEP.
#: data_file: observed_rh_selectron_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.266,0.0072208
50.505,0.007212
60.606,0.0068866
70.707,0.0066423
80.808,0.0064688
84.346,0.0064281
90.909,0.0063575
101.01,0.0063003
111.11,0.0062921
121.21,0.0063311
131.31,0.0064176
132.13,0.0064281
141.41,0.0065539
151.52,0.0067416
161.62,0.0069814
170.08,0.0072208
171.72,0.0072707
181.82,0.0075988
191.92,0.007947
196.83,0.0081113
202.02,0.0082912
212.12,0.0086068
222.22,0.008882
232.21,0.0091116
232.32,0.0091142
242.42,0.0093063
252.53,0.0094781
262.63,0.0096478
272.73,0.0098348
282.83,0.010058
289.33,0.010235
292.93,0.010334
303.03,0.010678
313.13,0.011111
320.47,0.011498
323.23,0.011648
333.33,0.0123
341.37,0.012915
343.43,0.013083
353.54,0.013995
358.66,0.014508
363.64,0.015037
373.74,0.016189
374.67,0.016298
383.84,0.017424
390.9,0.018307
393.94,0.018712
404.04,0.020023
408.34,0.020565
414.14,0.021343
424.24,0.022674
427.57,0.023101
434.34,0.02404
444.44,0.025483
447.61,0.02595
454.55,0.027075
464.65,0.028894
465.97,0.029151
474.75,0.031066
481.48,0.032745
484.85,0.03371
494.4,0.036784
494.95,0.036991
505.05,0.041134
505.47,0.04132
515.15,0.0464
515.18,0.046416
523.93,0.05214
525.25,0.053193
531.91,0.05857
535.35,0.061956
539.25,0.065793
545.45,0.073208
546.04,0.073907
552.54,0.083022
555.56,0.088144
558.57,0.09326
564.15,0.10476
565.66,0.10851
569.26,0.11768
573.75,0.13219
575.76,0.14057
577.58,0.1485
580.66,0.16681
582.89,0.18738
584.18,0.21049
584.45,0.23645
583.58,0.26561
581.47,0.29836
578.04,0.33516
575.76,0.3542
573.23,0.37649
567.01,0.42292
565.66,0.43178
559.37,0.47508
555.56,0.49915
550.3,0.53367
545.45,0.56345
539.77,0.59948
535.35,0.62617
527.7,0.67342
525.25,0.68804
515.15,0.74904
513.93,0.75646
505.05,0.80893
498.22,0.84975
494.95,0.86889
484.85,0.92868
480.62,0.95455
474.75,0.98947
464.65,1.0528
461.78,1.0723
454.55,1.1197
444.44,1.1932
443.07,1.2045
434.34,1.2738
425.65,1.353
424.24,1.3655
414.14,1.4687
409.79,1.5199
404.04,1.5868
395.01,1.7074
393.94,1.7217
383.84,1.8746
381.25,1.9179
373.74,2.0473
368.02,2.1544
363.64,2.24
354.94,2.4201
353.54,2.4509
343.43,2.6781
341.63,2.7186
333.33,2.9167
327.44,3.0539
323.23,3.1579
313.13,3.3935
311.39,3.4305
303.03,3.6189
292.93,3.8226
291.17,3.8535
282.83,4.0081
272.73,4.171
262.63,4.3149
261.56,4.3288
252.53,4.4537
242.42,4.5918
232.32,4.7392
224.83,4.8626
222.22,4.9088
212.12,5.1167
202.02,5.3634
198.46,5.4623
191.92,5.6644
181.82,6.0191
178.69,6.1359
171.72,6.4356
161.72,6.8926
161.62,6.8983
151.52,7.4102
144.33,7.7426
141.41,7.904
131.31,8.297
121.21,8.415
111.11,8.0427
108.07,7.7426
101.01,7.02
100.22,6.8926
95.109,6.1359
90.909,5.5746
90.246,5.4623
86.085,4.8626
81.812,4.3288
80.808,4.2203
77.866,3.8535
74.061,3.4305
70.707,3.0857
70.423,3.0539
67.216,2.7186
64.315,2.4201
61.783,2.1544
60.606,2.0249
59.651,1.9179
57.901,1.7074
56.502,1.5199
55.419,1.353
54.605,1.2045
54.013,1.0723
53.593,0.95455
53.295,0.84975
53.058,0.75646
52.808,0.67342
52.443,0.59948
51.831,0.53367
50.8,0.47508
50.505,0.46503

