#: table_doi: 10.17182/hepdata.98796.v2/t41
#: name: Observed RH smuon limits
#: description: Observed 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\ell})$ plane in SR-$\mu\mu$ targeting smuon production. Smuons ($\tilde{\mu}_{R}$) refer to the scalar superpartners of right-handed muons. Purple denotes the region excluded by LEP.
#: data_file: observed_rh_smuon_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.014881
57.19,0.014966
60.606,0.015004
70.707,0.015026
77.466,0.014966
80.808,0.014934
90.909,0.014699
101.01,0.014321
111.11,0.0138
111.85,0.013752
121.21,0.013115
127.43,0.012636
131.31,0.012329
140.04,0.011612
141.41,0.0115
151.52,0.010712
152.11,0.01067
161.62,0.010036
165.85,0.0098044
171.72,0.0095039
181.82,0.0091178
186.16,0.0090091
191.92,0.0088707
202.02,0.0087557
212.12,0.00877
222.22,0.0089185
225.46,0.0090091
232.32,0.0092156
242.42,0.0096784
244.52,0.0098044
252.53,0.010333
256.72,0.01067
262.63,0.011192
266.85,0.011612
272.73,0.012244
276.18,0.012636
282.83,0.01344
285.4,0.013752
292.93,0.014708
295.02,0.014966
303.03,0.015988
305.49,0.016287
313.13,0.017246
317.16,0.017724
323.23,0.018473
330.21,0.019289
333.33,0.019672
343.43,0.020851
344.69,0.020991
353.54,0.022032
360.54,0.022844
363.64,0.023226
373.74,0.024455
377.07,0.024861
383.84,0.025743
393.62,0.027055
393.94,0.0271
404.04,0.028577
409.73,0.029443
414.14,0.030177
424.24,0.031933
424.85,0.032042
434.34,0.033916
438.94,0.03487
444.44,0.036153
451.74,0.037948
454.55,0.038731
463.23,0.041298
464.65,0.041781
473.41,0.044943
474.75,0.045505
482.4,0.04891
484.85,0.050199
490.33,0.053227
494.95,0.056287
497.33,0.057925
503.59,0.063038
505.05,0.064457
509.27,0.068602
514.33,0.074657
515.15,0.075814
519.07,0.081247
523.33,0.088419
525.25,0.092278
527.29,0.096223
530.96,0.10472
534.19,0.11396
535.35,0.118
537.17,0.12402
539.81,0.13497
541.97,0.14688
543.65,0.15984
544.83,0.17395
545.45,0.18803
545.51,0.18931
545.68,0.20602
545.45,0.21539
545.27,0.2242
544.3,0.24399
542.73,0.26553
540.54,0.28896
537.71,0.31447
535.35,0.33334
534.3,0.34223
530.33,0.37243
525.73,0.40531
525.25,0.40855
520.58,0.44108
515.15,0.47752
514.79,0.48002
508.33,0.52239
505.05,0.54321
501.1,0.5685
494.95,0.60624
492.95,0.61868
484.85,0.66641
483.71,0.67328
474.75,0.72457
473.4,0.73271
464.65,0.78309
462.41,0.79739
454.55,0.84579
451.49,0.86777
444.44,0.91815
441.45,0.94437
434.34,1.0082
432.61,1.0277
425.04,1.1184
424.24,1.1287
418.76,1.2172
414.14,1.3003
413.04,1.3246
408.11,1.4415
404.04,1.5473
403.33,1.5688
398.88,1.7072
394.19,1.8579
393.94,1.866
389.38,2.0219
384.01,2.2004
383.84,2.2058
377.96,2.3946
373.74,2.5227
370.86,2.606
363.64,2.8033
362.32,2.836
353.54,3.0446
351.51,3.0863
343.43,3.2484
336.74,3.3587
333.33,3.4148
323.23,3.5458
313.13,3.6383
310.07,3.6552
303.03,3.6958
292.93,3.7154
282.83,3.6958
275.89,3.6552
272.73,3.6386
262.63,3.5508
252.53,3.4315
247.59,3.3587
242.42,3.2924
232.32,3.1428
228.87,3.0863
222.22,2.9923
212.12,2.8446
211.55,2.836
202.02,2.7116
193.54,2.606
191.92,2.5881
181.82,2.4819
172.49,2.3946
171.72,2.3881
161.62,2.3111
151.52,2.2473
142.17,2.2004
141.41,2.1968
131.31,2.1597
121.21,2.1342
111.11,2.1191
101.01,2.1133
90.909,2.1158
80.808,2.125
70.707,2.1399
60.606,2.159
50.505,2.181

