#: table_doi: 10.17182/hepdata.98796.v2/t29
#: name: Observed co-NSLP limits
#: description: Observed 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\ell})$ plane where all slepton flavors and chiralities are mass degenerate.
#: data_file: observed_co-nslp_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.0047408
60.606,0.0047309
70.707,0.004722
80.808,0.0047128
90.909,0.0047022
101.01,0.0046892
111.11,0.0046735
121.21,0.0046548
131.31,0.0046336
141.41,0.0046104
151.52,0.0045864
161.62,0.0045629
171.72,0.0045414
175.39,0.0045349
181.82,0.0045232
191.92,0.0045103
202.02,0.0045044
212.12,0.0045072
222.22,0.0045205
228.02,0.0045349
232.32,0.0045454
242.42,0.0045827
252.53,0.0046342
262.63,0.0047009
272.73,0.0047843
282.83,0.0048859
292.93,0.0050079
299.02,0.0050941
303.03,0.0051515
313.13,0.0053186
323.23,0.0055149
332.4,0.0057224
333.33,0.0057445
343.43,0.0060101
353.54,0.0063164
356.89,0.0064281
363.64,0.006668
373.74,0.0070646
377.46,0.0072208
383.84,0.0075094
393.94,0.007996
396.27,0.0081113
404.04,0.0085254
414.14,0.0090825
414.68,0.0091116
424.24,0.0096699
433.86,0.010235
434.34,0.010266
444.44,0.010875
454.55,0.011475
454.94,0.011498
464.65,0.012078
474.75,0.012664
479.24,0.012915
484.85,0.013243
494.95,0.013811
505.05,0.014366
507.71,0.014508
515.15,0.014919
525.25,0.01547
535.35,0.01602
540.41,0.016298
545.45,0.016581
555.56,0.017156
565.66,0.017751
574.69,0.018307
575.76,0.018375
585.86,0.01904
595.96,0.019753
606.06,0.02053
606.5,0.020565
616.16,0.021386
626.26,0.022336
633.62,0.023101
636.36,0.023402
646.46,0.024609
656.38,0.02595
656.57,0.025977
666.67,0.027554
675.71,0.029151
676.77,0.029354
686.87,0.031448
692.55,0.032745
696.97,0.033866
707.07,0.036658
707.5,0.036784
717.17,0.03994
721.12,0.04132
727.27,0.043753
733.65,0.046416
737.37,0.048193
745.31,0.05214
747.47,0.053382
756.24,0.05857
757.58,0.059491
766.5,0.065793
767.68,0.066773
776.07,0.073907
777.78,0.075641
784.88,0.083022
787.88,0.086831
792.82,0.09326
797.98,0.10176
799.76,0.10476
805.69,0.11768
808.08,0.1247
810.54,0.13219
814.32,0.1485
817.01,0.16681
818.18,0.18115
818.67,0.18738
819.35,0.21049
819.06,0.23645
818.18,0.25641
817.81,0.26561
815.61,0.29836
812.43,0.33516
808.21,0.37649
808.08,0.37754
802.95,0.42292
797.98,0.46263
796.5,0.47508
788.83,0.53367
787.88,0.54037
779.87,0.59948
777.78,0.61388
769.54,0.67342
767.68,0.68613
757.87,0.75646
757.58,0.75845
747.47,0.83103
745.01,0.84975
737.37,0.90576
731.12,0.95455
727.27,0.98383
717.17,1.0659
716.43,1.0723
707.07,1.152
701.34,1.2045
696.97,1.2442
686.87,1.343
685.9,1.353
676.77,1.4485
670.41,1.5199
666.67,1.5622
656.57,1.6844
654.78,1.7074
646.46,1.815
639.0,1.9179
636.36,1.9545
626.26,2.102
622.84,2.1544
616.16,2.2567
606.06,2.4177
605.91,2.4201
595.96,2.5827
587.8,2.7186
585.86,2.7507
575.76,2.9196
567.72,3.0539
565.66,3.0882
555.56,3.2552
545.45,3.4198
544.79,3.4305
535.35,3.5821
525.25,3.7416
518.03,3.8535
515.15,3.8989
505.05,4.0555
494.95,4.2112
487.32,4.3288
484.85,4.3679
474.75,4.5282
464.65,4.6916
454.55,4.8597
454.37,4.8626
444.44,5.0371
434.34,5.2223
424.24,5.4172
421.99,5.4623
414.14,5.6268
404.04,5.8512
393.94,6.0928
392.24,6.1359
383.84,6.3586
373.74,6.6498
366.06,6.8926
363.64,6.9728
353.54,7.3356
343.45,7.7426
343.43,7.7431
333.33,8.2075
323.93,8.6975
323.23,8.7351
313.13,9.3372
306.66,9.7701
303.03,10.021
292.93,10.792
290.74,10.975
282.83,11.651
275.52,12.328
272.73,12.592
262.63,13.605
260.29,13.849
252.53,14.672
244.42,15.557
242.42,15.778
232.32,16.9
227.11,17.475
222.22,18.025
212.12,19.131
207.35,19.63
202.02,20.204
191.92,21.226
183.07,22.051
181.82,22.173
171.72,23.027
161.62,23.748
151.52,24.304
141.41,24.657
131.31,24.769
121.21,24.609
111.11,24.152
101.01,23.394
90.909,22.349
88.554,22.051
80.808,21.057
71.068,19.63
70.707,19.577
60.606,17.989
57.402,17.475
50.505,16.382

