#: table_doi: 10.17182/hepdata.98796.v2/t31
#: name: Observed selectron limits
#: description: Observed 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\ell})$ plane in SR-$ee$ targeting selectron production. Selectrons ($\tilde{e}_{L, R}$) refer to the scalar superpartners of left- and right-handed electrons, which are assumed to be mass degenerate. 
#: data_file: observed_selectron_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.0047041
60.606,0.0046947
70.707,0.0046862
80.808,0.0046769
90.909,0.0046653
101.01,0.0046502
111.11,0.0046313
121.21,0.0046091
131.31,0.004585
137.95,0.0045694
141.41,0.0045613
151.52,0.0045411
161.62,0.0045277
171.72,0.0045243
181.82,0.0045344
191.92,0.0045608
193.88,0.0045694
202.02,0.004606
212.12,0.0046716
222.22,0.0047585
232.32,0.0048668
242.42,0.0049961
247.93,0.0050763
252.53,0.0051455
262.63,0.005313
272.73,0.0054964
280.07,0.0056394
282.83,0.0056952
292.93,0.0059092
303.03,0.0061392
308.23,0.006265
313.13,0.0063898
323.23,0.0066656
332.89,0.00696
333.33,0.0069742
343.43,0.0073235
353.54,0.0077209
353.8,0.007732
363.64,0.008169
372.22,0.0085897
373.74,0.0086681
383.84,0.0092054
389.94,0.0095425
393.94,0.0097699
404.04,0.010343
408.62,0.010601
414.14,0.010915
424.24,0.01148
429.6,0.011777
434.34,0.012043
444.44,0.012609
452.7,0.013083
454.55,0.013192
464.65,0.013799
474.75,0.014442
476.16,0.014535
484.85,0.015133
494.95,0.015877
498.47,0.016147
505.05,0.016686
515.15,0.017562
519.31,0.017938
525.25,0.018516
535.35,0.019549
538.93,0.019928
545.45,0.020675
555.56,0.021888
557.6,0.022139
565.66,0.023218
575.39,0.024594
575.76,0.024651
585.86,0.026246
592.33,0.027322
595.96,0.027995
606.06,0.029944
608.12,0.030353
616.16,0.032159
622.77,0.03372
626.26,0.03466
636.18,0.037461
636.36,0.03752
646.46,0.040878
648.59,0.041616
656.57,0.044814
659.94,0.046233
666.67,0.049486
670.36,0.051361
676.77,0.055106
679.95,0.057058
686.87,0.061955
688.8,0.063388
696.97,0.070409
696.98,0.070419
704.64,0.078231
707.07,0.081143
711.71,0.086908
717.17,0.095092
718.12,0.096549
724.0,0.10726
727.27,0.11479
729.13,0.11916
733.58,0.13237
737.14,0.14706
737.37,0.14837
740.03,0.16337
742.09,0.18149
743.34,0.20163
743.85,0.22399
743.65,0.24884
742.75,0.27644
741.17,0.30711
738.88,0.34117
737.37,0.35923
735.93,0.37902
732.26,0.42106
727.57,0.46777
727.27,0.47035
722.06,0.51966
717.17,0.55992
715.21,0.5773
707.07,0.63982
706.88,0.64134
696.97,0.71151
696.83,0.71248
686.87,0.7772
684.65,0.79152
676.77,0.83861
669.78,0.87932
666.67,0.89667
656.57,0.95196
651.9,0.97686
646.46,1.0057
636.36,1.059
631.39,1.0852
626.26,1.1134
616.16,1.1705
610.21,1.2056
606.06,1.2318
595.96,1.2996
590.42,1.3393
585.86,1.3745
575.76,1.4576
572.29,1.4879
565.66,1.5493
555.56,1.6481
555.09,1.653
545.45,1.7551
538.13,1.8363
535.35,1.8674
525.25,1.9851
520.72,2.04
515.15,2.1073
505.05,2.2328
502.43,2.2663
494.95,2.3618
484.85,2.492
482.88,2.5177
474.75,2.6242
464.65,2.7551
461.37,2.797
454.55,2.8864
444.44,3.0162
437.25,3.1072
434.34,3.1457
424.24,3.2803
414.14,3.4174
411.69,3.4519
404.04,3.5683
393.94,3.7315
387.99,3.8348
383.84,3.9129
373.74,4.1175
367.23,4.2602
363.64,4.3451
353.54,4.6015
348.75,4.7328
343.43,4.8876
333.33,5.2061
331.82,5.2578
323.23,5.565
316.17,5.841
313.13,5.9651
303.03,6.4146
301.49,6.4889
292.93,6.9228
287.73,7.2087
282.83,7.4947
274.64,8.0084
272.73,8.1372
262.63,8.8575
262.09,8.8967
252.53,9.6635
249.84,9.8836
242.42,10.547
237.6,10.98
232.32,11.499
225.09,12.198
222.22,12.501
212.12,13.533
211.93,13.551
202.02,14.586
197.21,15.054
191.92,15.614
181.82,16.584
180.13,16.724
171.72,17.474
161.62,18.225
155.31,18.579
151.52,18.804
141.41,19.172
131.31,19.292
121.21,19.145
111.11,18.729
108.81,18.579
101.01,18.072
90.909,17.222
85.76,16.724
80.808,16.26
70.707,15.279
68.315,15.054
60.606,14.38
50.505,13.607

