#: table_doi: 10.17182/hepdata.98796.v2/t37
#: name: Observed smuon limits
#: description: Observed 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\ell})$ plane in SR-$\mu\mu$ targeting smuon production. Smuons ($\tilde{\mu}_{L, R}$) refer to the scalar superpartners of left- and right-handed muons, which are assumed to be mass degenerate. 
#: data_file: observed_smuon_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.0066687
60.606,0.0063235
62.494,0.006265
70.707,0.0060347
80.808,0.0057907
88.139,0.0056394
90.909,0.0055865
101.01,0.0054201
111.11,0.0052843
121.21,0.005177
131.31,0.0050965
135.04,0.0050763
141.41,0.0050427
151.52,0.005015
161.62,0.0050136
171.72,0.0050397
178.48,0.0050763
181.82,0.0050949
191.92,0.0051818
202.02,0.0053016
212.12,0.0054562
221.8,0.0056394
222.22,0.0056479
232.32,0.005883
242.42,0.0061573
246.02,0.006265
252.53,0.0064771
262.63,0.006838
265.86,0.00696
272.73,0.0072441
282.83,0.0076853
283.89,0.007732
292.93,0.0081699
301.38,0.0085897
303.03,0.0086801
313.13,0.0092235
319.09,0.0095425
323.23,0.0097864
333.33,0.010368
337.5,0.010601
343.43,0.010964
353.54,0.011569
357.13,0.011777
363.64,0.012184
373.74,0.012803
378.41,0.013083
383.84,0.01343
393.94,0.014063
401.48,0.014535
404.04,0.014703
414.14,0.015358
424.24,0.016027
426.05,0.016147
434.34,0.016721
444.44,0.017441
451.19,0.017938
454.55,0.018195
464.65,0.018991
474.75,0.019832
475.86,0.019928
484.85,0.020731
494.95,0.021687
499.5,0.022139
505.05,0.022713
515.15,0.023815
521.9,0.024594
525.25,0.025001
535.35,0.026285
543.01,0.027322
545.45,0.027672
555.56,0.02919
562.79,0.030353
565.66,0.030845
575.76,0.032675
581.14,0.03372
585.86,0.034706
595.96,0.036976
597.99,0.037461
606.06,0.039567
613.28,0.041616
616.16,0.04252
626.26,0.045949
627.05,0.046233
636.36,0.050028
639.39,0.051361
646.46,0.054918
650.42,0.057058
656.57,0.060908
660.27,0.063388
666.67,0.068436
669.04,0.070419
676.77,0.078182
676.81,0.078231
683.74,0.086908
686.87,0.091793
689.8,0.096549
695.06,0.10726
696.97,0.11223
699.56,0.11916
703.32,0.13237
706.29,0.14706
707.07,0.15258
708.57,0.16337
710.1,0.18149
710.86,0.20163
710.85,0.22399
710.03,0.24884
708.4,0.27644
707.07,0.29243
705.94,0.30711
702.66,0.34117
698.46,0.37902
696.97,0.39079
693.39,0.42106
687.37,0.46777
686.87,0.4713
680.48,0.51966
676.77,0.54602
672.63,0.5773
666.67,0.6199
663.84,0.64134
656.57,0.69393
654.15,0.71248
646.46,0.769
643.58,0.79152
636.36,0.84584
632.17,0.87932
626.26,0.92509
619.96,0.97686
616.16,1.0073
607.0,1.0852
606.06,1.0931
595.96,1.1822
593.46,1.2056
585.86,1.2757
579.38,1.3393
575.76,1.3746
565.66,1.4793
564.88,1.4879
555.56,1.5902
550.22,1.653
545.45,1.7089
535.35,1.8361
535.34,1.8363
525.25,1.9726
520.61,2.04
515.15,2.1199
505.83,2.2663
505.05,2.2788
494.95,2.4502
491.21,2.5177
484.85,2.6346
476.5,2.797
474.75,2.8318
464.65,3.0415
461.58,3.1072
454.55,3.2625
446.18,3.4519
444.44,3.4924
434.34,3.7302
429.91,3.8348
424.24,3.9731
414.14,4.2184
412.38,4.2602
404.04,4.4657
393.94,4.7106
392.99,4.7328
383.84,4.9548
373.74,5.1945
370.98,5.2578
363.64,5.432
353.54,5.6665
345.91,5.841
343.43,5.8998
333.33,6.1354
323.23,6.3743
318.47,6.4889
313.13,6.6217
303.03,6.8807
292.93,7.1541
290.99,7.2087
282.83,7.447
272.73,7.7603
265.2,8.0084
262.63,8.0961
252.53,8.4549
242.42,8.8344
240.79,8.8967
232.32,9.2317
222.22,9.6403
216.17,9.8836
212.12,10.052
202.02,10.455
191.92,10.836
187.55,10.98
181.82,11.175
171.72,11.453
161.62,11.645
151.52,11.728
141.41,11.677
131.31,11.474
121.21,11.108
118.74,10.98
111.11,10.589
101.01,9.9417
100.23,9.8836
90.909,9.2232
86.601,8.8967
80.808,8.488
74.059,8.0084
70.707,7.79
61.426,7.2087
60.606,7.1619
50.505,6.6195

