#: table_doi: 10.17182/hepdata.98796.v2/t43
#: name: Observed stau limits
#: description: Observed 95% CL exclusion sensitivity. The limit is displayed in the lifetime vs. $m(\tilde{\tau})$ plane. Staus, $\tilde{\tau}_{1,2}$ are the mixed states of the superpartners of the left- and right-handed $\tau$ leptons, with mixing angle $\sin(\theta_{\tilde\tau})=0.95$, which are assumed to be mass degenerate. 
#: data_file: observed_stau_limits.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
$m(\tilde{e})$ [GeV],Lifetime [ns]
50.505,0.017301
52.468,0.017475
60.606,0.018192
66.38,0.018738
70.707,0.019148
80.324,0.020092
80.808,0.02014
90.909,0.021135
95.213,0.021544
101.01,0.022112
111.11,0.023051
111.71,0.023101
121.21,0.023934
131.31,0.02476
131.46,0.024771
141.41,0.025536
151.52,0.026284
155.29,0.026561
161.62,0.02704
171.72,0.027848
178.82,0.02848
181.82,0.028753
191.92,0.029799
198.03,0.030539
202.02,0.031031
212.12,0.03249
213.64,0.032745
222.22,0.034227
226.64,0.035112
232.32,0.036301
237.96,0.037649
242.42,0.038782
248.0,0.04037
252.53,0.041759
257.05,0.043288
262.63,0.04535
265.3,0.046416
272.73,0.049706
272.86,0.04977
279.85,0.053367
282.83,0.055117
286.31,0.057224
292.23,0.061359
292.93,0.061909
297.78,0.065793
302.77,0.070548
303.03,0.070829
307.46,0.075646
311.61,0.081113
313.13,0.083485
315.4,0.086975
318.77,0.09326
321.65,0.1
323.23,0.10466
324.13,0.10723
326.25,0.11498
327.93,0.12328
329.18,0.13219
330.01,0.14175
330.45,0.15199
330.5,0.16298
330.16,0.17475
329.44,0.18738
328.34,0.20092
326.85,0.21544
324.97,0.23101
323.23,0.24369
322.72,0.24771
320.16,0.26561
317.2,0.2848
313.81,0.30539
313.13,0.30924
310.11,0.32745
306.0,0.35112
303.03,0.36748
301.47,0.37649
296.57,0.4037
292.93,0.42331
291.21,0.43288
285.42,0.46416
282.83,0.47789
279.15,0.4977
272.73,0.53162
272.34,0.53367
264.93,0.57224
262.63,0.58405
256.8,0.61359
252.53,0.635
247.82,0.65793
242.42,0.68396
237.77,0.70548
232.32,0.73048
226.34,0.75646
222.22,0.77422
213.06,0.81113
212.12,0.81487
202.02,0.85182
196.47,0.86975
191.92,0.88439
181.82,0.91121
171.72,0.93056
169.57,0.9326
161.62,0.94006
151.52,0.9375
148.56,0.9326
141.41,0.92098
131.31,0.88989
126.85,0.86975
121.21,0.84553
114.94,0.81113
111.11,0.79156
105.24,0.75646
101.01,0.73344
96.284,0.70548
90.909,0.67689
87.401,0.65793
80.808,0.62607
78.114,0.61359
70.707,0.58278
67.937,0.57224
60.606,0.54688
56.301,0.53367
50.505,0.51721

