#: table_doi: 10.17182/hepdata.98796.v2/t7
#: name: RH selectron upper limit on cross section
#: description: Upper limits on observed signal cross section, $\sigma_\text{obs}^\text{95}$, for the superpartners of the right-handed electrons, $\tilde{e}_R$.  
#: data_file: rh_selectron_upper_limit_on_cross_section.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
 $m(\tilde{e}_R)$  [GeV], $\tau$  [ns],  $\sigma_\text{obs}^\text{95}$  [pb]
50,0.01,1.51e-01
50,0.1,3.23e-03
50,1.0,4.52e-02
100,0.01,1.13e-02
100,0.1,6.87e-04
100,1.0,3.13e-03
100,10.0,1.74e-02
200,0.01,6.04e-03
200,0.1,2.24e-04
200,1.0,4.88e-04
200,10.0,2.25e-02
300,0.01,2.03e-03
300,0.1,1.34e-04
300,1.0,3.80e-04
300,10.0,9.13e-03
400,0.01,2.88e-03
400,0.1,1.27e-04
400,1.0,3.08e-04
400,10.0,1.46e-02
500,0.01,2.06e-03
500,0.1,1.18e-04
500,1.0,2.47e-04
500,10.0,1.05e-02
600,0.01,2.74e-03
600,0.1,1.13e-04
600,1.0,2.28e-04
600,10.0,5.73e-03
700,0.01,2.29e-03
700,0.1,1.32e-04
700,1.0,2.19e-04
700,10.0,1.25e-02
800,0.01,3.11e-03
800,0.1,1.09e-04
800,1.0,2.10e-04
800,10.0,1.22e-02

