#: table_doi: 10.17182/hepdata.98796.v2/t16
#: name: Selectron acceptance
#: description: Acceptance for $\tilde{e}$ of various masses and lifetimes in SR-$ee$. Acceptance is defined as the number of accepted events at generator level in signal Monte Carlo simulation divided by the total number of events in the sample. To be accepted, events are required to have at least 2 truth electrons with $p_\text{T} > 65$ GeV, |$\eta$| $<$ 2.47, $|d_{0}| > 3$ mm, and $\Delta R_{\ell\ell} > 0.2$. Events are also required to fall into one of the acceptance regions of the triggers used. At generator level, events must have one of the following: one electron with $p_\text{T} >$ 160 GeV, 2 electrons each with $p_\text{T} >$ 60 GeV, or 1 muon with $p_\text{T} >$ 60 GeV and $|\eta| < 1.07$.
#: data_file: selectron_acceptance.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
Mass [GeV],Lifetime [log10(ns)],Acceptance
75.0,-1.5,0.00071316
75.0,-0.5,0.017015
75.0,0.5,0.028157
75.0,1.5,0.0049927
125.0,-1.5,0.0034405
125.0,-0.5,0.11465
125.0,0.5,0.22332
125.0,1.5,0.068424
225.0,-1.5,0.011696
225.0,-0.5,0.28223
225.0,0.5,0.53101
225.0,1.5,0.22722
325.0,-1.5,0.017178
325.0,-0.5,0.37427
325.0,0.5,0.70741
325.0,1.5,0.35402
425.0,-1.5,0.018637
425.0,-0.5,0.41975
425.0,0.5,0.77868
425.0,1.5,0.43333
525.0,-1.5,0.017952
525.0,-0.5,0.43798
525.0,0.5,0.8268
525.0,1.5,0.48487
625.0,-1.5,0.016571
625.0,-0.5,0.44099
625.0,0.5,0.83825
625.0,1.5,0.51478
725.0,-1.5,0.015592
725.0,-0.5,0.44062
725.0,0.5,0.84779
725.0,1.5,0.55649
825.0,-1.5,0.016271
825.0,-0.5,0.43936
825.0,0.5,0.85397
825.0,1.5,0.57767
925.0,-1.5,0.014241
925.0,-0.5,0.44686
925.0,0.5,0.85269

