#: table_doi: 10.17182/hepdata.98796.v2/t22
#: name: Stau SRee acceptance
#: description: Acceptance for $\tilde{\tau}$ of various masses and lifetimes in SR-$ee$. Acceptance is defined as the number of accepted events at generator level in signal Monte Carlo simulation divided by the total number of events in the sample. To be accepted, events are required to have at least 2 truth electrons with $p_\text{T} > 65$ GeV, |$\eta$| $<$ 2.47, $|d_{0}| > 3$ mm, and $\Delta R_{\ell\ell} > 0.2$. Events are also required to fall into one of the acceptance regions of the triggers used. At generator level, events must have one of the following: one electron with $p_\text{T} >$ 160 GeV, 2 electrons each with $p_\text{T} >$ 60 GeV, or 1 muon with $p_\text{T} >$ 60 GeV and $|\eta| < 1.07$.
#: data_file: stau_sree_acceptance.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
Mass [GeV],Lifetime [log10(ns)],Acceptance
75.0,-1.5,1.6874e-06
75.0,-0.5,3.1096e-05
75.0,0.5,4.9596e-05
125.0,-1.5,1.19e-05
125.0,-0.5,0.00029525
125.0,0.5,0.00064457
225.0,-1.5,7.4422e-05
225.0,-0.5,0.0017559
225.0,0.5,0.0029194
325.0,-1.5,8.1638e-05
325.0,-0.5,0.0029171
325.0,0.5,0.005201
425.0,-1.5,0.00017606
425.0,-0.5,0.0038165
425.0,0.5,0.0079648

