#: table_doi: 10.17182/hepdata.98796.v2/t25
#: name: Stau SRee efficiency
#: description: Efficiency for $\tilde{\tau}$ of various masses and lifetimes in SR-$ee$. Efficiency is defined as the number of selected reconstruced events divided by the acceptance. To be accepted, events are required to have at least 2 truth electrons with $p_\text{T} > 65$ GeV, |$\eta$| $<$ 2.47, $|d_{0}| > 3$ mm, and $\Delta R_{\ell\ell} > 0.2$. Events are also required to fall into one of the acceptance regions of the triggers used. At generator level, events must have one of the following: one electron with $p_\text{T} >$ 160 GeV, 2 electrons each with $p_\text{T} >$ 60 GeV, or 1 muon with $p_\text{T} >$ 60 GeV and $|\eta| < 1.07$. To be selected, events must satisfy all signal region requirements.
#: data_file: stau_sree_efficiency.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
Mass [GeV],Lifetime [log10(ns)],Efficiency
75.0,-1.5,1.4016
75.0,-0.5,0.17076
75.0,0.5,0.002836
125.0,-1.5,0.51241
125.0,-0.5,0.23187
125.0,0.5,0.022998
225.0,-1.5,1.4337
225.0,-0.5,0.49315
225.0,0.5,0.062688
325.0,-1.5,0.51913
325.0,-0.5,0.46405
325.0,0.5,0.060749
425.0,-1.5,0.37704
425.0,-0.5,0.54461
425.0,0.5,0.08042

