#: table_doi: 10.17182/hepdata.98796.v2/t24
#: name: Stau SRmm acceptance
#: description: Acceptance for $\tilde{\tau}$ of various masses and lifetimes in SR-$\mu\mu$. Acceptance is defined as the number of accepted events at generator level in signal Monte Carlo simulation divided by the total number of events in the sample. To be accepted, events are required to have at least 2 truth muons with $p_\text{T} > 65$ GeV, |$\eta$| $<$ 2.5, $|d_{0}| > 3$ mm, and $\Delta R_{\ell\ell} > 0.2$. Events are also required to fall into one of the acceptance regions of the triggers used. At generator level, events must have one of the following: one electron with $p_\text{T} >$ 160 GeV, 2 electrons each with $p_\text{T} >$ 60 GeV, or 1 muon with $p_\text{T} >$ 60 GeV and $|\eta| < 1.07$.
#: data_file: stau_srmm_acceptance.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
Mass [GeV],Lifetime [log10(ns)],Acceptance
75.0,-1.5,1.2026e-06
75.0,-0.5,1.9559e-05
75.0,0.5,3.1836e-05
125.0,-1.5,6.7881e-06
125.0,-0.5,0.00019445
125.0,0.5,0.00037679
225.0,-1.5,3.5446e-05
225.0,-0.5,0.001101
225.0,0.5,0.0022474
325.0,-1.5,7.9405e-05
325.0,-0.5,0.002782
325.0,0.5,0.0034704
425.0,-1.5,8e-05
425.0,-0.5,0.0039613
425.0,0.5,0.0080482

