#: table_doi: 10.17182/hepdata.98796.v2/t27
#: name: Stau SRmm efficiency
#: description: Efficiency for $\tilde{\tau}$ of various masses and lifetimes in SR-$\mu\mu$. Efficiency is defined as the number of selected reconstruced events divided by the acceptance. To be accepted, events are required to have at least 2 truth muons with $p_\text{T} > 65$ GeV, |$\eta$| $<$ 2.5, $|d_{0}| > 3$ mm, and $\Delta R_{\ell\ell} > 0.2$. Events are also required to fall into one of the acceptance regions of the triggers used. At generator level, events must have one of the following: one electron with $p_\text{T} >$ 160 GeV, 2 electrons each with $p_\text{T} >$ 60 GeV, or 1 muon with $p_\text{T} >$ 60 GeV and $|\eta| < 1.07$. To be selected, events must satisfy all signal region requirements.
#: data_file: stau_srmm_efficiency.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
Mass [GeV],Lifetime [log10(ns)],Efficiency
75.0,-1.5,0.85679
75.0,-0.5,0.1961
75.0,0.5,0.0094527
125.0,-1.5,0.40036
125.0,-0.5,0.17325
125.0,0.5,0.037623
225.0,-1.5,0.20718
225.0,-0.5,0.43388
225.0,0.5,0.00643
325.0,-1.5,0.37982
325.0,-0.5,0.38817
325.0,0.5,0.062227
425.0,-1.5,0.19379
425.0,-0.5,0.33881
425.0,0.5,0.07776

