#: table_doi: 10.17182/hepdata.98796.v2/t4
#: name: co-NLSP upper limit on cross section
#: description: Upper limits on observed signal cross section, $\sigma_\text{obs}^\text{95}$, where all slepton flavors are mass degenerate (co-NLSP).  
#: data_file: co-nlsp_upper_limit_on_cross_section.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
 $m(\tilde{\ell})$  [GeV], $\tau$  [ns], $\sigma_\text{obs}^\text{95}$  [pb]
50,0.01,1.64e-01
50,0.1,7.79e-03
50,1.0,4.86e-02
50,10.0,3.37e+00
100,0.01,3.21e-02
100,0.1,1.11e-03
100,1.0,3.64e-03
100,10.0,1.19e-01
200,0.01,7.41e-03
200,0.1,3.60e-04
200,1.0,9.06e-04
200,10.0,3.12e-02
300,0.01,4.78e-03
300,0.1,2.44e-04
300,1.0,5.46e-04
300,10.0,2.23e-02
400,0.01,4.35e-03
400,0.1,2.08e-04
400,1.0,4.43e-04
400,10.0,1.58e-02
500,0.01,4.11e-03
500,0.1,1.89e-04
500,1.0,3.86e-04
500,10.0,1.68e-02
600,0.01,4.13e-03
600,0.1,1.86e-04
600,1.0,3.63e-04
600,10.0,1.19e-02
700,0.01,3.97e-03
700,0.1,1.89e-04
700,1.0,3.34e-04
700,10.0,1.18e-02
800,0.01,4.35e-03
800,0.1,1.87e-04
800,1.0,3.08e-04
800,10.0,1.15e-02
900,0.01,4.54e-03
900,0.1,1.85e-04
900,1.0,3.10e-04

