#: table_doi: 10.17182/hepdata.98796.v2/t15
#: name: pt-d0 muon efficiency
#: description: Reconstruction efficiency as a function of $|d_{0}|$ and $p_\text{T}$ for signal muons. Monte Carlo samples with $\tilde{e}$ or $\tilde{\mu}$ with mass 400 GeV and 1 ns lifetime were used. Efficiency is defined as the number of leptons passing all signal requirements and matched to generator-level muons divided by the number of generator level leptons with $p_\text{T} > 65$ GeV, $|d_{0}| >$ 3 mm, and |$\eta$| $<$ 2.5 for muons. No event-level selections are made. Reconstructed leptons must pass all quality criteria, including the cosmic veto. Muon selection scale factors are included on the reconstructed leptons. The overflow is not shown in these plots.
#: data_file: pt-d0_muon_efficiency.yaml
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SLEPTON SLEPTON
Lepton $p_\text{T}$ [GeV],Lepton $d_0$ [mm],Efficiency
100.0,25.0,0.54118
100.0,75.0,0.4164
100.0,125.0,0.34341
100.0,175.0,0.25254
100.0,225.0,0.15148
100.0,275.0,0.01464
170.0,25.0,0.60167
170.0,75.0,0.47453
170.0,125.0,0.37232
170.0,175.0,0.29478
170.0,225.0,0.18809
170.0,275.0,0.012802
240.0,25.0,0.5784
240.0,75.0,0.47111
240.0,125.0,0.38954
240.0,175.0,0.27953
240.0,225.0,0.13521
240.0,275.0,0.017833
310.0,25.0,0.55459
310.0,75.0,0.42655
310.0,125.0,0.30378
310.0,175.0,0.14454
310.0,225.0,0.045949
310.0,275.0,0.0056721
380.0,25.0,0.54813
380.0,75.0,0.35608
380.0,125.0,0.19737
380.0,175.0,0.061073
380.0,225.0,0.0062885
450.0,25.0,0.51522
450.0,75.0,0.31346
450.0,125.0,0.080682
450.0,175.0,0.0069554
520.0,25.0,0.47615
520.0,75.0,0.19877
520.0,125.0,0.053375
590.0,25.0,0.43524
590.0,75.0,0.12149
660.0,25.0,0.40271
660.0,75.0,0.094664
730.0,25.0,0.38982
730.0,75.0,0.050844

