#: table_doi: 10.17182/hepdata.98796.v2/t11
#: name: stau upper limit on cross section
#: description: Upper limits on observed signal cross section, $\sigma_\text{obs}^\text{95}$, for the stau signal model.  Staus, $\tilde{\tau}_{1,2}$ are the mixed states of the superpartners of the left- and right-handed $\tau$ leptons, with mixing angle $\sin\theta_{\tilde\tau}=0.95$. 
#: data_file: stau_upper_limit_on_cross_section.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword observables: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak | R-parity violating
" $m(\tilde{\tau}_{1,2})$  [GeV]", $\tau$  [ns], $\sigma_\text{obs}^\text{95}$  [pb]
50,0.1,1.42e+00
50,1.0,3.81e+01
100,0.01,1.79e+00
100,0.1,1.01e-01
100,1.0,5.06e-01
200,0.01,1.48e-01
200,0.1,9.98e-03
200,1.0,3.91e-02
300,0.01,1.79e-01
300,0.1,5.56e-03
300,1.0,1.70e-02
400,0.01,1.26e-01
400,0.1,3.46e-03
400,1.0,8.53e-03

