# Efficiencies generated as product of interpolated 1D efficiencies for d0 and pT from Fig1. in https://arxiv.org/pdf/2011.07812 and Fig.17 in https://arxiv.org/pdf/1908.00005, respectively.
Lepton $p_\text{T}$ [GeV],Lepton $d_0$ [mm],Efficiency
6.500e+01,3.000e+00,6.868e-01
6.500e+01,9.061e+00,6.662e-01
6.500e+01,1.512e+01,6.448e-01
6.500e+01,2.118e+01,5.829e-01
6.500e+01,2.724e+01,5.326e-01
6.500e+01,3.331e+01,5.016e-01
6.500e+01,3.937e+01,4.930e-01
6.500e+01,4.543e+01,4.919e-01
6.500e+01,5.149e+01,4.765e-01
6.500e+01,5.755e+01,4.675e-01
6.500e+01,6.361e+01,4.675e-01
6.500e+01,6.967e+01,4.476e-01
6.500e+01,7.573e+01,4.238e-01
6.500e+01,8.180e+01,4.134e-01
6.500e+01,8.786e+01,4.031e-01
6.500e+01,9.392e+01,3.890e-01
6.500e+01,9.998e+01,3.728e-01
6.500e+01,1.060e+02,3.566e-01
6.500e+01,1.121e+02,3.405e-01
6.500e+01,1.182e+02,3.243e-01
6.500e+01,1.242e+02,3.081e-01
6.500e+01,1.303e+02,2.961e-01
6.500e+01,1.363e+02,2.848e-01
6.500e+01,1.424e+02,2.734e-01
6.500e+01,1.485e+02,2.621e-01
6.500e+01,1.545e+02,2.508e-01
6.500e+01,1.606e+02,2.394e-01
6.500e+01,1.667e+02,2.281e-01
6.500e+01,1.727e+02,2.168e-01
6.500e+01,1.788e+02,2.050e-01
6.500e+01,1.848e+02,1.930e-01
6.500e+01,1.909e+02,1.810e-01
6.500e+01,1.970e+02,1.689e-01
6.500e+01,2.030e+02,1.569e-01
6.500e+01,2.091e+02,1.449e-01
6.500e+01,2.151e+02,1.329e-01
6.500e+01,2.212e+02,1.209e-01
6.500e+01,2.273e+02,1.088e-01
6.500e+01,2.333e+02,9.682e-02
6.500e+01,2.394e+02,8.480e-02
6.500e+01,2.454e+02,7.278e-02
6.500e+01,2.515e+02,6.075e-02
6.500e+01,2.576e+02,4.873e-02
6.500e+01,2.636e+02,3.671e-02
6.500e+01,2.697e+02,2.469e-02
6.500e+01,2.758e+02,1.267e-02
6.500e+01,2.818e+02,6.476e-04
6.500e+01,2.879e+02,0.000e+00
6.500e+01,2.939e+02,0.000e+00
6.500e+01,3.000e+02,0.000e+00
6.966e+01,3.000e+00,6.881e-01
6.966e+01,9.061e+00,6.674e-01
6.966e+01,1.512e+01,6.459e-01
6.966e+01,2.118e+01,5.840e-01
6.966e+01,2.724e+01,5.335e-01
6.966e+01,3.331e+01,5.026e-01
6.966e+01,3.937e+01,4.939e-01
6.966e+01,4.543e+01,4.928e-01
6.966e+01,5.149e+01,4.773e-01
6.966e+01,5.755e+01,4.684e-01
6.966e+01,6.361e+01,4.684e-01
6.966e+01,6.967e+01,4.485e-01
6.966e+01,7.573e+01,4.245e-01
6.966e+01,8.180e+01,4.142e-01
6.966e+01,8.786e+01,4.039e-01
6.966e+01,9.392e+01,3.897e-01
6.966e+01,9.998e+01,3.735e-01
6.966e+01,1.060e+02,3.573e-01
6.966e+01,1.121e+02,3.411e-01
6.966e+01,1.182e+02,3.249e-01
6.966e+01,1.242e+02,3.086e-01
6.966e+01,1.303e+02,2.967e-01
6.966e+01,1.363e+02,2.853e-01
6.966e+01,1.424e+02,2.739e-01
6.966e+01,1.485e+02,2.626e-01
6.966e+01,1.545e+02,2.512e-01
6.966e+01,1.606e+02,2.399e-01
6.966e+01,1.667e+02,2.285e-01
6.966e+01,1.727e+02,2.172e-01
6.966e+01,1.788e+02,2.054e-01
6.966e+01,1.848e+02,1.933e-01
6.966e+01,1.909e+02,1.813e-01
6.966e+01,1.970e+02,1.693e-01
6.966e+01,2.030e+02,1.572e-01
6.966e+01,2.091e+02,1.452e-01
6.966e+01,2.151e+02,1.331e-01
6.966e+01,2.212e+02,1.211e-01
6.966e+01,2.273e+02,1.090e-01
6.966e+01,2.333e+02,9.700e-02
6.966e+01,2.394e+02,8.495e-02
6.966e+01,2.454e+02,7.291e-02
6.966e+01,2.515e+02,6.087e-02
6.966e+01,2.576e+02,4.882e-02
6.966e+01,2.636e+02,3.678e-02
