#: table_doi: 10.17182/hepdata.78697.v2/t19
#: name: Table 19
#: description: Observed cross section upper 95% CL limits as a function of $m_{\tilde{g}}$ and $\tau$ for $m_{\tilde{\chi}_{1}^{0}}=100$ GeV. For the mass limits see the entry of Figure 8b.
#: data_file: data49.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: SIG
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'Log10(Lifetime / ns)','Gluino mass [GeV]','Observed limit [fb]'
0.0,1100.0,0.291
-0.6108,1100.0,0.1911
-0.2104,1100.0,0.2398
0.1898,1100.0,0.3554
-0.3979,1100.0,0.2111
-0.4763,1100.0,0.2014
-0.07676,1100.0,0.2676
0.3233,1100.0,0.4306
1.257,1300.0,2.296
1.39,1300.0,2.8
1.477,1300.0,3.27
-0.6108,1400.0,0.1736
-0.4763,1400.0,0.1792
-0.3979,1400.0,0.1882
-0.2104,1400.0,0.2129
0.1898,1400.0,0.2856
0.3233,1400.0,0.3496
0.4565,1400.0,0.4343
0.5898,1400.0,0.5582
0.7232,1400.0,0.7375
0.8565,1400.0,0.8542
0.9899,1400.0,1.17
1.123,1400.0,1.595
1.257,1400.0,2.171
1.39,1400.0,2.41
1.477,1400.0,2.79
-0.2104,1500.0,0.1919
-0.07676,1500.0,0.216
0.0,1500.0,0.232
0.1898,1500.0,0.279
0.3233,1500.0,0.3344
0.4565,1500.0,0.4229
0.5898,1500.0,0.5454
0.7232,1500.0,0.6925
0.8565,1500.0,0.9052
0.9899,1500.0,1.189
1.123,1500.0,1.547
1.257,1500.0,1.939
1.39,1500.0,2.68
1.477,1500.0,3.141
-0.2104,1600.0,0.1892
-0.07676,1600.0,0.2101
0.0,1600.0,0.2247
0.1898,1600.0,0.2753
0.3233,1600.0,0.3214
0.4565,1600.0,0.3832
0.5898,1600.0,0.4692
0.4565,1100.0,0.5414
0.5898,1100.0,0.6832
0.7232,1100.0,0.8987
0.8565,1100.0,1.095
0.9899,1100.0,1.41
1.123,1100.0,1.871
1.257,1100.0,2.602
1.39,1100.0,2.73
1.477,1100.0,3.081
-0.6108,1200.0,0.1891
-0.4763,1200.0,0.198
-0.3979,1200.0,0.2059
-0.2104,1200.0,0.2365
-0.07676,1200.0,0.2465
0.0,1200.0,0.2702
0.1898,1200.0,0.3448
0.3233,1200.0,0.3888
0.4565,1200.0,0.4814
0.5898,1200.0,0.6194
0.7232,1200.0,0.8026
0.8565,1200.0,1.061
0.9899,1200.0,1.449
1.123,1200.0,1.879
1.257,1200.0,2.553
1.39,1200.0,2.937
1.477,1200.0,3.427
-0.6108,1300.0,0.1713
-0.4763,1300.0,0.1803
-0.3979,1300.0,0.1854
-0.2104,1300.0,0.2114
0.0,1300.0,0.2609
0.1898,1300.0,0.325
0.3233,1300.0,0.3683
0.4771,1300.0,0.4587
0.7232,1300.0,0.7586
0.8565,1300.0,0.9352
1.0,1300.0,1.266
-0.07676,1300.0,0.2363
0.5898,1300.0,0.5705
1.123,1300.0,1.681
1.0,2000.0,0.8536
1.123,2000.0,1.128
1.257,2000.0,1.597
1.39,2000.0,1.725
1.477,2000.0,2.112
-0.07676,1400.0,0.2291
0.0,1400.0,0.2479
-0.2104,1800.0,0.1866
-0.07676,1800.0,0.2031
0.0,1800.0,0.2144
0.1898,1800.0,0.2617
-0.2104,2000.0,0.1805
-0.07676,2000.0,0.1977
0.0,2000.0,0.2096
0.1898,2000.0,0.2531
0.7232,1600.0,0.5721
0.8565,1600.0,0.7434
0.9899,1600.0,0.9644
1.123,1600.0,1.251
1.257,1600.0,1.587
1.39,1600.0,2.356
1.477,1600.0,2.845
0.1898,1700.0,0.2619
0.3233,1700.0,0.3067
0.4565,1700.0,0.3766
0.5898,1700.0,0.4648
0.7232,1700.0,0.5979
0.8565,1700.0,0.7713
0.9899,1700.0,1.012
1.123,1700.0,1.313
1.257,1700.0,1.676
1.39,1700.0,2.559
1.477,1700.0,2.988
0.3233,1800.0,0.3131
0.4565,1800.0,0.3808
0.5898,1800.0,0.4724
0.7232,1800.0,0.7619
0.8565,1800.0,0.7895
0.9899,1800.0,1.009
1.123,1800.0,1.343
1.257,1800.0,1.656
1.39,1800.0,2.347
1.477,1800.0,2.81
0.7232,1900.0,0.5341
0.8565,1900.0,0.6956
0.9899,1900.0,0.9218
1.123,1900.0,1.249
1.257,1900.0,1.698
1.39,1900.0,1.828
1.477,1900.0,2.143
0.7232,2000.0,0.4766
0.8565,2000.0,0.6149
-1.824,1200.0,0.6946
-1.824,1400.0,0.7728
-1.824,1600.0,0.6715
-1.824,1800.0,0.8261
-1.824,2000.0,0.8416
-1.678,1200.0,0.4369
-1.538,1200.0,0.3158
-1.409,1200.0,0.2479
-1.276,1200.0,0.2106
-1.143,1200.0,0.1915
-1.678,1400.0,0.4469
-1.538,1400.0,0.3134
-1.409,1400.0,0.2424
-1.276,1400.0,0.2034
-1.143,1400.0,0.1793
-1.678,1600.0,0.4297
-1.538,1600.0,0.3083
-1.409,1600.0,0.2375
-1.276,1600.0,0.1985
-1.143,1600.0,0.1762
-1.678,1800.0,0.4545
-1.538,1800.0,0.3127
-1.409,1800.0,0.2392
-1.276,1800.0,0.1969
-1.143,1800.0,0.1754
-1.678,2000.0,0.463
-1.538,2000.0,0.3219
