#: table_doi: 10.17182/hepdata.78697.v2/t2
#: name: Table 2
#: description: Vertex reconstruction efficiency as a function of radial position $R$ for two $R$-hadron signal samples with $m_{\tilde{g}} = 1.2$ TeV, $\tau_{\tilde{g}} = 1$ ns and different neutralino masses. The efficiency is defined as the probability for a true LLP decay to be matched with a reconstructed DV fulfilling the vertex preselection criteria in events with a reconstructed primary vertex.
#: data_file: data2.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: EFF
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'DV radius [mm]','Vertex reconstruction efficiency ($m_{\tilde{\chi}_{1}^{0}} = 1170$ GeV)','error +','error -'
2.5,0.110605,0.0119721,-0.0119721
7.5,0.670873,0.0167751,-0.0167751
12.5,0.717249,0.0100878,-0.0100878
17.5,0.691559,0.0235445,-0.0235445
22.5,0.698974,0.0,-0.0
27.5,0.577997,0.0239454,-0.0239454
32.5,0.55871,0.0230814,-0.0230814
37.5,0.575087,0.0277698,-0.0277698
42.5,0.501356,0.0300749,-0.0300749
47.5,0.514267,0.0272223,-0.0272223
52.5,0.526205,0.033995,-0.033995
57.5,0.476071,0.0292854,-0.0292854
62.5,0.495553,0.0298571,-0.0298571
67.5,0.560564,0.0272772,-0.0272772
72.5,0.435346,0.0320271,-0.0320271
77.5,0.539064,0.0297373,-0.0297373
82.5,0.46225,0.038521,-0.038521
87.5,0.584402,0.0108375,-0.0108375
92.5,0.368108,0.0293213,-0.0293213
97.5,0.314482,0.0312164,-0.0312164
102.5,0.433665,0.0366121,-0.0366121
107.5,0.353438,0.0345243,-0.0345243
112.5,0.312155,0.033082,-0.033082
117.5,0.313225,0.0433725,-0.0433725
122.5,0.202729,0.0321623,-0.0321623
127.5,0.145257,0.0257211,-0.0257211
132.5,0.194613,0.0289697,-0.0289697
137.5,0.181157,0.0295391,-0.0295391
142.5,0.109583,0.0244158,-0.0244158
147.5,0.27512,0.0584348,-0.0584348
152.5,0.167946,0.0304194,-0.0304194
157.5,0.137342,0.0275323,-0.0275323
162.5,0.188335,0.0351996,-0.0351996
167.5,0.223574,0.0346135,-0.0346135
172.5,0.204165,0.0372839,-0.0372839
177.5,0.244389,0.0548786,-0.0548786
182.5,0.10277,0.0277403,-0.0277403
187.5,0.218055,0.0392601,-0.0392601
192.5,0.116701,0.0276803,-0.0276803
197.5,0.159266,0.0381785,-0.0381785
202.5,0.221468,0.0396766,-0.0396766
207.5,0.193856,0.0398906,-0.0398906
212.5,0.235287,0.0456531,-0.0456531
217.5,0.183827,0.0397505,-0.0397505
222.5,0.171441,0.0483227,-0.0483227
227.5,0.1315,0.0328775,-0.0328775
232.5,0.129677,0.0329466,-0.0329466
237.5,0.337919,0.0969132,-0.0969132
242.5,0.143974,0.042588,-0.042588
247.5,0.220353,0.0514091,-0.0514091
252.5,0.178727,0.0426031,-0.0426031
257.5,0.0951554,0.0351019,-0.0351019
262.5,0.14103,0.0471523,-0.0471523
267.5,0.0939645,0.0361375,-0.0361375
272.5,0.0966283,0.0342478,-0.0342478
277.5,0.12963,0.0447864,-0.0447864
282.5,0.193141,0.0558177,-0.0558177
287.5,0.122762,0.0417034,-0.0417034
292.5,0.0376244,0.0213606,-0.0213606
297.5,0.00773861,0.00613572,-0.00613572

#: SQRT(S) [GeV],13000
'DV radius [mm]','Vertex reconstruction efficiency ($m_{\tilde{\chi}_{1}^{0}} = 100$ GeV)','error +','error -'
2.5,0.181155,0.0182296,-0.0182296
7.5,0.896244,0.0114539,-0.0114539
12.5,0.859044,0.016952,-0.016952
17.5,0.898788,0.0155163,-0.0155163
22.5,0.847884,0.0166981,-0.0166981
27.5,0.831943,0.0164838,-0.0164838
32.5,0.780872,0.0182614,-0.0182614
37.5,0.857035,0.015868,-0.015868
42.5,0.855762,0.0175113,-0.0175113
47.5,0.819755,0.0204549,-0.0204549
52.5,0.81293,0.0318395,-0.0318395
57.5,0.860338,0.0186989,-0.0186989
62.5,0.854271,0.020875,-0.020875
67.5,0.859704,0.0195579,-0.0195579
72.5,0.776415,0.0295247,-0.0295247
77.5,0.796172,0.0241871,-0.0241871
82.5,0.747019,0.0336672,-0.0336672
87.5,0.714094,0.0285978,-0.0285978
92.5,0.757992,0.0248687,-0.0248687
97.5,0.720382,0.035849,-0.035849
102.5,0.692999,0.0369704,-0.0369704
107.5,0.717482,0.03571,-0.03571
112.5,0.644351,0.0358541,-0.0358541
117.5,0.581399,0.0475935,-0.0475935
122.5,0.515461,0.0417645,-0.0417645
127.5,0.398697,0.0386148,-0.0386148
132.5,0.459485,0.0408479,-0.0408479
137.5,0.474924,0.0403814,-0.0403814
142.5,0.535051,0.0426461,-0.0426461
147.5,0.478747,0.0512266,-0.0512266
152.5,0.558683,0.0440982,-0.0440982
157.5,0.334218,0.0403381,-0.0403381
162.5,0.458978,0.0481541,-0.0481541
167.5,0.341504,0.0425769,-0.0425769
172.5,0.392676,0.0434347,-0.0434347
