#: table_doi: 10.17182/hepdata.78697.v2/t21
#: name: Table 21
#: description: Observed cross section upper 95% CL limits as a function of $m_{\tilde{\chi}_{1}^{0}}$ and $m_{\tilde{g}}$ for $\tau = 1$ ns. For the mass limits see the entry of Figure 10b.
#: data_file: data51.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: SIG
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'Gluino mass [GeV]','Neutralino1 mass [GeV]','Observed limit [fb]'
1500.0,100.0,0.232
1600.0,100.0,0.2247
1800.0,100.0,0.2144
2000.0,100.0,0.2096
2000.0,1870.0,1.926
2000.0,1920.0,4.454
2000.0,1950.0,19.78
2000.0,1970.0,346.2
2000.0,1800.0,0.9793
2000.0,200.0,0.2103
2000.0,800.0,0.2167
2000.0,1600.0,0.3614
2000.0,400.0,0.2074
2000.0,1000.0,0.226
2000.0,600.0,0.2065
2000.0,1200.0,0.2362
2000.0,1400.0,0.27
1600.0,1500.0,3.454
1800.0,1700.0,4.17
2000.0,1900.0,3.777
2400.0,100.0,0.1916

