#: table_doi: 10.17182/hepdata.78697.v2/t4
#: name: Table 4
#: description: Fractions of selected events for several signal MC samples with a mass difference $\Delta m = 100$ GeV, illustrating how $\mathcal{A}\times\varepsilon$ varies with the model parameters.
#: data_file: data6.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: EFF
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'Lifetime [ns]','Gluino mass [GeV]','$\mathcal{A}\times\varepsilon$ [%]'
0.01,600,0.3167
0.04,600,1.493
0.1,600,1.944
1.0,600,1.178
3.0,600,0.5
10.0,600,0.08889
0.01,800,0.2571
0.04,800,1.778
0.1,800,2.56
1.0,800,1.6
3.0,800,0.7286
10.0,800,0.25
0.01,1000,0.38
0.04,1000,1.467
0.1,1000,2.6
1.0,1000,1.93
3.0,1000,0.7625
10.0,1000,0.28
0.01,1200,0.24
0.04,1200,1.663
0.1,1200,2.789
1.0,1200,1.89
3.0,1200,0.8
10.0,1200,0.3529
0.01,1400,0.3333
0.04,1400,2.013
0.1,1400,2.9
1.0,1400,1.76
3.0,1400,0.9
10.0,1400,0.29
0.01,1600,0.25
0.04,1600,1.79
0.1,1600,2.633
1.0,1600,1.99
3.0,1600,0.9375
10.0,1600,0.34
0.01,1800,0.2222
0.04,1800,1.52
0.1,1800,2.68
1.0,1800,1.75
3.0,1800,1.089
10.0,1800,0.44
0.01,2000,0.15
0.04,2000,1.52
0.1,2000,2.333
1.0,2000,1.99
3.0,2000,1.122
10.0,2000,0.3667

