#: table_doi: 10.17182/hepdata.78697.v2/t9
#: name: Table 9
#: description: Lower 95% CL limits on $m_{\tilde{g}}$ for fixed $m_{\tilde{\chi}_{1}^{0}}=100$ GeV as a function of lifetime $\tau$.
#: data_file: data15.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: M
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'Log10(Lifetime / ns)','Observed limit [GeV]'
-2.00584,1860.0
-1.96456,1900.0
-1.94237,1920.69
-1.92051,1940.0
-1.87435,1980.0
-1.83683,2010.86
-1.82473,2020.0
-1.77002,2060.0
-1.73128,2087.02
-1.71088,2100.0
-1.64745,2140.0
-1.62574,2153.4
-1.57911,2180.0
-1.52019,2212.83
-1.50588,2220.0
-1.42145,2260.0
-1.41464,2263.01
-1.31434,2300.0
-1.3091,2301.81
-1.20355,2329.98
-1.1499,2340.0
-1.098,2349.47
-0.992459,2361.61
-0.886912,2368.12
-0.781366,2370.51
-0.67582,2369.85
-0.570274,2366.54
-0.464727,2360.47
-0.359181,2351.2
-0.265875,2340.0
-0.253635,2338.41
-0.148089,2321.95
-0.0425426,2302.83
-0.0284561,2300.0
0.0630036,2281.53
0.162988,2260.0
0.16855,2258.83
0.274096,2234.91
0.336078,2220.0
0.379642,2210.13
0.485188,2184.96
0.50467,2180.0
0.590735,2159.45
0.666066,2140.0
0.696281,2132.48
0.801827,2102.89
0.811012,2100.0
0.907373,2069.22
0.933724,2060.0
1.01292,2031.14
1.04208,2020.0
1.11847,1989.41
1.14191,1980.0
1.22401,1945.6
1.23814,1940.0
1.32956,1902.64
1.337,1900.0
1.4351,1865.02
1.45618,1860.0
1.54065,1840.28
1.6462,1825.41

#: SQRT(S) [GeV],13000
'Log10(Lifetime / ns)','Expected limit [GeV]'
-2.00584,1860.0
-1.96456,1900.0
-1.94237,1920.12
-1.92051,1940.0
-1.87435,1980.0
-1.83683,2010.31
-1.82473,2020.0
-1.77002,2060.0
-1.73128,2086.55
-1.71088,2100.0
-1.64745,2140.0
-1.62574,2152.99
-1.57911,2180.0
-1.52019,2212.45
-1.50588,2220.0
-1.42145,2260.0
-1.41464,2262.68
-1.31434,2300.0
-1.3091,2301.5
-1.20355,2329.67
-1.1499,2340.0
-1.098,2349.12
-0.992459,2361.24
-0.886912,2367.73
-0.781366,2370.14
-0.67582,2369.5
-0.570274,2366.23
-0.464727,2360.2
-0.359181,2350.98
-0.265875,2340.0
-0.253635,2338.22
-0.148089,2321.78
-0.0425426,2302.68
-0.0284561,2300.0
0.0630036,2281.4
0.162988,2260.0
0.16855,2258.71
0.274096,2234.79
0.336078,2220.0
0.379642,2210.0
0.485188,2184.81
0.50467,2180.0
0.590735,2159.27
0.666066,2140.0
0.696281,2132.25
0.801827,2102.6
0.811012,2100.0
0.907373,2068.85
0.933724,2060.0
1.01292,2030.67
1.04208,2020.0
1.11847,1988.84
1.14191,1980.0
1.22401,1944.95
1.23814,1940.0
1.32956,1901.93
1.337,1900.0
1.4351,1864.29
1.45618,1860.0
1.54065,1839.58
1.6462,1824.72

