#: table_doi: 10.17182/hepdata.137762.v1/t96
#: name: cutflow_highpt_ewk_hf
#: description: Cutflow (acceptance x efficiency) for the High-pT SR for representative points in the electroweak pair production model with heavy-flavor quarks. See additional resources for more information.
#: data_file: cutflow_highpt_ewk_hf.yaml
#: keyword observables: ACC | EFF
#: keyword reactions: P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
#: $m(\tilde{\chi}^0_1)$ [GeV],1500
#: $\tau$ [ns],0.032
Selections,Full Sim $A\times\epsilon$
Multijet trigger,0.999
Filter,0.965
Jet Selection,0.802
"$\ge 1$ DV, $R_{xy}$ < 300 mm and $|z|$ < 300 mm",0.759
"$\ge 1$ DV, $\text{min}(|\vec{R}_\text{DV} - \vec{R}_\text{CV}|)>4$ mm",0.715
"$\ge 1$ DV, $\chi^2/n_\textrm{DoF}<5$",0.711
"$\ge 1$ DV, pass material map veto",0.563
"$\ge 1$ DV, $n^\text{DV}_\text{Tracks} \geq 5$",0.399
"$\ge 1$ DV, $m_{DV}\ge 10$ GeV",0.396
"$\ge 1$ DV, $n_{\text{Selected tracks}}^{\text{DV}}\geq 2$",0.396

#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
#: $m(\tilde{\chi}^0_1)$ [GeV],1500
#: $\tau$ [ns],0.1
Selections,Full Sim $A\times\epsilon$
Multijet trigger,0.999
Filter,0.966
Jet Selection,0.776
"$\ge 1$ DV, $R_{xy}$ < 300 mm and $|z|$ < 300 mm",0.765
"$\ge 1$ DV, $\text{min}(|\vec{R}_\text{DV} - \vec{R}_\text{CV}|)>4$ mm",0.749
"$\ge 1$ DV, $\chi^2/n_\textrm{DoF}<5$",0.745
"$\ge 1$ DV, pass material map veto",0.662
"$\ge 1$ DV, $n^\text{DV}_\text{Tracks} \geq 5$",0.58
"$\ge 1$ DV, $m_{DV}\ge 10$ GeV",0.577
"$\ge 1$ DV, $n_{\text{Selected tracks}}^{\text{DV}}\geq 2$",0.577

#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
#: $m(\tilde{\chi}^0_1)$ [GeV],1500
#: $\tau$ [ns],1.0
Selections,Full Sim $A\times\epsilon$
Multijet trigger,0.999
Filter,0.962
Jet Selection,0.778
"$\ge 1$ DV, $R_{xy}$ < 300 mm and $|z|$ < 300 mm",0.739
"$\ge 1$ DV, $\text{min}(|\vec{R}_\text{DV} - \vec{R}_\text{CV}|)>4$ mm",0.735
"$\ge 1$ DV, $\chi^2/n_\textrm{DoF}<5$",0.717
"$\ge 1$ DV, pass material map veto",0.542
"$\ge 1$ DV, $n^\text{DV}_\text{Tracks} \geq 5$",0.371
"$\ge 1$ DV, $m_{DV}\ge 10$ GeV",0.367
"$\ge 1$ DV, $n_{\text{Selected tracks}}^{\text{DV}}\geq 2$",0.367

