#: table_doi: 10.17182/hepdata.137762.v1/t93
#: name: cutflow_highpt_strong
#: description: Cutflow (acceptance x efficiency) for the High-pT SR for representative points in the strong gluino pair production model. See additional resources for more information.
#: data_file: cutflow_highpt_strong.yaml
#: keyword observables: ACC | EFF
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
#: $m(\tilde{g})$ [GeV],2000.0
#: $m(\tilde{\chi}^0_1)$ [GeV],850
#: $\tau$ [ns],0.01
Selections,Full Sim $A\times\epsilon$
Multijet trigger,1.0
Filter,1.0
Jet Selection,0.9986
"$\ge 1$ DV, $R_{xy}$ < 300 mm and $|z|$ < 300 mm",0.929
"$\ge 1$ DV, $\text{min}(|\vec{R}_\text{DV} - \vec{R}_\text{CV}|)>4$ mm",0.877
"$\ge 1$ DV, $\chi^2/n_\textrm{DoF}<5$",0.873
"$\ge 1$ DV, pass material map veto",0.578
"$\ge 1$ DV, $n^\text{DV}_\text{Tracks} \geq 5$",0.278
"$\ge 1$ DV, $m_{DV}\ge 10$ GeV",0.278
"$\ge 1$ DV, $n_{\text{Selected tracks}}^{\text{DV}}\geq 2$",0.278

#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
#: $m(\tilde{g})$ [GeV],2000.0
#: $m(\tilde{\chi}^0_1)$ [GeV],50
#: $\tau$ [ns],0.1
Selections,Full Sim $A\times\epsilon$
Multijet trigger,1.0
Filter,0.998
Jet Selection,0.961
"$\ge 1$ DV, $R_{xy}$ < 300 mm and $|z|$ < 300 mm",0.854
"$\ge 1$ DV, $\text{min}(|\vec{R}_\text{DV} - \vec{R}_\text{CV}|)>4$ mm",0.852
"$\ge 1$ DV, $\chi^2/n_\textrm{DoF}<5$",0.839
"$\ge 1$ DV, pass material map veto",0.516
"$\ge 1$ DV, $n^\text{DV}_\text{Tracks} \geq 5$",0.186
"$\ge 1$ DV, $m_{DV}\ge 10$ GeV",0.144
"$\ge 1$ DV, $n_{\text{Selected tracks}}^{\text{DV}}\geq 2$",0.144

#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
#: $m(\tilde{g})$ [GeV],2400.0
#: $m(\tilde{\chi}^0_1)$ [GeV],200
#: $\tau$ [ns],1.0
Selections,Full Sim $A\times\epsilon$
Multijet trigger,0.999
Filter,0.997
Jet Selection,0.964
"$\ge 1$ DV, $R_{xy}$ < 300 mm and $|z|$ < 300 mm",0.796
"$\ge 1$ DV, $\text{min}(|\vec{R}_\text{DV} - \vec{R}_\text{CV}|)>4$ mm",0.793
"$\ge 1$ DV, $\chi^2/n_\textrm{DoF}<5$",0.78
"$\ge 1$ DV, pass material map veto",0.437
"$\ge 1$ DV, $n^\text{DV}_\text{Tracks} \geq 5$",0.12
"$\ge 1$ DV, $m_{DV}\ge 10$ GeV",0.115
"$\ge 1$ DV, $n_{\text{Selected tracks}}^{\text{DV}}\geq 2$",0.115

#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
#: $m(\tilde{g})$ [GeV],2000.0
#: $m(\tilde{\chi}^0_1)$ [GeV],1250
#: $\tau$ [ns],10.0
Selections,Full Sim $A\times\epsilon$
Multijet trigger,0.995
Filter,0.962
Jet Selection,0.913
"$\ge 1$ DV, $R_{xy}$ < 300 mm and $|z|$ < 300 mm",0.7
"$\ge 1$ DV, $\text{min}(|\vec{R}_\text{DV} - \vec{R}_\text{CV}|)>4$ mm",0.696
"$\ge 1$ DV, $\chi^2/n_\textrm{DoF}<5$",0.685
"$\ge 1$ DV, pass material map veto",0.387
"$\ge 1$ DV, $n^\text{DV}_\text{Tracks} \geq 5$",0.094
"$\ge 1$ DV, $m_{DV}\ge 10$ GeV",0.092
"$\ge 1$ DV, $n_{\text{Selected tracks}}^{\text{DV}}\geq 2$",0.092

