#: table_doi: 10.17182/hepdata.137762.v1/t10
#: name: excl_ewk_exp_down
#: description: Expected (-1 sigma) exclusion limits at 95% CL on the lifetime and mass of the neutralino in electroweakino pair production models
#: data_file: excl_ewk_exp_down.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
0.0013061,316.67
0.0013673,350.0
0.0014399,383.33
0.0015122,416.67
0.0015789,450.0
0.0015887,455.15
0.0016509,483.33
0.0017278,516.67
0.0018222,550.0
0.0019515,583.33
0.0019603,585.14
0.0021431,616.67
0.0023601,650.0
0.0024189,658.93
0.0025875,683.33
0.0027861,716.67
0.0029512,750.0
0.0029847,758.02
0.003089,783.33
0.0032042,816.67
0.0033105,850.0
0.0034336,883.33
0.0036156,916.67
0.0036828,925.55
0.0038847,950.0
0.0042013,983.33
0.0045443,1015.7
0.0045562,1016.7
0.004951,1050.0
0.0053651,1083.3
0.0056073,1102.9
0.0057903,1116.7
0.0062208,1150.0
0.0067072,1183.3
0.0069189,1195.8
0.0073843,1216.7
0.0082905,1250.0
0.0085373,1258.9
0.0094242,1283.3
0.010469,1316.7
0.010534,1318.8
0.011656,1350.0
0.012998,1381.8
0.013072,1383.3
0.014944,1416.7
0.016039,1432.6
0.017424,1450.0
0.019791,1475.0
0.02073,1483.3
0.02442,1513.1
0.024967,1516.7
0.030132,1547.3
0.03084,1550.0
0.037181,1572.5
0.0422,1583.3
0.045878,1591.1
0.05661,1606.9
0.06541,1616.7
0.069852,1621.4
0.086191,1633.7
0.10635,1641.1
0.13123,1642.9
0.16193,1642.1
0.1998,1640.5
0.24654,1638.1
0.30421,1633.5
0.37537,1624.4
0.42791,1616.7
0.46317,1612.2
0.57152,1598.9
0.7052,1584.9
0.72143,1583.3
0.87016,1571.1
1.0737,1555.7
1.1459,1550.0
1.3249,1537.4
1.618,1516.7
1.6348,1515.6
2.0172,1492.6
2.177,1483.3
2.489,1468.6
2.8993,1450.0
3.0712,1442.9
3.6637,1416.7
3.7896,1411.0
4.3776,1383.3
4.6761,1369.4
5.1223,1350.0
5.7699,1325.9
6.042,1316.7
7.1196,1287.2
7.2705,1283.3
8.7502,1250.0
8.7849,1249.2
10.332,1216.7
10.84,1206.1
12.09,1183.3
13.375,1158.2
13.785,1150.0
15.25,1116.7
16.504,1087.3
16.677,1083.3
18.299,1050.0
20.145,1016.7
20.365,1013.1
22.287,983.33
24.557,950.0
25.128,941.33
26.939,916.67
29.342,883.33
31.006,863.85
32.261,850.0
36.001,816.67
38.259,799.95
40.335,783.33
44.835,750.0
47.209,733.52
49.618,716.67
54.473,683.33
58.252,657.48
59.209,650.0
63.209,616.67
67.021,583.33
70.57,550.0
71.877,535.29
73.024,516.67
74.249,483.33
74.615,450.0
74.526,416.67
74.21,383.33
73.763,350.0
73.252,316.67

