#: table_doi: 10.17182/hepdata.137762.v1/t8
#: name: excl_ewk_exp_nominal
#: description: Expected exclusion limits at 95% CL on the lifetime and mass of the neutralino in electroweakino pair production models
#: data_file: excl_ewk_exp_nominal.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
0.001338,316.67
0.001396,350.0
0.0014702,383.33
0.0015523,416.67
0.0015887,431.12
0.0016441,450.0
0.0017429,483.33
0.001842,516.67
0.0019491,550.0
0.0019603,552.96
0.002098,583.33
0.0022691,616.67
0.0024189,642.94
0.0024621,650.0
0.0026623,683.33
0.0028401,716.67
0.0029847,748.22
0.0029932,750.0
0.0031315,783.33
0.0032586,816.67
0.0033857,850.0
0.0035316,883.33
0.0036828,908.7
0.0037354,916.67
0.0040159,950.0
0.0043367,983.33
0.0045443,1003.0
0.0047034,1016.7
0.0050972,1050.0
0.0055135,1083.3
0.0056073,1091.1
0.0059369,1116.7
0.0063662,1150.0
0.0068592,1183.3
0.0069189,1186.8
0.0075932,1216.7
0.0085373,1249.6
0.0085542,1250.0
0.0097961,1283.3
0.010534,1306.5
0.010895,1316.7
0.01206,1350.0
0.012998,1373.1
0.013464,1383.3
0.015382,1416.7
0.016039,1425.8
0.018196,1450.0
0.019791,1464.9
0.022215,1483.3
0.02442,1499.4
0.027427,1516.7
0.030132,1531.9
0.035216,1550.0
0.037181,1556.7
0.045878,1575.2
0.051316,1583.3
0.05661,1590.8
0.069852,1605.3
0.085474,1616.7
0.086191,1617.1
0.10635,1624.5
0.13123,1626.3
0.16193,1625.6
0.1998,1624.0
0.24654,1621.6
0.30421,1617.2
0.30791,1616.7
0.37537,1608.4
0.46317,1596.5
0.56765,1583.3
0.57152,1582.9
0.7052,1569.4
0.87016,1555.0
0.93034,1550.0
1.0737,1539.4
1.3249,1520.4
1.3719,1516.7
1.6348,1499.1
1.8802,1483.3
2.0172,1476.1
2.489,1452.4
2.5374,1450.0
3.0712,1425.7
3.2554,1416.7
3.7896,1390.0
3.9142,1383.3
4.5412,1350.0
4.6761,1343.3
5.274,1316.7
5.7699,1299.1
6.2519,1283.3
7.1196,1260.2
7.4994,1250.0
8.7849,1216.7
8.787,1216.7
10.128,1183.3
10.84,1165.2
11.495,1150.0
12.82,1116.7
13.375,1102.7
14.139,1083.3
15.637,1050.0
16.504,1033.2
17.392,1016.7
19.421,983.33
20.365,968.54
21.637,950.0
23.749,916.67
25.128,888.76
25.452,883.33
27.289,850.0
30.04,816.67
31.006,808.14
33.819,783.33
38.131,750.0
38.259,749.04
42.436,716.67
46.992,683.33
47.209,681.76
51.458,650.0
55.816,616.67
58.252,596.7
59.63,583.33
62.684,550.0
65.129,516.67
66.468,483.33
66.679,450.0
66.282,416.67
65.586,383.33
64.754,350.0
63.923,316.67

