#: table_doi: 10.17182/hepdata.137762.v1/t13
#: name: excl_ewk_obs_down
#: description: Observed (-1 sigma) exclusion limits at 95% CL on the lifetime and mass of the neutralino in electroweakino pair production models
#: data_file: excl_ewk_obs_down.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
0.0014262,316.67
0.0015426,350.0
0.0015887,362.66
0.0016606,383.33
0.0017573,416.67
0.0018359,450.0
0.0019019,483.33
0.0019603,516.39
0.0019611,516.67
0.0020586,550.0
0.0021786,583.33
0.0023322,616.67
0.0024189,632.15
0.0025372,650.0
0.0027981,683.33
0.0029847,701.69
0.0031469,716.67
0.0035212,750.0
0.0036828,768.0
0.003813,783.33
0.0040053,816.67
0.0041337,850.0
0.0042461,883.33
0.0043855,916.67
0.0045443,945.7
0.004575,950.0
0.00484,983.33
0.0051146,1016.7
0.0053984,1050.0
0.0056073,1073.6
0.0057154,1083.3
0.006062,1116.7
0.0064252,1150.0
0.0068575,1183.3
0.0069189,1187.3
0.0075931,1216.7
0.0085373,1246.5
0.0087105,1250.0
0.010247,1283.3
0.010534,1290.6
0.011636,1316.7
0.012832,1350.0
0.012998,1354.9
0.014191,1383.3
0.015966,1416.7
0.016039,1417.8
0.018929,1450.0
0.019791,1458.0
0.023169,1483.3
0.02442,1492.4
0.028636,1516.7
0.030132,1524.7
0.037133,1550.0
0.037181,1550.2
0.045878,1569.9
0.054567,1583.3
0.05661,1586.3
0.069852,1601.4
0.086191,1613.6
0.094124,1616.7
0.10635,1621.0
0.13123,1622.6
0.16193,1621.6
0.1998,1619.8
0.24654,1617.2
0.25277,1616.7
0.30421,1612.6
0.37537,1603.7
0.46317,1591.4
0.52386,1583.3
0.57152,1577.6
0.7052,1563.7
0.8689,1550.0
0.87016,1549.9
1.0737,1537.0
1.3249,1522.5
1.4216,1516.7
1.6348,1505.6
2.0172,1485.1
2.0469,1483.3
2.489,1462.0
2.7357,1450.0
3.0712,1435.2
3.4503,1416.7
3.7896,1399.9
4.0985,1383.3
4.6761,1352.8
4.7285,1350.0
5.4485,1316.7
5.7699,1305.2
6.405,1283.3
7.1196,1264.0
7.6391,1250.0
8.7849,1220.7
8.9566,1216.7
10.402,1183.3
10.84,1173.0
11.975,1150.0
13.375,1118.4
13.451,1116.7
14.927,1083.3
16.504,1051.1
16.559,1050.0
18.526,1016.7
20.365,988.66
20.738,983.33
23.202,950.0
25.128,922.97
25.632,916.67
28.098,883.33
31.006,850.66
31.072,850.0
35.053,816.67
38.259,794.78
39.849,783.33
44.828,750.0
47.209,734.9
50.089,716.67
55.337,683.33
58.252,664.29
60.147,650.0
64.3,616.67
68.343,583.33
71.877,552.71
72.086,550.0
74.231,516.67
75.524,483.33
75.924,450.0
75.875,416.67
75.658,383.33
75.391,350.0
75.112,316.67

