#: table_doi: 10.17182/hepdata.137762.v1/t36
#: name: excl_strong_mchi0_50_GeV_exp_down
#: description: Expected (-1 sigma) exclusion limits at 95% CL on the lifetime and mass of the gluino in strong gluino pair production models and m(chi0)=50 GeV
#: data_file: excl_strong_mchi0_50_gev_exp_down.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Gluino Mass [GeV]
0.0011044,2185.0
0.0011095,2185.8
0.0012946,2217.5
0.0013471,2225.8
0.0014785,2249.2
0.0016431,2273.2
0.0016952,2280.8
0.0019582,2312.5
0.0020042,2317.3
0.0023556,2344.2
0.0024446,2350.5
0.0029054,2375.8
0.0029818,2380.0
0.0035973,2407.5
0.003637,2409.2
0.0044362,2438.8
0.004449,2439.2
0.005411,2464.6
0.0057336,2470.8
0.0066001,2484.4
0.0080504,2497.9
0.0093645,2502.5
0.0098194,2503.9
0.011216,2502.5
0.011977,2501.8
0.014609,2493.5
0.017819,2481.7
0.020971,2470.8
0.021735,2468.5
0.026511,2455.0
0.032337,2441.4
0.033399,2439.2
0.039442,2427.7
0.048109,2414.1
0.052979,2407.5
0.058681,2400.7
0.071576,2387.2
0.082775,2375.8
0.087304,2371.9
0.10649,2353.5
0.11527,2344.2
0.12989,2330.5
0.14841,2312.5
0.15843,2303.9
0.18591,2280.8
0.19324,2275.3
0.23087,2249.2
0.23571,2246.1
0.28512,2217.5
0.2875,2216.2
0.34943,2185.8
0.35068,2185.3
0.42457,2154.2
0.42774,2152.9
0.5124,2122.5
0.52173,2119.4
0.61644,2090.8
0.63638,2085.3
0.74405,2059.2
0.77622,2052.4
0.91066,2027.5
0.94679,2021.9
1.1396,1995.8
1.1548,1994.1
1.4086,1968.3
1.4539,1964.2
1.7181,1942.9
1.8602,1932.5
2.0957,1916.0
2.3181,1900.8
2.5562,1883.4
2.7472,1869.2
3.1179,1838.8
3.1341,1837.5
3.5302,1805.8
3.803,1787.2
4.0068,1774.2
4.5932,1742.5
4.6387,1740.2
5.2806,1710.8
5.658,1694.3
6.0366,1679.2
6.6861,1647.5
6.9014,1633.5
7.1906,1615.8

