#: table_doi: 10.17182/hepdata.137762.v1/t35
#: name: excl_strong_mchi0_50_GeV_exp_up
#: description: Expected (+1 sigma) exclusion limits at 95% CL on the lifetime and mass of the gluino in strong gluino pair production models and m(chi0)=50 GeV
#: data_file: excl_strong_mchi0_50_gev_exp_up.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Gluino Mass [GeV]
0.0011044,2122.7
0.0013471,2149.2
0.0013867,2154.2
0.0016431,2181.4
0.0016805,2185.8
0.0019549,2217.5
0.0020042,2223.4
0.0022535,2249.2
0.0024446,2270.7
0.0025663,2280.8
0.0029752,2312.5
0.0029818,2312.9
0.003637,2339.5
0.0037991,2344.2
0.0044362,2357.7
0.005411,2374.2
0.0055186,2375.8
0.0066001,2389.5
0.0080504,2405.9
0.0082401,2407.5
0.0098194,2420.8
0.011977,2427.9
0.014609,2424.8
0.017819,2414.4
0.019824,2407.5
0.021735,2401.7
0.026511,2388.7
0.032291,2375.8
0.032337,2375.7
0.039442,2362.6
0.048109,2349.0
0.051551,2344.2
0.058681,2334.6
0.071576,2318.9
0.076985,2312.5
0.087304,2301.0
0.1057,2280.8
0.10649,2280.0
0.12989,2255.4
0.13605,2249.2
0.15843,2227.9
0.17013,2217.5
0.19324,2197.9
0.20887,2185.8
0.23571,2166.0
0.25314,2154.2
0.2875,2132.4
0.30463,2122.5
0.35068,2098.2
0.36589,2090.8
0.42774,2064.2
0.44046,2059.2
0.52173,2031.1
0.53295,2027.5
0.63638,1999.0
0.64806,1995.8
0.77622,1966.6
0.78665,1964.2
0.94344,1932.5
0.94679,1931.9
1.1066,1900.8
1.1548,1892.0
1.2703,1869.2
1.4086,1843.0
1.4353,1837.5
1.6103,1805.8
1.7181,1791.5
1.853,1774.2
2.0957,1751.2
2.1994,1742.5
2.5562,1717.4
2.6656,1710.8
3.1179,1684.5
3.226,1679.2
3.7467,1647.5
3.803,1642.8
4.1505,1615.8

