#: table_doi: 10.17182/hepdata.137762.v1/t39
#: name: excl_strong_mchi0_50_GeV_obs_down
#: description: Observed (-1 sigma) exclusion limits at 95% CL on the lifetime and mass of the gluino in strong gluino pair production models and m(chi0)=50 GeV
#: data_file: excl_strong_mchi0_50_gev_obs_down.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Gluino Mass [GeV]
0.0011044,2170.9
0.0011902,2185.8
0.0013471,2212.5
0.0013727,2217.5
0.0015503,2249.2
0.0016431,2262.8
0.0017666,2280.8
0.0020042,2308.5
0.0020512,2312.5
0.0024446,2341.9
0.002484,2344.2
0.0029818,2372.0
0.0030631,2375.8
0.003637,2403.2
0.0037387,2407.5
0.0044362,2435.6
0.0045423,2439.2
0.005411,2463.7
0.0057605,2470.8
0.0066001,2484.3
0.0080504,2497.8
0.0094433,2502.5
0.0098194,2503.6
0.010594,2502.5
0.011977,2500.7
0.014609,2491.2
0.017819,2477.8
0.019576,2470.8
0.021735,2463.0
0.026511,2447.8
0.029634,2439.2
0.032337,2432.3
0.039442,2416.6
0.044261,2407.5
0.048109,2400.9
0.058681,2385.5
0.066107,2375.8
0.071576,2369.8
0.087304,2352.5
0.09435,2344.2
0.10649,2332.1
0.12563,2312.5
0.12989,2308.6
0.15843,2282.7
0.16069,2280.8
0.19324,2254.9
0.20147,2249.2
0.23571,2225.8
0.24944,2217.5
0.2875,2194.8
0.30441,2185.8
0.35068,2161.5
0.36623,2154.2
0.42774,2126.0
0.43601,2122.5
0.51609,2090.8
0.52173,2088.8
0.60957,2059.2
0.63638,2051.5
0.72163,2027.5
0.77622,2015.1
0.8572,1995.8
0.94679,1978.8
1.0171,1964.2
1.1548,1940.2
1.1971,1932.5
1.4017,1900.8
1.4086,1899.9
1.6622,1869.2
1.7181,1863.7
2.0486,1837.5
2.0957,1834.2
2.5562,1808.5
2.615,1805.8
3.1179,1781.0
3.2767,1774.2
3.803,1747.8
3.9207,1742.5
4.5251,1710.8
4.6387,1704.2
5.1039,1679.2
5.5723,1647.5
5.658,1639.4
5.9074,1615.8

