#: table_doi: 10.17182/hepdata.137762.v1/t37
#: name: excl_strong_mchi0_50_GeV_obs_nominal
#: description: Observed exclusion limits at 95% CL on the lifetime and mass of the gluino in strong gluino pair production models and m(chi0)=50 GeV
#: data_file: excl_strong_mchi0_50_gev_obs_nominal.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Gluino Mass [GeV]
0.0011044,2139.7
0.0012099,2154.2
0.0013471,2172.2
0.0014381,2185.8
0.0016431,2215.9
0.0016537,2217.5
0.0018653,2249.2
0.0020042,2266.9
0.0021465,2280.8
0.0024446,2305.3
0.002559,2312.5
0.0029818,2335.6
0.0031822,2344.2
0.003637,2362.0
0.0040685,2375.8
0.0044362,2387.3
0.0052253,2407.5
0.005411,2412.1
0.0066001,2434.6
0.0069781,2439.2
0.0080504,2450.3
0.0098194,2457.3
0.011977,2455.1
0.014609,2446.1
0.016281,2439.2
0.017819,2433.5
0.021735,2419.9
0.025918,2407.5
0.026511,2406.0
0.032337,2392.4
0.039442,2378.7
0.041084,2375.8
0.048109,2365.1
0.058681,2351.0
0.064148,2344.2
0.071576,2335.8
0.087304,2318.5
0.092456,2312.5
0.10649,2297.8
0.12277,2280.8
0.12989,2274.0
0.15651,2249.2
0.15843,2247.5
0.19324,2218.7
0.19491,2217.5
0.23571,2188.0
0.239,2185.8
0.2875,2155.2
0.28937,2154.2
0.34758,2122.5
0.35068,2120.9
0.41641,2090.8
0.42774,2086.2
0.49975,2059.2
0.52173,2052.0
0.60291,2027.5
0.63638,2019.0
0.72962,1995.8
0.77622,1986.2
0.87864,1964.2
0.94679,1951.7
1.0439,1932.5
1.1548,1913.6
1.2281,1900.8
1.4086,1874.9
1.4521,1869.2
1.7181,1841.5
1.7647,1837.5
2.0957,1813.3
2.223,1805.8
2.5562,1785.7
2.7811,1774.2
3.1179,1754.4
3.3423,1742.5
3.803,1715.0
3.8793,1710.8
4.4046,1679.2
4.6387,1661.3
4.8293,1647.5
5.1446,1615.8

