#: table_doi: 10.17182/hepdata.137762.v1/t38
#: name: excl_strong_mchi0_50_GeV_obs_up
#: description: Observed (+1 sigma) exclusion limits at 95% CL on the lifetime and mass of the gluino in strong gluino pair production models and m(chi0)=50 GeV
#: data_file: excl_strong_mchi0_50_gev_obs_up.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Gluino Mass [GeV]
0.0011044,2115.8
0.0011588,2122.5
0.0013471,2140.3
0.0014864,2154.2
0.0016431,2167.5
0.0018365,2185.8
0.0020042,2202.3
0.0021742,2217.5
0.0024446,2245.4
0.0024868,2249.2
0.0028449,2280.8
0.0029818,2291.8
0.0033735,2312.5
0.003637,2322.7
0.0044362,2342.9
0.0044997,2344.2
0.005411,2357.3
0.0066001,2371.0
0.0071348,2375.8
0.0080504,2383.5
0.0098194,2393.9
0.011977,2397.8
0.014609,2394.3
0.017819,2385.9
0.021727,2375.8
0.021735,2375.8
0.026511,2365.8
0.032337,2355.2
0.0391,2344.2
0.039442,2343.6
0.048109,2330.2
0.058681,2314.7
0.06019,2312.5
0.071576,2296.3
0.083168,2280.8
0.087304,2275.7
0.10649,2252.7
0.10949,2249.2
0.12989,2227.3
0.13959,2217.5
0.15843,2199.8
0.17437,2185.8
0.19324,2170.5
0.21497,2154.2
0.23571,2140.0
0.26356,2122.5
0.2875,2109.1
0.32305,2090.8
0.35068,2078.3
0.3968,2059.2
0.42774,2047.8
0.48802,2027.5
0.52173,2017.4
0.5989,1995.8
0.63638,1986.5
0.7285,1964.2
0.77622,1953.8
0.87319,1932.5
0.94679,1918.0
1.0322,1900.8
1.1548,1879.5
1.2173,1869.2
1.4086,1843.4
1.4601,1837.5
1.7181,1812.7
1.8068,1805.8
2.0957,1783.9
2.2495,1774.2
2.5562,1752.9
2.7231,1742.5
3.1179,1715.7
3.1959,1710.8
3.6779,1679.2
3.803,1668.9
4.076,1647.5
4.3807,1615.8

