#: table_doi: 10.17182/hepdata.137762.v1/t22
#: name: excl_strong_mgluino_2000_GeV_exp_nominal
#: description: Expected exclusion limits at 95% CL on the lifetime and mass of the neutralino in strong gluino pair production models and m(gluino)=2.0 TeV
#: data_file: excl_strong_mgluino_2000_gev_exp_nominal.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
36.432,1984.8
36.533,1964.3
36.675,1943.9
36.868,1923.4
37.059,1903.0
37.234,1882.5
37.393,1862.1
37.544,1841.6
37.696,1821.2
37.855,1800.7
38.023,1780.3
38.2,1759.8
38.385,1739.4
38.578,1718.9
38.777,1698.5
38.982,1678.0
39.191,1657.6
39.404,1637.1
39.62,1616.7
39.841,1596.2
40.033,1578.8
40.069,1575.8
40.315,1555.3
40.567,1534.9
40.823,1514.4
41.082,1494.0
41.342,1473.5
41.599,1453.1
41.854,1432.6
42.103,1412.2
42.346,1391.7
42.579,1371.3
42.796,1350.8
42.985,1330.4
43.122,1309.9
43.169,1289.5
43.083,1269.0
42.831,1248.6
42.4,1228.1
41.81,1207.7
41.104,1187.2
40.327,1166.8
40.181,1159.3
39.541,1146.3
38.763,1125.9
37.992,1105.4
37.233,1085.0
36.489,1064.5
35.759,1044.1
35.433,1034.8
35.062,1023.6
34.395,1003.2
33.741,982.73
33.1,962.27
32.473,941.82
31.857,921.38
31.362,904.68
31.255,900.92
30.678,880.48
30.1,860.02
29.52,839.58
28.937,819.12
28.352,798.67
27.766,778.23
27.758,777.94
27.205,757.77
26.643,737.33
26.082,716.88
25.521,696.42
24.959,675.98
24.569,661.83
24.404,655.52
23.862,635.08
23.313,614.62
22.754,594.17
22.181,573.73
21.746,558.66
21.592,553.27
20.978,532.83
20.313,512.38
19.573,491.92
19.247,483.98
18.729,471.48
17.766,451.02
17.035,437.2
16.69,430.57
15.542,410.12
15.078,402.21
14.384,389.68
13.345,370.93
13.258,369.23
12.22,348.78
11.812,340.47
11.262,328.32
10.455,309.85
10.375,307.88
9.5577,287.43
9.2534,279.93
8.7632,266.98
8.1901,252.79
7.951,246.53
7.249,230.13
7.0839,226.07
6.4161,211.85
6.1401,205.62
5.6788,196.61
5.1329,185.17
5.0263,183.21
4.4487,171.9
4.113,164.72
3.9376,161.4
3.4851,152.14
3.1336,144.27
3.0847,143.3
2.7302,135.85
2.4165,128.83
2.2018,123.82
2.1388,122.51
1.8931,117.26
1.6755,112.2
1.483,107.17
1.3521,103.38
1.3126,102.38
1.1618,98.533
1.0283,95.105
0.91013,92.203
0.80555,89.787
0.71299,87.684
0.63106,85.665
0.55855,83.518
0.54181,82.925
0.49437,81.542
0.43756,79.479
0.38729,77.175
0.34278,74.638
0.3034,71.889
0.26853,68.958
0.23768,65.882
0.21037,62.706
0.20853,62.475
0.1862,60.203
0.1648,57.794
0.14586,55.486
0.1291,53.367
0.11427,51.536
0.10114,50.078
0.089517,49.029
0.079231,48.356
0.070127,47.974
0.062069,47.781
0.054937,47.69
0.048625,47.645
0.043037,47.615
0.038092,47.588
0.033715,47.563
0.029841,47.538
0.026412,47.513
0.023377,47.489
0.020691,47.465
0.018314,47.441
0.016209,47.419
0.014347,47.4
0.012698,47.389
0.011239,47.392
0.0099477,47.415
0.0088046,47.459
0.0077929,47.529
0.0068975,47.631
0.0061049,47.782
0.0054034,48.019
0.0047826,48.396
0.004233,48.974
0.0037466,49.806
0.0033161,50.928
0.0029351,52.368
0.0025978,54.169
0.0022993,56.403
0.0020351,59.18
0.0018122,62.475
0.0018013,62.708
0.0015943,68.555
0.0014111,76.227
0.0013025,82.925
0.001249,89.27
0.0011644,103.38
0.0011199,123.82
0.0011142,144.27
0.001126,164.72
0.0011459,185.17
0.0011706,205.62
0.0011999,226.07
0.0012347,246.53
0.0012406,253.87
0.0012782,266.98
0.0013286,287.43
0.0013831,307.88
0.0014019,317.97
0.0014434,328.32
0.0015078,348.78
0.0015716,369.23
0.0015841,376.69
0.0016387,389.68
0.0017043,410.12
0.0017647,430.57
0.0017899,444.02
0.0018221,451.02
0.0018781,471.48
0.0019301,491.92
0.0019801,512.38
0.0020298,532.83
0.0020225,534.94
0.0020834,553.27
0.0021379,573.73
0.0021933,594.17
0.0022501,614.62
0.0022854,631.78
0.0023091,635.08
0.0023718,655.52
0.0024355,675.98
0.0025007,696.42
0.0025678,716.88
0.0025824,725.76
0.002638,737.33
0.0027101,757.77
