#: table_doi: 10.17182/hepdata.137762.v1/t30
#: name: excl_strong_mgluino_2200_GeV_exp_down
#: description: Expected (-1 sigma) exclusion limits at 95% CL on the lifetime and mass of the neutralino in strong gluino pair production models and m(gluino)=2.2 TeV
#: data_file: excl_strong_mgluino_2200_gev_exp_down.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
16.889,2183.8
16.909,2161.3
16.93,2138.9
16.956,2116.4
16.973,2094.0
16.98,2071.5
16.982,2049.1
16.983,2026.6
16.987,2004.2
16.995,1981.7
17.006,1959.3
17.019,1936.8
17.031,1914.4
17.035,1907.5
17.044,1891.9
17.058,1869.5
17.071,1847.0
17.084,1824.6
17.098,1802.1
17.113,1779.7
17.128,1757.2
17.143,1734.8
17.155,1712.3
17.162,1689.9
17.157,1667.4
17.136,1645.0
17.096,1622.5
17.036,1600.1
17.084,1599.9
16.964,1577.6
16.883,1555.2
16.801,1532.7
16.721,1510.3
16.648,1487.8
16.582,1465.4
16.524,1442.9
16.474,1420.5
16.432,1398.0
16.398,1375.6
16.367,1353.1
16.334,1330.7
16.287,1308.2
16.211,1285.8
16.088,1263.3
15.907,1240.9
15.667,1218.4
15.376,1196.0
15.078,1175.3
15.053,1173.5
14.721,1151.1
14.385,1128.6
14.05,1106.2
13.721,1083.7
13.398,1061.3
13.345,1057.5
13.09,1038.8
12.79,1016.4
12.496,993.93
12.209,971.48
11.927,949.02
11.812,939.72
11.654,926.58
11.385,904.12
11.116,881.67
10.84,859.23
10.555,836.77
10.455,829.23
10.26,814.33
9.9536,791.88
9.6346,769.42
9.3058,746.98
9.2534,743.45
8.9804,724.52
8.6554,702.08
8.332,679.62
8.1901,669.69
8.0203,657.17
7.7209,634.73
7.4286,612.27
7.249,598.16
7.1481,589.83
6.8822,567.38
6.6222,544.92
6.4161,527.01
6.3663,522.48
6.1137,500.02
5.85,477.58
5.6788,464.03
5.5719,455.12
5.2791,432.68
5.0263,414.5
4.9702,410.23
4.6597,387.78
4.4487,372.79
4.3497,365.32
4.0502,342.88
3.9376,334.4
3.7604,320.43
3.4851,298.61
3.4774,297.98
3.1959,275.53
3.0847,267.05
2.907,253.07
2.7302,240.24
2.603,230.62
2.4165,218.05
2.2779,208.17
2.1388,199.52
1.9321,185.72
1.8931,183.47
1.6755,170.22
1.5677,163.27
1.483,158.62
1.3126,148.96
1.1751,140.82
1.1618,140.15
1.0283,133.24
0.91013,126.53
0.80555,119.8
0.78534,118.38
0.71299,114.0
0.63106,108.43
0.55855,102.83
0.49437,97.22
0.48044,95.925
0.43756,92.614
0.38729,88.457
0.34278,84.488
0.3034,80.722
0.26853,77.166
0.23768,73.814
0.23457,73.475
0.21037,71.281
0.1862,69.013
0.1648,66.929
0.14586,65.029
0.1291,63.316
0.11427,61.794
0.10114,60.461
0.089517,59.297
0.079231,58.272
0.070127,57.35
0.062069,56.497
0.054937,55.692
0.048625,54.926
0.043037,54.202
0.038092,53.527
0.033715,52.91
0.029841,52.355
0.026412,51.863
0.023377,51.427
0.020691,51.046
0.020534,51.025
0.018314,50.762
0.016209,50.525
0.014347,50.331
0.012698,50.18
0.011239,50.072
0.0099477,50.006
0.0088046,49.99
0.0077929,50.044
0.0068975,50.215
0.0061049,50.573
0.0055938,51.025
0.0054034,51.239
0.0047826,52.409
0.004233,54.07
0.0037466,56.26
0.0033161,59.008
0.0029351,62.385
0.0025978,66.538
0.0022993,71.703
0.0022217,73.475
0.0020351,80.13
0.0018013,91.685
0.001736,95.925
0.0015943,113.79
0.0015655,118.38
0.0015053,140.82
0.0014908,163.27
0.0015002,185.72
0.0015251,208.17
0.0015634,230.62
0.0015841,244.34
0.0016174,253.07
0.0016898,275.53
0.0017742,297.98
0.0017899,304.62
0.0018774,320.43
0.001988,342.88
0.0020225,352.71
0.0021003,365.32
0.0022042,387.78
0.0022943,410.23
0.0022854,411.61
0.002374,432.68
0.0024476,455.12
0.0025208,477.58
0.0025977,500.02
0.0025824,500.06
0.0026799,522.48
0.0027677,544.92
0.00286,567.38
0.002918,585.04
0.0029559,589.83
0.0030547,612.27
0.0031548,634.73
0.0032558,657.17
0.0032972,670.56
0.0033589,679.62
0.0034644,702.08
0.0035694,724.52
0.0036732,746.98
0.0037257,763.14
0.0037771,769.42
0.0038821,791.88
0.0039825,814.33
0.0040785,836.77
0.0041708,859.23
0.0042099,874.7
0.0042621,881.67
