#: table_doi: 10.17182/hepdata.137762.v1/t29
#: name: excl_strong_mgluino_2200_GeV_exp_up
#: description: Expected (+1 sigma) exclusion limits at 95% CL on the lifetime and mass of the neutralino in strong gluino pair production models and m(gluino)=2.2 TeV
#: data_file: excl_strong_mgluino_2200_gev_exp_up.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
11.422,2183.8
11.447,2161.3
11.483,2138.9
11.521,2116.4
11.547,2094.0
11.559,2071.5
11.563,2049.1
11.565,2026.6
11.569,2004.2
11.577,1981.7
11.588,1959.3
11.601,1936.8
11.615,1914.4
11.628,1891.9
11.641,1869.5
11.653,1847.0
11.665,1824.6
11.677,1802.1
11.689,1779.7
11.7,1757.2
11.709,1734.8
11.715,1712.3
11.715,1689.9
11.705,1667.4
11.682,1645.0
11.644,1622.5
11.593,1600.1
11.533,1577.6
11.466,1555.2
11.397,1532.7
11.329,1510.3
11.262,1487.8
11.199,1465.4
11.138,1442.9
11.081,1420.5
11.027,1398.0
10.976,1375.6
10.928,1353.1
10.879,1330.7
10.824,1308.2
10.754,1285.8
10.662,1263.3
10.542,1240.9
10.455,1227.7
10.394,1218.4
10.223,1196.0
10.036,1173.5
9.8413,1151.1
9.6429,1128.6
9.4439,1106.2
9.2534,1084.6
9.2454,1083.7
9.0471,1061.3
8.8492,1038.8
8.6518,1016.4
8.4548,993.93
8.2582,971.48
8.1901,963.72
8.0612,949.02
7.8642,926.58
7.6662,904.12
7.4651,881.67
7.2581,859.23
7.249,858.28
7.0468,836.77
6.8297,814.33
6.6079,791.88
6.4161,772.68
6.385,769.42
6.1702,746.98
5.9591,724.52
5.7527,702.08
5.6788,693.9
5.5565,679.62
5.3681,657.17
5.1839,634.73
5.0263,615.19
5.0038,612.27
4.8309,589.83
4.6581,567.38
4.4822,544.92
4.4487,540.88
4.3019,522.48
4.1122,500.02
3.9376,480.36
3.9137,477.58
3.7083,455.12
3.5059,432.68
3.4851,430.39
3.3018,410.23
3.1048,387.78
3.0847,385.46
2.9034,365.32
2.7302,345.85
2.7035,342.88
2.4982,320.43
2.4165,311.88
2.2878,297.98
2.1388,283.5
2.0612,275.53
1.8931,261.14
1.8055,253.07
1.6755,243.47
1.521,230.62
1.483,227.99
1.3126,214.38
1.2463,208.17
1.1618,200.75
1.0283,186.53
1.0212,185.72
0.91013,173.19
0.83081,163.27
0.80555,160.21
0.71299,149.46
0.64091,140.82
0.63106,139.8
0.55855,132.54
0.49437,125.65
0.43756,118.89
0.43342,118.38
0.38729,113.79
0.34278,109.0
0.3034,104.38
0.26853,99.948
0.23917,95.925
0.23768,95.765
0.21037,92.794
0.1862,89.995
0.1648,87.355
0.14586,84.861
0.1291,82.503
0.11427,80.268
0.10114,78.141
0.089517,76.104
0.079231,74.139
0.075946,73.475
0.070127,72.508
0.062069,71.072
0.054937,69.688
0.048625,68.358
0.043037,67.095
0.038092,65.911
0.033715,64.817
0.029841,63.82
0.026412,62.922
0.023377,62.118
0.020691,61.404
0.018314,60.778
0.016209,60.236
0.014347,59.778
0.012698,59.401
0.011239,59.099
0.0099477,58.866
0.0088046,58.71
0.0077929,58.663
0.0068975,58.8
0.0061049,59.241
0.0054034,60.132
0.0047826,61.613
0.004233,63.786
0.0037466,66.696
0.0033161,70.362
0.0030418,73.475
0.0029351,75.332
0.0025978,82.7
0.0022993,91.422
0.0021779,95.925
0.0020351,105.78
0.0018889,118.38
0.0018013,136.85
0.0017851,140.82
0.0017664,163.27
0.0017917,185.72
0.0017899,189.57
0.001851,208.17
0.0019342,230.62
0.0020313,253.07
0.0020225,253.9
0.0021456,275.53
0.0022561,297.98
0.0022854,307.51
0.002363,320.43
0.0024591,342.88
0.0025394,365.32
0.0025824,384.28
0.0026089,387.78
0.0026781,410.23
0.0027526,432.68
0.0028423,455.12
0.002918,473.68
0.0029554,477.58
0.0030962,500.02
0.0032571,522.48
0.0032972,530.16
0.0034314,544.92
0.003606,567.38
0.0037257,586.24
0.0037745,589.83
0.0039389,612.27
0.0040903,634.73
0.0042293,657.17
0.0042099,657.82
0.0043736,679.62
0.0045062,702.08
0.0046272,724.52
0.004737,746.98
0.0047571,757.2
0.0048436,769.42
0.004944,791.88
0.0050334,814.33
0.005115,836.77
0.0051922,859.23
0.0052679,881.67
0.0053445,904.12
0.0053753,921.0
0.0054253,926.58
0.0055156,949.02
0.005608,971.48
