#: table_doi: 10.17182/hepdata.137762.v1/t33
#: name: excl_strong_mgluino_2200_GeV_obs_down
#: description: Observed (-1 sigma) exclusion limits at 95% CL on the lifetime and mass of the neutralino in strong gluino pair production models and m(gluino)=2.2 TeV
#: data_file: excl_strong_mgluino_2200_gev_obs_down.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
16.27,2183.8
16.314,2161.3
16.367,2138.9
16.43,2116.4
16.475,2094.0
16.5,2071.5
16.509,2049.1
16.513,2026.6
16.52,2004.2
16.532,1981.7
16.548,1959.3
16.567,1936.8
16.586,1914.4
16.603,1891.9
16.618,1869.5
16.631,1847.0
16.642,1824.6
16.65,1802.1
16.655,1779.7
16.659,1757.2
16.659,1734.8
16.655,1712.3
16.646,1689.9
16.628,1667.4
16.598,1645.0
16.553,1622.5
16.494,1600.1
16.423,1577.6
16.346,1555.2
16.267,1532.7
16.192,1510.3
16.124,1487.8
16.063,1465.4
16.012,1442.9
15.969,1420.5
15.936,1398.0
15.911,1375.6
15.891,1353.1
15.87,1330.7
15.837,1308.2
15.773,1285.8
15.662,1263.3
15.491,1240.9
15.256,1218.4
15.078,1204.5
14.974,1196.0
14.666,1173.5
14.339,1151.1
14.002,1128.6
13.664,1106.2
13.345,1084.9
13.329,1083.7
13.019,1061.3
12.711,1038.8
12.407,1016.4
12.105,993.93
11.812,971.85
11.807,971.48
11.536,949.02
11.266,926.58
10.996,904.12
10.726,881.67
10.455,859.57
10.451,859.23
10.191,836.77
9.9224,814.33
9.6441,791.88
9.357,769.42
9.2534,761.49
9.0789,746.98
8.8064,724.52
8.5333,702.08
8.2614,679.62
8.1901,673.69
8.0069,657.17
7.7618,634.73
7.5217,612.27
7.2872,589.83
7.249,586.11
7.0665,567.38
6.8522,544.92
6.6396,522.48
6.4232,500.02
6.4161,499.33
6.1994,477.58
5.9576,455.12
5.6928,432.68
5.6788,431.6
5.4066,410.23
5.1028,387.78
5.0263,382.38
4.7896,365.32
4.4736,342.88
4.4487,341.13
4.1592,320.43
3.9376,304.67
3.8446,297.98
3.5245,275.53
3.4851,272.91
3.1891,253.07
3.0847,246.61
2.8305,230.62
2.7302,224.94
2.4414,208.17
2.4165,206.89
2.1388,192.32
2.0188,185.72
1.8931,179.71
1.6755,168.84
1.5682,163.27
1.483,159.5
1.3126,151.79
1.1618,144.62
1.0867,140.82
1.0283,138.31
0.91013,132.75
0.80555,126.99
0.71299,120.94
0.67832,118.38
0.63106,115.47
0.55855,110.52
0.49437,105.59
0.43756,100.73
0.38729,95.985
0.38666,95.925
0.34278,92.566
0.3034,89.388
0.26853,86.436
0.23768,83.7
0.21037,81.166
0.1862,78.819
0.1648,76.649
0.14586,74.65
0.13491,73.475
0.1291,72.968
0.11427,71.686
0.10114,70.516
0.089517,69.441
0.079231,68.439
0.070127,67.493
0.062069,66.589
0.054937,65.718
0.048625,64.881
0.043037,64.083
0.038092,63.331
0.033715,62.635
0.029841,61.998
0.026412,61.422
0.023377,60.905
0.020691,60.445
0.018314,60.041
0.016209,59.693
0.014347,59.402
0.012698,59.168
0.011239,58.992
0.0099477,58.874
0.0088046,58.821
0.0077929,58.853
0.0068975,59.016
0.0061049,59.384
0.0054034,60.045
0.0047826,61.086
0.004233,62.565
0.0037466,64.516
0.0033161,66.965
0.0029351,69.978
0.002616,73.475
0.0025978,73.776
0.0022993,80.199
0.0020351,88.294
0.0018563,95.925
0.0018013,100.33
0.0016286,118.38
0.0015943,127.58
0.0015532,140.82
0.0015441,163.27
0.0015716,185.72
0.0015841,195.14
0.0016282,208.17
0.0017083,230.62
0.0017899,253.05
0.0018014,253.07
0.0019127,275.53
0.0020202,297.98
0.0020225,301.3
0.0021341,320.43
0.0022367,342.88
0.0022854,358.58
0.0023296,365.32
0.0024195,387.78
0.0025028,410.23
0.0025896,432.68
0.0025824,434.51
0.0026993,455.12
0.0028337,477.58
0.002918,491.65
0.0029982,500.02
0.0031862,522.48
0.0032972,537.31
0.0033816,544.92
0.0035669,567.38
0.0037347,589.83
0.0037257,591.58
0.0038857,612.27
0.0040172,634.73
0.0041317,657.17
0.004232,679.62
0.0042099,679.88
0.0043323,702.08
0.0044225,724.52
0.0045039,746.98
0.0045779,769.42
0.0046455,791.88
0.0047078,814.33
0.0047663,836.77
0.0047571,843.22
0.0048292,859.23
0.0048934,881.67
0.0049577,904.12
0.0050231,926.58
