#: table_doi: 10.17182/hepdata.137762.v1/t32
#: name: excl_strong_mgluino_2200_GeV_obs_up
#: description: Observed (+1 sigma) exclusion limits at 95% CL on the lifetime and mass of the neutralino in strong gluino pair production models and m(gluino)=2.2 TeV
#: data_file: excl_strong_mgluino_2200_gev_obs_up.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
11.037,2183.8
11.058,2161.3
11.082,2138.9
11.109,2116.4
11.125,2094.0
11.127,2071.5
11.119,2049.1
11.107,2026.6
11.095,2004.2
11.084,1981.7
11.076,1959.3
11.068,1936.8
11.06,1914.4
11.051,1891.9
11.04,1869.5
11.026,1847.0
11.011,1824.6
10.994,1802.1
10.975,1779.7
10.955,1757.2
10.933,1734.8
10.908,1712.3
10.878,1689.9
10.843,1667.4
10.799,1645.0
10.747,1622.5
10.687,1600.1
10.621,1577.6
10.551,1555.2
10.481,1532.7
10.455,1524.4
10.414,1510.3
10.35,1487.8
10.287,1465.4
10.227,1442.9
10.169,1420.5
10.113,1398.0
10.06,1375.6
10.008,1353.1
9.955,1330.7
9.8972,1308.2
9.8284,1285.8
9.742,1263.3
9.6333,1240.9
9.5017,1218.4
9.3506,1196.0
9.2534,1182.7
9.1915,1173.5
9.0332,1151.1
8.8711,1128.6
8.7074,1106.2
8.5429,1083.7
8.3776,1061.3
8.2115,1038.8
8.1901,1036.0
8.0513,1016.4
7.891,993.93
7.7298,971.48
7.5678,949.02
7.4046,926.58
7.249,905.42
7.2398,904.12
7.0764,881.67
6.9094,859.23
6.7377,836.77
6.5614,814.33
6.4161,796.21
6.3824,791.88
6.2061,769.42
6.0312,746.98
5.8589,724.52
5.6898,702.08
5.6788,700.6
5.5263,679.62
5.3663,657.17
5.2091,634.73
5.0539,612.27
5.0263,608.27
4.8995,589.83
4.7449,567.38
4.5888,544.92
4.4487,525.32
4.4281,522.48
4.2577,500.02
4.0771,477.58
3.9376,461.4
3.8831,455.12
3.6755,432.68
3.4851,412.94
3.4591,410.23
3.2361,387.78
3.0847,372.65
3.0119,365.32
2.7881,342.88
2.7302,337.07
2.5662,320.43
2.4165,305.19
2.3468,297.98
2.1388,276.8
2.1265,275.53
1.8973,253.07
1.8931,252.7
1.6755,233.14
1.6477,230.62
1.483,217.51
1.3673,208.17
1.3126,204.31
1.1618,193.59
1.0569,185.72
1.0283,183.84
0.91013,175.56
0.80555,167.02
0.76572,163.27
0.71299,158.96
0.63106,151.22
0.55855,143.1
0.54019,140.82
0.49437,136.11
0.43756,129.61
0.38729,123.13
0.35369,118.38
0.34278,117.15
0.3034,112.5
0.26853,108.03
0.23768,103.73
0.21037,99.603
0.18792,95.925
0.1862,95.704
0.1648,92.867
0.14586,90.158
0.1291,87.563
0.11427,85.068
0.10114,82.659
0.089517,80.32
0.079231,78.038
0.070127,75.807
0.062069,73.624
0.061542,73.475
0.054937,71.927
0.048625,70.331
0.043037,68.817
0.038092,67.401
0.033715,66.095
0.029841,64.908
0.026412,63.84
0.023377,62.886
0.020691,62.041
0.018314,61.305
0.016209,60.684
0.014347,60.194
0.012698,59.861
0.011239,59.718
0.0099477,59.796
0.0088046,60.12
0.0077929,60.713
0.0068975,61.611
0.0061049,62.872
0.0054034,64.583
0.0047826,66.83
0.004233,69.68
0.0037466,73.164
0.0037112,73.475
0.0033161,78.724
0.0029351,85.336
0.0025978,92.988
0.0024924,95.925
0.0022993,105.7
0.0021008,118.38
0.0020351,127.97
0.0019603,140.82
0.0019253,163.27
0.001944,185.72
0.0019963,208.17
0.0020225,219.65
0.0020743,230.62
0.0021708,253.07
0.0022725,275.53
0.0022854,281.46
0.00238,297.98
0.0024825,320.43
0.0025746,342.88
0.0025824,349.1
0.0026621,365.32
0.002745,387.78
0.0028284,410.23
0.0029215,432.68
0.002918,435.42
0.0030384,455.12
0.0031803,477.58
0.0032972,495.96
0.0033472,500.02
0.0035329,522.48
0.0037212,544.92
0.0037257,548.02
0.0039082,567.38
0.0040814,589.83
0.0042099,611.43
0.0042394,612.27
0.0043959,634.73
0.0045377,657.17
0.0046665,679.62
0.0047571,701.87
0.0047837,702.08
0.0049044,724.52
0.0050121,746.98
0.0051082,769.42
0.0051943,791.88
0.0052734,814.33
0.0053488,836.77
0.0053753,853.05
0.0054262,859.23
0.0055121,881.67
0.0056023,904.12
0.0056972,926.58
0.0057962,949.02
0.0058983,971.48
0.0060029,993.93
