#: table_doi: 10.17182/hepdata.137762.v1/t17
#: name: excl_strong_mgluino_2400_GeV_obs_nominal
#: description: Observed exclusion limits at 95% CL on the lifetime and mass of the neutralino in strong gluino pair production models and m(gluino)=2.4 TeV
#: data_file: excl_strong_mgluino_2400_gev_obs_nominal.yaml
#: keyword observables: CLS
#: keyword reactions: P P --> GLUINO GLUINO X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X | P P --> NEUTRALINO2 NEUTRALINO1 X | P P --> CHARGINO1 NEUTRALINO1 X | P P --> CHARGINO1 CHARGINO1 X | P P --> CHARGINO1 NEUTRALINO2 X
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | RPV | Proton-Proton Scattering
#: Luminosity [fb$^{-1}$],139
#: Energy [TeV],13
Neutralino Lifetime [ns],Neutralino Mass [GeV]
5.5894,2382.8
5.5989,2358.3
5.6126,2333.9
5.6277,2309.4
5.6396,2285.0
5.6474,2260.5
5.6518,2236.1
5.6543,2211.6
5.656,2187.2
5.6572,2162.7
5.6574,2138.3
5.6554,2113.8
5.6491,2089.4
5.6364,2064.9
5.6157,2040.5
5.587,2016.0
5.5518,1991.6
5.5125,1967.1
5.4713,1942.7
5.4298,1918.2
5.3887,1893.8
5.348,1869.3
5.3074,1844.9
5.2668,1820.4
5.2259,1796.0
5.1843,1771.5
5.1419,1747.1
5.0987,1722.6
5.0553,1698.2
5.0263,1681.5
5.012,1673.7
4.9696,1649.3
4.931,1624.8
4.8967,1600.4
4.8665,1575.9
4.8391,1551.5
4.813,1527.0
4.787,1502.6
4.7601,1478.1
4.732,1453.7
4.7029,1429.2
4.6727,1404.8
4.6414,1380.3
4.6087,1355.9
4.5738,1331.4
4.535,1307.0
4.4902,1282.5
4.4487,1263.4
4.4369,1258.1
4.3728,1233.6
4.2997,1209.2
4.2193,1184.7
4.1341,1160.3
4.0464,1135.8
3.9578,1111.4
3.9376,1105.8
3.8675,1086.9
3.7772,1062.5
3.6876,1038.0
3.5987,1013.6
3.5107,989.12
3.4851,982.02
3.4215,964.67
3.3324,940.23
3.2436,915.77
3.1547,891.33
3.0847,872.3
3.0643,866.88
2.9705,842.42
2.8756,817.98
2.7799,793.52
2.7302,780.91
2.682,769.08
2.5823,744.62
2.4838,720.17
2.4165,703.24
2.3851,695.73
2.2841,671.27
2.1856,646.83
2.1388,634.97
2.0858,622.38
1.9852,597.92
1.8931,574.97
1.8866,573.48
1.781,549.02
1.6755,524.7
1.675,524.58
1.5562,500.12
1.483,485.95
1.4294,475.67
1.3126,454.69
1.2944,451.23
1.1618,427.18
1.1598,426.78
1.0358,402.32
1.0283,400.84
0.92625,377.88
0.91013,374.18
0.82999,353.43
0.80555,346.95
0.74468,328.98
0.71299,319.54
0.66747,304.53
0.63106,292.97
0.59469,280.07
0.55855,268.68
0.52204,255.62
0.49437,247.48
0.4463,231.17
0.43756,228.82
0.38729,213.62
0.36731,206.72
0.34278,199.92
0.3034,187.44
0.28879,182.27
0.26853,176.3
0.23768,166.1
0.21555,157.82
0.21037,156.17
0.1862,148.05
0.1648,140.1
0.14793,133.38
0.14586,132.69
0.1291,127.15
0.11427,122.18
0.10114,117.82
0.089517,114.05
0.079231,110.78
0.073296,108.92
0.070127,108.12
0.062069,106.09
0.054937,104.21
0.048625,102.41
0.043037,100.69
0.038092,99.039
0.033715,97.458
0.029841,95.96
0.026412,94.558
0.023377,93.269
0.020691,92.105
0.018314,91.086
0.016209,90.25
0.014347,89.666
0.012698,89.442
0.011239,89.703
0.0099477,90.546
0.0088046,92.008
0.0077929,94.068
0.0068975,96.712
0.0061049,100.0
0.0054034,104.09
0.0048124,108.92
0.0047826,109.32
0.004233,118.75
0.0037466,130.41
0.0036486,133.38
0.0033161,152.67
0.0032462,157.82
0.0030897,182.27
0.0030403,206.72
0.003058,231.17
0.0031246,255.62
0.0032266,280.07
0.0032972,297.72
0.0033533,304.53
0.0034979,328.98
0.0036475,353.43
0.0037257,369.16
0.0038044,377.88
0.0039743,402.32
0.0041568,426.78
0.0042099,436.13
0.0043579,451.23
0.0045709,475.67
0.0047571,499.9
0.0047846,500.12
0.0049999,524.58
0.0052012,549.02
0.0053864,573.48
0.0053753,575.88
0.0055735,597.92
0.0057515,622.38
0.0059214,646.83
0.0060854,671.27
0.0060739,674.26
0.0062659,695.73
0.0064463,720.17
0.006624,744.62
0.0067986,769.08
0.0068633,783.25
0.0069803,793.52
0.0071712,817.98
0.0073555,842.42
0.0075339,866.88
0.0077087,891.33
0.0077552,903.17
0.0078958,915.77
0.0080969,940.23
0.0083025,964.67
0.0085144,989.12
0.0087328,1013.6
0.0087631,1021.4
0.0089791,1038.0
0.0092432,1062.5
0.0095154,1086.9
0.009796,1111.4
0.0099019,1124.3
0.010106,1135.8
0.01045,1160.3
0.010805,1184.7
0.011171,1209.2
0.011189,1213.7
